,Drug,Disease
0,DB00459,D020434
1,DB01101,D020434
2,DB00091,D020434
3,DB00987,D020434
4,DB01004,D020434
5,DB00281,D020434
6,DB00563,D020434
7,DB00959,D020434
8,DB01017,D020434
9,DB00929,D020434
10,DB00698,D020434
11,DB00727,D020434
12,DB00755,D020434
13,DB00541,D020434
14,DB11590,D000170
15,DB01200,D000172
16,DB06791,D000172
17,DB01065,D000172
18,DB00350,D000172
19,DB00758,D000370
20,DB00390,D000370
21,DB00158,D000370
22,DB01611,D000370
23,DB00678,D000370
24,DB00763,D000370
25,DB00563,D000370
26,DB00350,D000370
27,DB00727,D000370
28,DB00252,D000370
29,DB00857,D000370
30,DB00495,D000370
31,DB01593,D000370
32,DB01181,D000377
33,DB14509,D000377
34,DB09241,D000377
35,DB00563,D000381
36,DB00907,D015526
37,DB00649,D015526
38,DB00495,D015526
39,DB00404,D017109
40,DB06288,D017109
41,DB00321,D017109
42,DB00381,D017109
43,DB00543,D017109
44,DB01238,D017109
45,DB00810,D017109
46,DB00490,D017109
47,DB00477,D017109
48,DB00568,D017109
49,DB00215,D017109
50,DB01068,D017109
51,DB00363,D017109
52,DB00907,D017109
53,DB00829,D017109
54,DB01075,D017109
55,DB00450,D017109
56,DB00593,D017109
57,DB01205,D017109
58,DB04841,D017109
59,DB00472,D017109
60,DB00623,D017109
61,DB00176,D017109
62,DB00502,D017109
63,DB01235,D017109
64,DB00281,D017109
65,DB14509,D017109
66,DB00186,D017109
67,DB00933,D017109
68,DB01403,D017109
69,DB01233,D017109
70,DB00264,D017109
71,DB06148,D017109
72,DB00683,D017109
73,DB00370,D017109
74,DB01203,D017109
75,DB01149,D017109
76,DB00585,D017109
77,DB00334,D017109
78,DB00842,D017109
79,DB00715,D017109
80,DB00252,D017109
81,DB05316,D017109
82,DB00433,D017109
83,DB00387,D017109
84,DB00818,D017109
85,DB00571,D017109
86,DB00409,D017109
87,DB00734,D017109
88,DB01104,D017109
89,DB01236,D017109
90,DB00669,D017109
91,DB00864,D017109
92,DB04844,D017109
93,DB00679,D017109
94,DB01623,D017109
95,DB01056,D017109
96,DB00323,D017109
97,DB00831,D017109
98,DB00508,D017109
99,DB00376,D017109
100,DB01392,D017109
101,DB00246,D017109
102,DB09225,D017109
103,DB01351,D000405
104,DB00181,D000405
105,DB01200,D000405
106,DB00477,D000405
107,DB00544,D000405
108,DB00502,D000405
109,DB00741,D000405
110,DB00186,D000405
111,DB00563,D000405
112,DB00422,D000405
113,DB00264,D000405
114,DB00184,D000405
115,DB00864,D000405
116,DB00898,D020268
117,DB01273,D020268
118,DB00475,D000430
119,DB00829,D000430
120,DB00898,D000430
121,DB00158,D000430
122,DB00502,D000430
123,DB00186,D000430
124,DB00371,D000430
125,DB00252,D000430
126,DB00571,D000430
127,DB00152,D000430
128,DB00829,D020270
129,DB00898,D020270
130,DB01174,D020270
131,DB00252,D020270
132,DB01080,D038261
133,DB00563,D020237
134,DB01068,D055964
135,DB00331,D056769
136,DB00412,D056769
137,DB03128,D000544
138,DB11081,D000544
139,DB04115,D000544
140,DB09061,D000544
141,DB01212,D000544
142,DB00482,D000544
143,DB01394,D000544
144,DB09130,D000544
145,DB09131,D000544
146,DB11672,D000544
147,DB00746,D000544
148,DB00975,D000544
149,DB00843,D000544
150,DB00470,D000544
151,DB00494,D000544
152,DB00176,D000544
153,DB00158,D000544
154,DB00674,D000544
155,DB00014,D000544
156,DB00502,D000544
157,DB04864,D000544
158,DB01050,D000544
159,DB00328,D000544
160,DB01592,D000544
161,DB00934,D000544
162,DB01065,D000544
163,DB01043,D000544
164,DB00683,D000544
165,DB00834,D000544
166,DB01017,D000544
167,DB01618,D000544
168,DB00627,D000544
169,DB00184,D000544
170,DB00435,D000544
171,DB00715,D000544
172,DB00850,D000544
173,DB00981,D000544
174,DB00960,D000544
175,DB00206,D000544
176,DB00989,D000544
177,DB00412,D000544
178,DB00747,D000544
179,DB00428,D000544
180,DB00382,D000544
181,DB00820,D000544
182,DB00679,D000544
183,DB00323,D000544
184,DB00656,D000544
185,DB11094,D000544
186,DB01593,D000544
187,DB01109,D020757
188,DB00373,D020757
189,DB00682,D020757
190,DB00330,D000550
191,DB00189,D000550
192,DB01235,D000550
193,DB00627,D000550
194,DB00468,D000550
195,DB00675,D000550
196,DB00313,D000550
197,DB00162,D000550
198,DB00404,D000647
199,DB01223,D000647
200,DB00321,D000647
201,DB00182,D000647
202,DB00714,D000647
203,DB00126,D000647
204,DB00572,D000647
205,DB00181,D000647
206,DB04115,D000647
207,DB01156,D000647
208,DB01164,D000647
209,DB00395,D000647
210,DB00185,D000647
211,DB00475,D000647
212,DB00608,D000647
213,DB00122,D000647
214,DB00575,D000647
215,DB01394,D000647
216,DB11672,D000647
217,DB00260,D000647
218,DB01234,D000647
219,DB01576,D000647
220,DB00829,D000647
221,DB00586,D000647
222,DB00804,D000647
223,DB13345,D000647
224,DB00343,D000647
225,DB01075,D000647
226,DB00843,D000647
227,DB00561,D000647
228,DB00228,D000647
229,DB00668,D000647
230,DB00783,D000647
231,DB00898,D000647
232,DB00813,D000647
233,DB01205,D000647
234,DB04841,D000647
235,DB01544,D000647
236,DB00693,D000647
237,DB00176,D000647
238,DB00674,D000647
239,DB00143,D000647
240,DB00629,D000647
241,DB00502,D000647
242,DB00458,D000647
243,DB00753,D000647
244,DB01221,D000647
245,DB01202,D000647
246,DB00186,D000647
247,DB00657,D000647
248,DB01065,D000647
249,DB01043,D000647
250,DB00454,D000647
251,DB00371,D000647
252,DB00474,D000647
253,DB00422,D000647
254,DB00683,D000647
255,DB00370,D000647
256,DB09282,D000647
257,DB00295,D000647
258,DB01183,D000647
259,DB01400,D000647
260,DB00699,D000647
261,DB00184,D000647
262,DB01115,D000647
263,DB00393,D000647
264,DB00368,D000647
265,DB01165,D000647
266,DB00334,D000647
267,DB00338,D000647
268,DB01092,D000647
269,DB00652,D000647
270,DB00312,D000647
271,DB00806,D000647
272,DB00850,D000647
273,DB00388,D000647
274,DB00252,D000647
275,DB00981,D000647
276,DB00457,D000647
277,DB00818,D000647
278,DB00571,D000647
279,DB00989,D000647
280,DB00747,D000647
281,DB01236,D000647
282,DB00202,D000647
283,DB00391,D000647
284,DB00382,D000647
285,DB00231,D000647
286,DB00624,D000647
287,DB00897,D000647
288,DB11699,D000647
289,DB00661,D000647
290,DB01392,D000647
291,DB00425,D000647
292,DB00829,D020324
293,DB00843,D020324
294,DB01205,D020324
295,DB01544,D020324
296,DB00690,D020324
297,DB01221,D020324
298,DB00186,D020324
299,DB00683,D020324
300,DB00818,D020324
301,DB00747,D020324
302,DB00382,D020324
303,DB00897,D020324
304,DB01156,D000648
305,DB01234,D000648
306,DB00829,D000648
307,DB00959,D000648
308,DB00683,D000648
309,DB00818,D000648
310,DB00571,D000648
311,DB00747,D000648
312,DB00313,D000648
313,DB00572,D020236
314,DB00181,D020236
315,DB00320,D020236
316,DB00841,D020236
317,DB00696,D020236
318,DB00898,D020236
319,DB00687,D020236
320,DB00727,D020236
321,DB01182,D020236
322,DB00897,D020236
323,DB00861,D028227
324,DB11081,D000690
325,DB00321,D000690
326,DB01076,D000690
327,DB01200,D000690
328,DB04540,D000690
329,DB09130,D000690
330,DB00470,D000690
331,DB03843,D000690
332,DB00480,D000690
333,DB01235,D000690
334,DB00227,D000690
335,DB01065,D000690
336,DB01017,D000690
337,DB00435,D000690
338,DB00540,D000690
339,DB00175,D000690
340,DB01069,D000690
341,DB00740,D000690
342,DB00641,D000690
343,DB01041,D000690
344,DB00163,D000690
345,DB00928,D000757
346,DB00158,D000757
347,DB00333,D000757
348,DB01041,D000757
349,DB01234,D059445
350,DB00470,D059445
351,DB00472,D059445
352,DB01221,D059445
353,DB00184,D059445
354,DB11094,D059445
355,DB00964,D015875
356,DB01156,D015875
357,DB00907,D015875
358,DB00332,D015875
359,DB00753,D015875
360,DB00715,D015875
361,DB00747,D015875
362,DB01104,D015875
363,DB14509,D000849
364,DB00571,D000849
365,DB00907,D020759
366,DB00188,D001037
367,DB00297,D001037
368,DB00564,D001037
369,DB00907,D001037
370,DB00987,D001037
371,DB01151,D001037
372,DB01234,D001037
373,DB00668,D001037
374,DB00472,D001037
375,DB00441,D001037
376,DB01120,D001037
377,DB00741,D001037
378,DB01181,D001037
379,DB00762,D001037
380,DB00848,D001037
381,DB14509,D001037
382,DB00961,D001037
383,DB00563,D001037
384,DB09241,D001037
385,DB00683,D001037
386,DB01113,D001037
387,DB00397,D001037
388,DB00296,D001037
389,DB00747,D001037
390,DB00708,D001037
391,DB00795,D001037
392,DB00864,D001037
393,DB00273,D001037
394,DB00541,D001037
395,DB01394,D001039
396,DB00987,D001039
397,DB00571,D001039
398,DB00864,D001039
399,DB01242,D001044
400,DB00987,D001044
401,DB00668,D001044
402,DB00281,D001044
403,DB00540,D001044
404,DB00420,D001044
405,DB00541,D001044
406,DB00563,D020240
407,DB00564,D001072
408,DB00502,D001072
409,DB00951,D001072
410,DB14509,D001072
411,DB09212,D001072
412,DB00929,D001072
413,DB00747,D001072
414,DB00391,D001072
415,DB00864,D001072
416,DB01041,D001072
417,DB00313,D001072
418,DB11148,D001100
419,DB00987,D001100
420,DB00563,D001100
421,DB00652,D001100
422,DB00860,D001100
423,DB00252,D001139
424,DB00755,D001139
425,DB00313,D001139
426,DB00162,D001139
427,DB01169,D020261
428,DB00126,D020261
429,DB11672,D020261
430,DB06782,D020261
431,DB01956,D020261
432,DB00730,D020261
433,DB00163,D020261
434,DB14533,D020261
435,DB00564,D001184
436,DB00438,D001184
437,DB01233,D001184
438,DB00819,D001259
439,DB00787,D001259
440,DB00404,D001259
441,DB00915,D001259
442,DB00357,D001259
443,DB00855,D001259
444,DB01118,D001259
445,DB00182,D001259
446,DB01076,D001259
447,DB00572,D001259
448,DB00181,D001259
449,DB13746,D001259
450,DB01558,D001259
451,DB00490,D001259
452,DB09061,D001259
453,DB00564,D001259
454,DB00493,D001259
455,DB00341,D001259
456,DB00475,D001259
457,DB00477,D001259
458,DB00501,D001259
459,DB00515,D001259
460,DB01211,D001259
461,DB00349,D001259
462,DB01068,D001259
463,DB00575,D001259
464,DB00907,D001259
465,DB01394,D001259
466,DB09130,D001259
467,DB09131,D001259
468,DB01176,D001259
469,DB00979,D001259
470,DB00531,D001259
471,DB00091,D001259
472,DB00434,D001259
473,DB00987,D001259
474,DB01151,D001259
475,DB00967,D001259
476,DB01234,D001259
477,DB01576,D001259
478,DB00514,D001259
479,DB00829,D001259
480,DB01119,D001259
481,DB00390,D001259
482,DB00343,D001259
483,DB00985,D001259
484,DB01075,D001259
485,DB00822,D001259
486,DB00997,D001259
487,DB00470,D001259
488,DB00668,D001259
489,DB00898,D001259
490,DB00773,D001259
491,DB00949,D001259
492,DB00322,D001259
493,DB01205,D001259
494,DB00544,D001259
495,DB00472,D001259
496,DB01185,D001259
497,DB00690,D001259
498,DB00158,D001259
499,DB00996,D001259
500,DB02530,D001259
501,DB00441,D001259
502,DB01016,D001259
503,DB00801,D001259
504,DB00502,D001259
505,DB01181,D001259
506,DB01598,D001259
507,DB01592,D001259
508,DB00753,D001259
509,DB00677,D001259
510,DB00951,D001259
511,DB00982,D001259
512,DB00270,D001259
513,DB01221,D001259
514,DB00555,D001259
515,DB00848,D001259
516,DB00281,D001259
517,DB14509,D001259
518,DB00186,D001259
519,DB00678,D001259
520,DB00603,D001259
521,DB00814,D001259
522,DB01043,D001259
523,DB00333,D001259
524,DB00134,D001259
525,DB00563,D001259
526,DB09241,D001259
527,DB00422,D001259
528,DB00916,D001259
529,DB00683,D001259
530,DB00211,D001259
531,DB01017,D001259
532,DB00929,D001259
533,DB00788,D001259
534,DB00184,D001259
535,DB00393,D001259
536,DB00727,D001259
