,Protein1,Protein2,combined_score
0,P20645,O43451,518
13,P20645,O14964,544
14,P20645,P14410,526
19,P20645,P01130,561
21,P20645,P84077,645
24,P20645,Q9UK23,523
32,P20645,P04114,519
38,P20645,P11717,991
47,P20645,O60664,872
58,Q9NR63,Q8TC12,539
64,Q9NR63,O60656,696
67,Q9NR63,P11712,938
84,Q9NR63,P10826,635
93,Q9NR63,P20815,935
104,Q9NR63,P05108,554
125,Q9NR63,P10632,940
130,Q9NR63,P09455,553
138,Q9NR63,P00352,964
140,Q9NR63,P13631,624
141,Q9NR63,O43174,919
148,Q9NR63,P24462,932
150,Q9NR63,P22309,696
162,Q9NR63,O75911,652
188,Q9NR63,P05177,945
195,Q9NR63,Q14534,576
214,Q9NR63,Q06278,921
249,Q9NR63,Q16678,688
260,Q9NR63,P20813,936
261,Q9NR63,Q02928,926
280,Q9NR63,P05093,687
281,Q9NR63,P47895,973
283,Q9NR63,O95237,681
288,Q9NR63,O94788,988
297,Q9NR63,P10276,610
322,P13569,Q9BYF1,518
327,P13569,P27824,936
331,P13569,P07477,854
337,P13569,P11021,559
371,P13569,P51168,895
414,P13569,P31948,544
416,P13569,P04792,780
418,P13569,P31946,944
429,P13569,Q12809,520
444,P13569,Q9UGI9,901
452,P13569,P47872,646
486,P13569,P17612,982
514,P13569,Q15185,581
524,P13569,Q14654,553
548,P13569,P05787,752
551,P13569,P55011,816
554,P13569,P01130,531
557,P13569,P54619,922
564,P13569,P51170,886
568,P13569,P19634,533
582,P13569,P01009,590
590,P13569,O00141,605
602,P13569,P25092,825
604,P13569,O14649,555
609,P13569,O43741,944
635,P13569,P00918,657
638,P13569,P02768,502
642,P13569,P08183,572
672,P13569,Q12908,513
684,P13569,P42858,540
689,P13569,P07900,986
692,P13569,P48048,925
716,P13569,P21333,957
720,P13569,Q9UGJ0,905
731,P13569,Q5XXA6,882
737,P13569,P08246,532
750,P13569,P37088,821
769,P13569,Q13131,953
771,P13569,P04114,676
776,P13569,P22694,976
818,P13569,P01584,514
820,P13569,P00797,523
822,P13569,P54646,907
838,P13569,Q14432,518
843,P13569,P07550,668
860,P13569,P01730,622
887,P13569,P17342,518
902,P13569,P55017,544
905,P13569,P04234,536
919,P13569,O96017,545
929,P13569,Q13237,515
930,P13569,P01308,529
935,P13569,P23280,524
955,P13569,P41180,517
961,P13569,P48764,828
984,Q16850,Q15738,989
985,Q16850,P33261,530
1002,Q16850,Q15125,714
1029,Q16850,P00387,782
1033,Q16850,Q99720,985
1039,Q16850,P10632,500
1046,Q16850,P14060,846
1064,Q16850,P05108,594
1077,Q16850,P16435,960
1085,Q16850,P14324,886
1092,Q16850,Q8NBP7,543
1107,Q16850,P49327,619
1108,Q16850,Q9NR19,511
1130,Q16850,Q9UHQ9,578
1156,Q16850,P56937,996
1158,Q16850,P26439,820
1169,Q16850,P36956,772
1174,Q16850,O00264,867
1189,Q16850,P24752,585
1192,Q16850,O95749,613
1196,Q16850,P10109,553
1221,Q16850,Q9UBM7,978
1255,Q16850,P00167,764
1287,Q16850,Q14534,998
1295,Q16850,P04035,948
1324,Q16850,Q15800,996
1335,P52569,P11166,515
1385,P52569,P43005,557
1392,P52569,Q96QD8,519
1423,P52569,P78540,831
1436,P52569,P00966,517
1513,P52569,P05089,841
1515,P52569,Q15758,536
1536,Q16654,P29803,581
1538,Q16654,P09622,680
1563,Q16654,P10515,817
1571,Q16654,Q13085,506
1581,Q16654,P21397,529
1588,Q16654,O75390,610
1598,Q16654,Q08426,591
1622,Q16654,P14618,515
1629,Q16654,P37231,651
1634,Q16654,P13639,633
1660,Q16654,P50416,651
1666,Q16654,Q9Y6R4,550
1680,Q16654,Q15067,637
1682,Q16654,P00338,579
1700,Q16654,P49327,626
1710,Q16654,Q03181,702
1731,Q16654,Q14643,825
1739,Q16654,P11310,643
1747,Q16654,P31749,558
1749,Q16654,P08559,881
1757,Q16654,O95479,553
1758,Q16654,Q86YN6,605
1786,Q16654,P11166,545
1796,Q16654,P11474,698
1821,Q16654,P99999,718
1852,Q16654,P23786,544
1856,Q16654,Q15118,604
1881,Q16654,P36956,565
1890,Q16654,P11177,674
1933,Q16654,Q16665,506
1938,Q16654,P01308,777
2046,Q16654,Q14573,817
2051,Q16654,Q07869,740
2053,Q16654,P27338,518
2073,Q16654,P33121,630
2085,Q16654,P40939,621
2089,O60359,Q08289,779
2092,O60359,P48058,869
2093,O60359,Q8WXA8,540
2100,O60359,P62955,939
2104,O60359,P54289,978
2107,O60359,O60840,927
2110,O60359,Q05586,830
2121,O60359,P21817,733
2123,O60359,P62714,650
2128,O60359,Q13698,916
2129,O60359,Q06432,974
2130,O60359,Q01668,957
2139,O60359,Q8NEC5,723
2141,O60359,P17612,650
2143,O60359,P42263,852
2150,O60359,P42261,867
2152,O60359,Q13936,910
2153,O60359,P67775,650
2154,O60359,P22694,661
2155,O60359,O00305,958
2166,O60359,P46098,737
2168,O60359,Q14957,788
2173,O60359,Q9UF02,814
2176,O60359,Q13554,766
2185,O60359,O43497,697
2188,O60359,O95264,586
2193,O60359,Q16099,608
2194,O60359,Q13002,628
2195,O60359,Q8TCU5,794
2197,O60359,Q8WXS5,913
2198,O60359,Q9UBN1,905
2201,O60359,Q15878,690
2203,O60359,Q08499,540
2204,O60359,O60391,769
2205,O60359,P30559,660
2206,O60359,P62942,728
2210,O60359,A5X5Y0,543
2211,O60359,Q70Z44,540
2213,O60359,Q9P0X4,513
2214,O60359,Q13003,662
2216,O60359,Q7Z3S7,915
2221,O60359,Q02641,912
2226,O60359,P42262,923
2228,O60359,O15399,748
2234,O60359,Q14289,565
2237,O60359,Q00975,688
2239,O60359,Q9BXT2,908
2241,O60359,O95180,818
2242,O60359,P14867,503
2243,O60359,Q8IZS8,583
2248,O60359,P54284,938
2251,O60359,Q9NY47,670
2252,O60359,Q13224,800
2255,O60359,Q9Y698,756
2305,Q96NX5,P29474,907
2308,Q96NX5,P18846,710
2327,Q96NX5,P15336,669
2353,Q96NX5,P16220,754
2445,Q96NX5,P18848,691
2480,Q96NX5,Q8IU85,602
2483,P01730,P21730,597
2490,P01730,P29597,572
2494,P01730,Q9NPF7,642
2495,P01730,Q02223,500
2510,P01730,P05113,930
2514,P01730,P15260,739
2521,P01730,P14778,743
2526,P01730,P11166,542
2528,P01730,P14210,565
2529,P01730,P16581,756
2532,P01730,P04004,570
2535,P01730,P31749,839
2536,P01730,P31994,842
2537,P01730,Q07075,994
2543,P01730,Q30154,945
2546,P01730,P20333,614
2547,P01730,P06729,996
2550,P01730,P01130,540
2553,P01730,O14788,726
2556,P01730,P00533,640
2560,P01730,P14780,701
2563,P01730,P48061,825
2567,P01730,P19438,797
2569,P01730,Q9NR96,868
2589,P01730,P51681,999
2591,P01730,P42345,635
2592,P01730,Q9NZQ7,938
2609,P01730,P20138,869
2611,P01730,Q01362,505
2619,P01730,P17181,653
2621,P01730,P08637,964
2622,P01730,Q9NQ25,530
2627,P01730,Q8TD30,542
2633,P01730,P01579,991
2643,P01730,P01100,663
2644,P01730,P20273,836
