Disease,Protein
D000544,P01023
D006527,P01023
D020178,Q16613
D020167,Q9UDR5
D053609,P80404
D009123,P80404
D011596,P80404
D012021,P80404
D012640,P80404
D010523,O95477
D013631,O95477
D000544,Q8IZY2
D004827,P08183
D007024,P08183
D020258,P08183
D010300,P08183
D010302,P08183
D010523,P08183
D001259,O75027
D010523,P33527
D012640,Q92887
D013226,Q92887
D000326,P33897
D015211,P28288
D000544,Q9P2A4
D020521,P16442
D020391,P16112
D012640,P24752
D012640,P35610
D008607,Q9BR61
D000544,P12821
D002545,P12821
D002543,P12821
D005776,P12821
D020521,P12821
D000544,P22303
D007859,P22303
D008569,P22303
D009069,P22303
D009136,P22303
D012640,P22303
D014202,P22303
D020529,P25106
D004421,P60709
D006319,P60709
D009421,P60709
D009421,P63261
D000690,O94805
D013118,P00813
D018860,Q9NZK5
D000544,O14672
D000544,Q9UHI8
D010300,Q9NS39
D006948,Q08828
D006948,P40145
D015877,P18509
D020258,P18509
D011595,P18509
D012640,P18509
D002545,Q9UEY8
D020258,Q9UEY8
D002544,P00325
D008607,P55263
D006930,P35318
D002375,P30542
D020244,P30542
D002546,P30542
D013345,P30542
D006948,P29274
D009069,P29274
D012640,P29274
D007319,P29274
D014202,P29274
D020258,P35368
D012640,P35368
D004827,P08913
D008607,P18089
D015526,P07550
D018792,P07550
D014202,P07550
D005600,P51816
D020191,Q9Y4W6
D020754,Q9Y4W6
D006930,Q15109
D020244,Q15109
D020961,Q15109
D009437,Q15109
D059348,Q15109
D019636,Q9NRZ7
D020294,O00468
D002340,P01019
D002375,P01019
D006930,P01019
D019954,P01019
D012640,P01019
D010911,P30556
D038901,P50052
D006527,P23526
D002526,Q8N157
D008607,Q8N157
D021081,P35869
D020417,P35869
D000090862,O95831
D006930,P55008
D020961,P55008
D010300,P55008
D013345,P55008
D014277,P55008
D006816,O95831
D009103,O14862
D049913,O00170
D049913,Q9NWT8
D003638,P54819
D008569,P24588
D020261,Q99996
D004827,P31749
D008579,P31749
D009133,P31749
D013119,Q96B36
D054220,Q9Y243
D020263,P13716
D008579,P13716
D012640,P13716
D001927,P02768
D001927,Q8TES7
D001930,P02768
D001930,Q8TES7
D002545,P02768
D002545,Q8TES7
D004827,P02768
D004827,Q8TES7
D008582,P02768
D008582,Q8TES7
D009135,P02768
D009135,Q8TES7
D020521,P02768
D020521,Q8TES7
D007562,P00352
D020734,P00352
D008591,O94788
D020734,O94788
D010300,P05091
D065306,P30838
D001928,P51649
D020821,P51649
D008607,P51649
D009461,P51649
D004827,Q9NP73
D020294,Q96F25
D020294,O75340
D020294,Q9H553
D001932,Q9UM73
D056769,Q8TCU4
D006930,P18054
D010523,P18054
D006930,P09917
D020244,P09917
D000083242,P20292
D020258,P20292
D012640,P05186
D009436,O95076
D015417,Q9UHK6
D013119,Q9C0C7
D000544,Q9UKV5
D020078,Q9BXJ7
D001932,Q4VCS5
D018908,P23109
D009133,P23109
D009135,P23109
D020158,P48728
D020879,Q15389
D020521,Q01484
D013226,Q12955
D007806,Q8NFD2
D004827,Q6UB99
D006527,Q7Z6G8
D020754,Q9NW15
D004421,Q9BYT9
D003294,Q9BYT9
D006527,P08758
D008607,Q9UPM8
D008607,O00189
D008607,P25054
D001930,P27695
D012640,P27695
D000544,Q8WW43
D020521,P02647
D000544,P02654
D018476,P05090
D007859,P05090
D019636,P05090
D000544,P02649
D002340,P02649
D016893,P02649
D016657,P02649
D034381,P02649
D006527,P02649
D009103,P02649
D020529,P02649
D019954,P02649
D012618,P02649
D012640,P02649
D000544,P05067
D000647,P05067
D017772,P05067
D001927,P05067
D016657,P05067
D003704,P05067
D005600,P05067
D007859,P05067
D008569,P05067
D019636,P05067
D020078,P05067
D010243,P05067
D013118,P05067
D019636,Q9UKG1
D013119,P29972
D009471,P55087
D013119,P55087
D013226,P55087
D020261,O14520
D020261,O43315
D020267,O14520
D020267,O43315
D000544,O60936
D000544,Q7LC44
D009069,O60936
D009069,Q7LC44
D001259,P48444
D020162,P05089
D009135,P05089
D020221,P78540
D038901,O43307
D004827,Q8NFD5
D008607,Q8N8R7
D007966,O43681
D007966,P15289
D020261,Q9HBK9
D055577,Q13510
D008607,Q8N3C0
D008607,P50553
D001930,P78348
D002545,P78348
D056807,P04424
D006527,P46597
D017825,P45381
D020159,P00966
D001930,O14525
D020326,O75129
D004827,Q9C0F0
D020244,P18847
D010523,P18847
D013119,P18848
D006816,Q9Y2D1
D003117,P18850
D007562,P18850
D020417,P18850
D020795,P18850
D012608,P18850
D053609,Q9H1Y0
D013119,Q9H1Y0
D053609,O95352
D001766,P31939
D001260,Q13315
D020191,P54259
D020149,Q9NQ11
D009472,Q9NQ11
D010300,Q9NQ11
D010302,Q9NQ11
D020734,Q9NQ11
D004421,P13637
D020734,P13637
D013226,P16615
D000544,P25705
D029242,P00846
D001259,Q04656
D007706,Q04656
D009461,Q04656
D010243,Q04656
D012640,Q04656
D014202,Q04656
D006527,P35670
D038901,P46100
D019636,P54253
D020754,P54253
D020754,P0C7T5
D000690,Q99700
D020754,Q99700
D017827,P54252
D020261,O15265
D020234,O15265
D009069,O15265
D012021,O15265
D020754,O15265
D014786,O15265
D010523,O14965
D004827,Q8WXX7
D000647,P01185
D006930,P01185
D007177,P01185
D008569,P01185
D012791,P01185
D018318,P30530
D058494,Q8NCR0
D058494,O43505
D000544,P56817
D002546,Q92934
D010300,Q9UL15
D016543,Q92560
D016543,Q96QZ7
D016543,Q99496
D008579,Q92560
D008579,Q96QZ7
D008579,Q99496
D000544,Q07812
D002543,Q07812
D018980,Q9UIG0
D002545,Q96PG8
D002545,Q9BXH1
D008607,Q8IWZ6
D008375,O15382
D000544,P06276
D004830,P06276
D005207,P06276
D006948,P06276
D009103,P06276
D009136,P06276
D020258,P06276
D010243,P06276
D010291,P06276
D010302,P06276
D012640,P06276
D012891,P06276
D014313,P06276
D008375,P12694
D008375,P21953
D001072,Q9H165
D007805,Q9H165
D000544,P10415
D002543,P10415
D007859,P10415
D008569,P10415
D002543,Q07817
D034381,Q07817
D020258,Q07817
D004833,P46663
D006930,P46663
D004833,P30411
D006930,P30411
D000544,P23560
D001930,P23560
D002545,P23560
D003638,P23560
D004827,P23560
D004830,P23560
D008607,P23560
D010300,P23560
D012640,P23560
D013226,P23560
D001930,Q14457
D020961,Q14457
D013119,Q14457
D013226,Q14457
D020178,O14503
D012893,Q9C0J9
D006527,Q93088
D009436,Q93088
D000544,O00499
D020914,O00499
D020162,O00327
D049913,P12644
D015175,P12644
D020149,Q12983
D003635,O60885
D010300,Q10588
D012148,Q96Q07
D008831,O60566
D008607,Q99622
D003882,P06681
D020244,P01024
D002546,P01024
D008581,P07357
D008581,P07358
D003882,P02748
D008585,P02748
D000690,Q96LT7
D057174,Q96LT7
D008607,P35219
D001259,O00555
D004832,O00555
D020325,O00555
D020754,O00555
D010523,Q00975
D011595,Q13936
D003638,Q01668
D008607,O43497
D020754,O43497
D004832,O95180
D006930,O95180
D010523,O95180
D020514,Q13698
D006930,P54289
D009437,P54289
D001259,Q9NY47
D002819,Q9NY47
D004832,Q9NY47
D034381,Q9NY47
D001259,O00305
D004829,O00305
D020190,O00305
D002375,P01258
D002375,P06881
D004314,P01258
D004314,P06881
D006930,P01258
D006930,P06881
D006948,P01258
D006948,P06881
D008607,P01258
D008607,P06881
D008881,P01258
D008881,P06881
D020326,P01258
D020326,P06881
D020078,P01258
D020078,P06881
D020426,P01258
D020426,P06881
D014277,P01258
D014277,P06881
D008881,P10092
D000544,P0DP23
D008569,Q9NYX4
D000690,Q96NX5
D006527,Q9UQM7
D006930,Q9UQM7
D007859,Q7Z624
D017240,Q7Z624
D018908,Q7Z624
D009902,P07384
D008607,Q9HC96
D006930,Q16568
D002526,O14936
D002526,P07498
D038901,O14936
D038901,P07498
D008831,O14936
D008831,P07498
D009103,P29466
D013226,P29466
D008607,P42575
D000544,P42574
D002545,P42574
D002543,P42574
D003929,P42574
D020258,P42574
D013119,P42574
D013226,P42574
D013345,P42574
D002543,Q14790
D013226,Q14790
D002545,P55211
D002546,P55211
D010523,P55211
D000544,Q9NQ75
D020521,Q86V15
D002545,P04040
D002545,Q6IB77
D003929,P04040
D003929,Q6IB77
D004409,P04040
D004409,Q6IB77
D012640,P04040
D012640,Q6IB77
D013226,P04040
D013226,Q6IB77
D049288,P56539
D004681,Q13191
D009103,Q13191
D006712,P35520
D008607,Q6UXH8
D000544,Q16204
D020914,A2IDD5
D006849,Q9P219
D020754,Q9P219
D002375,P06307
D004409,P06307
D006948,P06307
D019954,P06307
D020258,P06307
D012640,P06307
D014474,P06307
D006930,P32239
D002545,P51671
D001930,P13500
D002545,P13500
D002340,P13500
D006930,P13500
D020244,P13500
D020388,P13500
D009436,P13500
D013117,P13500
D016135,P13500
D013226,P13500
D020261,P78556
D009103,P78556
D002545,P10147
D013226,P10147
D020261,P16619
D020261,P13236
D002545,P13236
D020244,P80098
D020786,Q9BSQ5
D008607,P20248
D001932,P24385
D006623,P24385
D006849,P30279
D058627,P30279
D013226,O00590
D013226,P46092
D013226,P41597
D013226,P51677
D002545,P51679
D002545,Q9UK39
D002545,Q9ULM6
D014901,P51681
D013226,P32248
D013226,P51685
D013226,P51686
D020261,O00421
D001930,P08571
D002340,Q86VB7
D000544,Q9Y5K6
D000544,P20138
D020258,P04234
D020388,P01730
D009103,P25942
D013226,P25942
D000690,P29965
D020261,P16070
D009103,P16070
D009103,P19256
D009103,P30203
D020261,Q01151
D009103,P40200
D003638,Q9UNH5
D013226,P19022
D009103,Q00537
D001932,P11802
D020295,P11802
D024801,Q00535
D001927,Q15078
D020295,Q00534
D020521,Q00534
D017204,O76039
D004827,O76039
D015518,O76039
D012640,O76039
D020391,P38936
D010911,P46527
D001932,P42771
D001932,Q8N726
D020295,P42771
D020295,Q8N726
D018317,P42771
D018317,Q8N726
D010523,P42771
D010523,Q8N726
D010300,P40199
D001930,P17676
D002545,P17676
D015175,P49716
D009436,Q9BXF3
D020788,O15078
D008831,Q96MT8
D020191,P27544
D004827,Q9Y5P4
D001930,P02795
D001930,P23141
D000690,O43822
D006850,Q8NDM7
D001930,P00751
D009157,P00751
D016135,P23528
D008585,P27918
D006429,P01215
D012640,P28329
D008569,O14646
D004827,O14647
D020191,O14647
D058747,Q9P2D1
D008607,Q9HCK8
D058627,Q9HCK8
D005776,Q13231
D016135,P35790
D009290,Q9Y259
D008607,O00533
D008607,Q96FC9
D000690,Q9UQN3
D057180,Q9UQN3
D057174,Q9UQN3
D004370,P15882
D010300,Q99653
D002545,P11229
D004827,P11229
D008569,P11229
D012640,P11229
D001930,P08172
D003929,P08172
D004827,P08172
D001750,P08172
D002389,P08173
D014202,P08173
D012640,P32297
D004421,P43681
D017034,P43681
D012640,P43681
D012893,P43681
D012640,P30532
D000544,P36544
D001308,P36544
D001930,P36544
D004829,P36544
D008569,P36544
D019954,P36544
D012640,P36544
D016137,P36544
D020294,P11230
D000544,P17787
D017034,P17787
D012021,P17787
D012893,P17787
D012640,P30926
D020294,Q07001
D010243,Q07001
D020294,P07510
D009123,Q8NCH0
D008607,Q96RK0
D020754,Q96RK0
D020268,Q14011
D020078,Q14011
D009133,Q99967
D004421,Q9ULV3
D009224,P35523
D009103,O75508
D003638,O95500
D016893,Q9Y240
D009103,Q2KHT3
D001930,Q9ULY5
D009472,Q13286
D020191,Q9NWW5
D009472,Q9NWW5
D014786,Q9NWW5
D009472,Q9UBY8
D000544,P10909
D012640,P10909
D009103,Q9Y471
D009223,P62633
D008607,Q96KN2
D009461,Q96KN2
D003117,Q16281
D003117,Q9NQW8
D008607,Q969H4
D012640,Q9H8M5
D013746,Q9H8M5
D002375,P21554
D004833,P21554
D006816,P21554
D006930,P21554
D008569,P21554
D009069,P21554
D009103,P21554
D009128,P21554
D012640,P21554
D013226,P21554
D002375,P34972
D006930,P34972
D010302,P34972
D002543,P26441
D004827,Q9UHC6
D006948,Q9UHC6
D007805,Q9UHC6
D010300,Q9UHC6
D013342,Q9UHC6
D006319,P13942
D020294,Q5TAT6
D008607,P39060
D010300,Q14993
D006319,P02458
D020391,P02461
D002543,P02462
D059345,P02462
D056784,P02462
D065708,P02462
D065707,P02462
D002543,P08572
D065708,P08572
D009136,P12109
D004421,P12111
D006319,P20849
D006930,P21964
D008569,P21964
D019578,Q96H96
D008607,Q5HYK3
D017241,P23219
D017241,P00403
D017241,P35354
D001259,P00450
D001927,P00450
D003704,P00450
D020820,P00450
D006527,P00450
D007706,P00450
D010300,P00450
D007562,A4D0V7
D020165,P31327
D003128,P31327
D009290,Q92523
D010523,Q8TCG5
D001928,P23786
D009135,P23786
D000544,P17927
D009421,Q96SW2
D012415,Q92793
D000544,P06850
D009069,P06850
D010899,P06850
D011596,P06850
D012640,P06850
D013036,P06850
D013226,P06850
D006930,P34998
D006948,P34998
D016142,P13385
D020258,Q9H0B8
D009436,P16152
D009436,Q9BZJ0
D009436,Q9Y5Q5
D020261,P02741
D002561,P02741
D008581,P02741
D006849,A4D126
D009135,A4D126
D058494,A4D126
D020178,Q16526
D019636,P02511
D056784,P07333
D000647,P04141
D018908,P04141
D009436,P04141
D001930,P09919
D018908,P09919
D009135,P09919
D010523,P09919
D020886,P09919
D006930,P41240
D000544,P01034
D028243,P01034
D008579,P01034
D008579,P04080
D020194,P04080
D001927,Q2NKJ3
D010523,P16410
D054082,P26232
D009133,P35222
D009135,P07858
D008579,P07711
D020754,Q69YN2
D001930,P02778
D002545,P02778
D002561,P02778
D020261,P19875
D020244,P19875
D020261,P19876
D004314,P10145
D006527,P10145
D006930,P10145
D051474,P10145
D016893,Q07325
D001927,P25025
D020244,P25025
D009437,P25025
D020521,P49682
D009437,P61073
D000090862,P13498
D020520,P04839
D000090862,P04839
D002545,P99999
D002546,P99999
D020271,Q8WWM9
D012640,P05108
D007018,P05093
D009437,P05093
D007018,P11511
D009436,P05177
D017285,O15528
D001927,P11509
D010523,P10632
D001932,P11712
D000544,P10635
D001480,P10635
D003128,P10635
D004421,P10635
D004830,P10635
D020149,P10635
D009127,P10635
D010300,P10635
D014202,P10635
D010300,P05181
D020258,P20815
D000544,Q9Y6A2
D015419,O75881
D017241,P00156
D029242,P00156
D058494,Q14118
D001932,P53355
D010523,P53355
D000690,Q9UK59
D008375,P11182
D061085,P43146
D008607,P43146
D020391,P07585
D020734,Q14203
D054221,O43602
D010300,P20711
D020734,P20711
D013119,P0DPQ6
D013119,P35638
D010300,Q9NX09
D001259,Q99489
D004827,O00571
D008607,O75398
D010300,P12838
D049288,P17661
D000544,Q15392
D002545,Q9NR28
D006816,Q9NR28
D038901,Q9H7Y0
D006948,Q9NRI5
D008607,Q9NRI5
D038901,Q13368
D038901,Q92796
D018980,P78352
D018980,Q15334
D001932,O00548
D001259,P11532
D018908,P11532
D009136,P11532
D020388,P11532
D013226,P11532
D009222,Q09013
D009223,Q09013
D004410,Q8WXU2
D049288,O75190
D004827,Q05193
D008831,O00429
D017237,O00429
D009896,O00429
D010300,O00429
D020914,P50570
D003704,P26358
D034381,P26358
D009477,P26358
D008607,Q9Y6K1
D008831,Q9Y6K1
D008607,Q8NF50
D008831,Q9NYP3
D020294,Q9H3H5
D000690,P42658
D007805,Q12882
D056784,Q12882
D010523,Q12882
D000544,Q16555
D010300,Q8NBI3
D002375,P21728
D004409,P21728
D006948,P21728
D009069,P21728
D010300,P21728
D012640,P21728
D001480,P14416
D002375,P14416
D004409,P14416
D020820,P14416
D006948,P14416
D006966,P14416
D007806,P14416
D008569,P14416
D009069,P14416
D010300,P14416
D020734,P14416
D010911,P14416
D012640,P14416
D001480,P35462
D004409,P35462
D006930,P35462
D006948,P35462
D009069,P35462
D012640,P35462
D005879,P35462
D013981,P21917
D001932,Q86UW9
D009103,Q4G0W2
D020391,Q9UBX2
D008607,Q14204
D054220,Q14204
D008831,Q14204
D014897,Q14204
D010523,O14576
D002545,P63167
D004827,Q13627
D001342,P42892
D007888,P30084
D002561,P05305
D006930,P05305
D020244,P05305
D020961,P05305
D010300,P05305
D020521,P05305
D013345,P05305
D020181,P25101
D020521,P25101
D013345,P24530
D018317,O75530
D004827,Q05639
D008607,P24534
D004832,Q5JVL4
D020190,Q5JVL4
D020258,Q9GZT9
D002545,P18146
D015417,P11161
D015518,P11161
D001259,Q06889
D013226,P19525
D013226,Q9NZJ5
D013494,Q9NZJ5
D009135,Q9P2K8
D000544,P05198
D013226,P05198
D020391,P15502
D018980,P15502
D020754,Q9NYP7
D004402,O95163
D008607,Q6IA86
D020389,P50402
D001932,Q9HC35
D013651,P19622
D000544,P06733
D020961,P09104
D010300,P09104
D008607,P49961
D020274,O95936
D012415,Q09472
D000544,P21709
D020192,B3EWF7
D020192,O95278
D020191,B3EWF7
D020191,O95278
D001930,P01588
