,Disease1,Disease2,Sim_score
0,D000160,D006623,0.1745256212693076
1,D000160,D014786,0.2397219184275033
2,D000160,D014826,0.5067335487196144
3,D000160,D014832,0.3962528867727949
6,D000160,D014901,0.1734370591028965
7,D000160,D014929,0.4156095709681792
10,D000160,D015354,0.1783359948952192
15,D000160,D061285,0.6809493608466687
24,D000170,D000425,0.4973128710114473
25,D000170,D000430,0.5043509834019597
30,D000170,D000690,0.3256372158368474
31,D000170,D000699,0.3614965951277128
49,D000170,D001342,0.1762109947751923
50,D000170,D001480,0.1839962826919385
53,D000170,D001906,0.5329645571459465
58,D000170,D001927,0.2329845668538098
59,D000170,D001928,0.1779029665525774
62,D000170,D001932,0.1797702158194972
65,D000170,D002349,0.3901306407931363
69,D000170,D002422,0.3503433720968072
70,D000170,D002493,0.2481228841375932
71,D000170,D002494,0.1955572848482441
84,D000170,D002545,0.175181885377399
91,D000170,D002561,0.2034100031164884
92,D000170,D002573,0.3248674748193254
93,D000170,D002607,0.3743808077256005
99,D000170,D003147,0.1778215932547039
101,D000170,D003244,0.1711026022795222
103,D000170,D003389,0.2001030961694322
104,D000170,D003390,0.1829513120991044
112,D000170,D003704,0.1836856366937796
113,D000170,D003711,0.1960249384583242
114,D000170,D003882,0.3048455822526403
115,D000170,D003929,0.432384652568586
121,D000170,D004402,0.350396791934264
123,D000170,D004409,0.5344885467706463
130,D000170,D004660,0.1725293969273715
144,D000170,D004827,0.1792229583092987
158,D000170,D005151,0.1699936730204256
163,D000170,D005356,0.3157597541012791
173,D000170,D006014,0.2317896250121923
177,D000170,D006259,0.1944329335104777
178,D000170,D006311,0.1778860314741359
210,D000170,D007027,0.1805492677439808
218,D000170,D007625,0.2552485340883659
244,D000170,D008581,0.1756306563614777
254,D000170,D008607,0.1731569351899978
257,D000170,D009069,0.1976941056262261
267,D000170,D009134,0.307532085856174
268,D000170,D009135,0.4093432367325782
269,D000170,D009136,0.340087179
271,D000170,D009157,0.3287410141888481
275,D000170,D009220,0.35077485412452
277,D000170,D009223,0.2960094210700813
278,D000170,D009224,0.2720607937751665
281,D000170,D009408,0.4530848246812956
282,D000170,D009421,0.1869558669758145
283,D000170,D009423,0.2096891916995719
285,D000170,D009437,0.4328408068732365
286,D000170,D009443,0.4266242811863481
287,D000170,D009444,0.346487119402211
288,D000170,D009455,0.4237795487329265
289,D000170,D009456,0.3790012816160083
290,D000170,D009459,0.5167610877832006
291,D000170,D009461,0.2360873517072075
293,D000170,D009468,0.4569608009680797
296,D000170,D009477,0.3749349477267349
308,D000170,D010243,0.1769819725164702
309,D000170,D010244,0.2821958588040479
310,D000170,D010245,0.2896435575167081
318,D000170,D010523,0.5344170260884485
319,D000170,D010524,0.4735811056172282
325,D000170,D010900,0.1696361801037197
328,D000170,D011051,0.3316702408420506
329,D000170,D011052,0.2732486419165864
330,D000170,D011115,0.4640510666877164
331,D000170,D011128,0.3710924610908535
332,D000170,D011129,0.4157388521718193
341,D000170,D011843,0.4142668909641583
343,D000170,D012019,0.3915636153468257
345,D000170,D012035,0.3326196707209854
351,D000170,D012585,0.3817008203777258
356,D000170,D012678,0.1981720061212958
362,D000170,D012893,0.1874642272970479
369,D000170,D013118,0.1896245935820216
387,D000170,D013631,0.3430150903545034
388,D000170,D013641,0.3479010027162101
394,D000170,D013901,0.3797117914601519
408,D000170,D014786,0.1690666456346947
413,D000170,D014899,0.2596327320967604
427,D000170,D015417,0.3854880551484111
429,D000170,D015419,0.3540550514691142
434,D000170,D015624,0.269146324982533
435,D000170,D015673,0.3036886377495962
448,D000170,D016262,0.2640690513663458
449,D000170,D016472,0.3644645123471864
454,D000170,D016543,0.1952444379165682
456,D000170,D016603,0.2604541762179673
460,D000170,D016750,0.2761024871322007
464,D000170,D016878,0.3478008708933356
474,D000170,D017109,0.497562163
476,D000170,D017237,0.2952818973570996
477,D000170,D017240,0.320661518
478,D000170,D017241,0.2678537130615852
479,D000170,D017243,0.2458848751102101
480,D000170,D017246,0.2780694552251918
482,D000170,D017285,0.328396933
486,D000170,D017696,0.2669273548440604
487,D000170,D017769,0.3579748172852204
488,D000170,D017772,0.3879870507883101
493,D000170,D018317,0.4531764177542187
494,D000170,D018318,0.339225777
495,D000170,D018319,0.3126286209481251
507,D000170,D018979,0.2801651984413437
518,D000170,D019636,0.2132156949465728
519,D000170,D019846,0.3306118645448875
520,D000170,D019954,0.2046630793246523
528,D000170,D020149,0.657441349
553,D000170,D020196,0.2082822991346904
591,D000170,D020258,0.6330535995055988
592,D000170,D020260,0.7191856157460564
593,D000170,D020261,0.6629616855740872
594,D000170,D020262,0.8508630472508452
595,D000170,D020263,0.635261142
596,D000170,D020264,0.59352296
597,D000170,D020265,0.5764527703252027
598,D000170,D020267,0.5058146422515438
599,D000170,D020268,0.5468950693116056
600,D000170,D020269,0.4815781728692756
601,D000170,D020270,0.4560612479931429
602,D000170,D020271,0.181382622043815
603,D000170,D020274,0.1941864744417977
604,D000170,D020275,0.3845223335459771
605,D000170,D020277,0.3587746266161201
606,D000170,D020278,0.1688828016589191
610,D000170,D020294,0.2700178321410482
613,D000170,D020300,0.1684340513140799
633,D000170,D020364,0.3309636187027535
636,D000170,D020386,0.350475088
637,D000170,D020388,0.2975997374375116
638,D000170,D020389,0.2561361934322329
639,D000170,D020391,0.2672420584867576
642,D000170,D020422,0.4624128386222604
643,D000170,D020423,0.4248722832370301
644,D000170,D020424,0.392026981
645,D000170,D020425,0.3591508599380775
646,D000170,D020426,0.418226339559321
647,D000170,D020427,0.3627927562895857
648,D000170,D020428,0.3507318154731677
649,D000170,D020429,0.3757037856167381
650,D000170,D020430,0.3359842960910867
657,D000170,D020511,0.3643372106098627
658,D000170,D020512,0.2517503111801414
659,D000170,D020513,0.2406653363451856
660,D000170,D020514,0.2611590296459725
661,D000170,D020516,0.4152409387785406
663,D000170,D020521,0.1741986689531661
667,D000170,D020720,0.2523767804508393
669,D000170,D020734,0.1698384538000497
678,D000170,D020765,0.1692172637787759
681,D000170,D020773,0.1685219995897477
700,D000170,D020820,0.1759462948060001
706,D000170,D020879,0.1742460450953137
708,D000170,D020914,0.2960308594413545
710,D000170,D020918,0.4215373998338226
711,D000170,D020919,0.1687259185265639
712,D000170,D020920,0.1780111200347207
720,D000170,D020941,0.2258392738364599
726,D000170,D020966,0.360858637
727,D000170,D020967,0.3289027333221171
728,D000170,D020968,0.3735468250305282
730,D000170,D024801,0.1814662599293171
732,D000170,D028227,0.3495980968266946
739,D000170,D034381,0.1683279036000818
745,D000170,D039141,0.2464167048912656
752,D000170,D049288,0.2720848720411359
754,D000170,D049310,0.2508231375027394
764,D000170,D051474,0.3625057540889609
773,D000170,D052880,0.2549987903033878
775,D000170,D052958,0.336090853
776,D000170,D053421,0.3449849187084506
799,D000170,D055534,0.2392072457790399
801,D000170,D055622,0.2391417585867727
808,D000170,D055958,0.3071179266618783
811,D000170,D056768,0.2978552024673636
812,D000170,D056769,0.3020465726386483
813,D000170,D056784,0.1789535928281978
823,D000170,D058088,0.2159429231123703
831,D000170,D058923,0.2346473360134173
833,D000170,D059348,0.4087687323284292
838,D000170,D060545,0.3130365200219942
854,D000170,D063806,0.2797968414064452
868,D000172,D000160,0.1876364042808966
870,D000172,D000326,0.2640000647437456
874,D000172,D000405,0.2622084163270218
877,D000172,D000544,0.3380427544879288
878,D000172,D000550,0.2936149479525716
879,D000172,D000647,0.1720653158643645
881,D000172,D000690,0.2588528444305779
884,D000172,D000795,0.2554231787579442
887,D000172,D001037,0.1752996323410248
892,D000172,D001100,0.2280194462774089
895,D000172,D001259,0.2043427195711395
896,D000172,D001260,0.2518884737743599
898,D000172,D001304,0.2909730355081642
899,D000172,D001308,0.2552850216026289
900,D000172,D001342,0.2201950630653416
901,D000172,D001480,0.3819295611034995
902,D000172,D001750,0.1706097595833535
903,D000172,D001766,0.1885655484065669
905,D000172,D001922,0.3000616377303317
906,D000172,D001924,0.2843634240870406
907,D000172,D001925,0.3498715033742118
908,D000172,D001926,0.292581281707528
909,D000172,D001927,0.4674041863691964
910,D000172,D001928,0.3687016090697286
911,D000172,D001929,0.3227478276277867
912,D000172,D001930,0.3485318909297581
913,D000172,D001932,0.3693864465977884
914,D000172,D002340,0.3365724238268568
915,D000172,D002341,0.2666816094865631
921,D000172,D002493,0.4216160311422108
922,D000172,D002494,0.3398163567990079
923,D000172,D002524,0.3031365927956855
924,D000172,D002526,0.3539815064275067
925,D000172,D002527,0.2241378653125002
926,D000172,D002528,0.2861857087288116
927,D000172,D002532,0.3070585092664518
928,D000172,D002534,0.3265089516279714
929,D000172,D002537,0.2992300185992499
930,D000172,D002538,0.2804329854899015
931,D000172,D002539,0.3114862030916806
932,D000172,D002542,0.3198554799219229
933,D000172,D002543,0.3104064461916291
934,D000172,D002544,0.31060671386131
935,D000172,D002545,0.3578139585059031
936,D000172,D002546,0.3040900845349596
937,D000172,D002547,0.3149128194827076
938,D000172,D002549,0.2631486465136575
939,D000172,D002551,0.2858355553812374
942,D000172,D002561,0.4047244591093814
945,D000172,D002819,0.2661521198248264
946,D000172,D003027,0.2633505468229776
947,D000172,D003057,0.3219639199732425
949,D000172,D003128,0.1876306534717722
950,D000172,D003147,0.2234944682105669
951,D000172,D003221,0.1863648657860373
952,D000172,D003244,0.2159890282535474
954,D000172,D003389,0.2469003464484526
955,D000172,D003390,0.184011962058853
957,D000172,D003616,0.2541578412837261
959,D000172,D003638,0.1865177682544596
961,D000172,D003655,0.1679983184311332
962,D000172,D003693,0.1695495993245135
963,D000172,D003704,0.3814983642531252
964,D000172,D003711,0.2422996433528308
965,D000172,D003882,0.262533062497826
966,D000172,D003929,0.3174770956370336
968,D000172,D004314,0.1835005539724291
970,D000172,D004393,0.6744450585603303
974,D000172,D004409,0.2386087538430172
975,D000172,D004410,0.1690169551483213
977,D000172,D004421,0.1901420534648126
978,D000172,D004422,0.2481811216173813
980,D000172,D004652,0.5494764376541884
981,D000172,D004660,0.3661741494870354
982,D000172,D004670,0.2207512977952672
983,D000172,D004671,0.2957597797510125
984,D000172,D004672,0.2549648239715131
985,D000172,D004673,0.263525144
986,D000172,D004674,0.2271704048469659
987,D000172,D004675,0.253906717
989,D000172,D004678,0.300968972
990,D000172,D004679,0.2679542456338604
991,D000172,D004681,0.2857246111255087
992,D000172,D004683,0.2552991643190313
993,D000172,D004684,0.2245814354032924
994,D000172,D004685,0.2265274829194308
995,D000172,D004827,0.3753311914317613
996,D000172,D004828,0.3276687875115806
997,D000172,D004829,0.3260854723847292
998,D000172,D004830,0.2791330771499005
999,D000172,D004831,0.2841473482013909
1000,D000172,D004832,0.2739057964522571
1001,D000172,D004833,0.294484376123295
1002,D000172,D004834,0.258022181
1007,D000172,D005131,0.191721258140375
1009,D000172,D005151,0.2146431354662745
1010,D000172,D005155,0.2030374136990656
1011,D000172,D005156,0.1900720833099313
1012,D000172,D005158,0.1761476414739902
1014,D000172,D005356,0.2734510060727944
1016,D000172,D005621,0.2592668945552079
1017,D000172,D005645,0.2115263982142236
1018,D000172,D005693,0.2600271125519856
1019,D000172,D005733,0.2702360314829203
1020,D000172,D005776,0.2644690536059709
1022,D000172,D005879,0.2749843826220423
1023,D000172,D006009,0.2482475098135164
1024,D000172,D006014,0.1912914696217059
1025,D000172,D006211,0.2378902269045501
