,Drug_ID1,Drug_ID2,Weight
141,DB00006,DB00006,1.0
163,DB00006,DB06228,0.5520992905385588
463,DB00006,DB09332,0.5077106582690752
504,DB00006,DB04898,0.6731659322080873
513,DB00006,DB00302,0.5600077227343672
688,DB00006,DB00407,0.530237948265726
695,DB00006,DB01225,0.5818636290700832
1039,DB00006,DB00513,0.5468284922252861
1221,DB00006,DB09075,0.5553229235347409
1252,DB00006,DB06605,0.5536389760473414
1574,DB00006,DB00278,0.6735937932945415
1663,DB00006,DB06779,0.5349440558861674
1803,DB00006,DB01123,0.5960860645120138
1821,DB00006,DB06695,0.841856444336386
1909,DB00014,DB06230,0.5220245167206891
1916,DB00014,DB00647,0.5301491767208054
1948,DB00014,DB01452,0.5325947949662473
1950,DB00014,DB01192,0.51667849114836
2007,DB00014,DB00640,0.5354250305167795
2072,DB00014,DB00899,0.5231268276889259
2086,DB00014,DB00611,0.522262350239125
2087,DB00014,DB06207,0.5155058188132299
2104,DB00014,DB00656,0.5025009432352483
2133,DB00014,DB01282,0.5174053419609095
2221,DB00014,DB00708,0.5225996076344012
2256,DB00014,DB00106,0.7316362988546526
2297,DB00014,DB06785,0.7207378202058793
2333,DB00014,DB00824,0.5048802711053896
2343,DB00014,DB00183,0.507785288494078
2357,DB00014,DB09099,0.5093303834691664
2367,DB00014,DB00854,0.5201765149641009
2437,DB00014,DB00035,0.522597193388572
2514,DB00014,DB00484,0.5059917438304955
2537,DB00014,DB11362,0.5239941104550605
2538,DB00014,DB06788,0.6945569260155317
2553,DB00014,DB00800,0.5042230749702931
2576,DB00014,DB06699,0.7147384862391121
2591,DB00014,DB00921,0.5245167625250985
2612,DB00014,DB00770,0.513841529124238
2620,DB00014,DB06684,0.5565142608093687
2627,DB00014,DB00844,0.5226795576700217
2756,DB00014,DB00014,1.0
2772,DB00014,DB00268,0.501733012099079
2819,DB00014,DB00704,0.5207491515155149
2830,DB00014,DB00497,0.5051061533044715
2862,DB00014,DB09209,0.5244956011660155
2867,DB00014,DB00723,0.5044100122628778
2880,DB00014,DB08893,0.5191770784983286
2883,DB00014,DB00644,0.590153431509026
2885,DB00014,DB00956,0.5171271332014672
2984,DB00014,DB06791,0.5122420513879862
2995,DB00014,DB06204,0.5185675565011728
3066,DB00014,DB09421,0.5974849952338356
3145,DB00014,DB00211,0.5064569558260669
3157,DB00014,DB09059,0.5186594070875618
3164,DB00014,DB01018,0.5041061328276003
3290,DB00014,DB00666,0.5724302371804482
3351,DB00014,DB06274,0.5292207239197755
3489,DB00014,DB01200,0.5025804608168895
3582,DB00014,DB00629,0.503381148955789
3601,DB00014,DB00388,0.5046305779914649
3626,DB00014,DB00318,0.5207681155584383
3629,DB00014,DB00298,0.5087720297827901
3743,DB00014,DB00050,0.9302206259620318
3748,DB00014,DB06825,0.7484566285835097
3757,DB00014,DB09272,0.5376212555646375
3821,DB00035,DB00217,0.500045343761331
3865,DB00035,DB00598,0.5098566123124789
3926,DB00035,DB00246,0.5119009846692151
3961,DB00035,DB00983,0.5016322085023913
3977,DB00035,DB06207,0.5102111917726428
3981,DB00035,DB00275,0.5088876423641149
3988,DB00035,DB00872,0.8257168669357609
3992,DB00035,DB00696,0.5186785397830925
4023,DB00035,DB01282,0.6359375759245973
4037,DB00035,DB06196,0.550617334858134
4146,DB00035,DB00106,0.5134424692040278
4149,DB00035,DB00067,0.8333333333333334
4187,DB00035,DB06785,0.5074974265747672
4225,DB00035,DB00796,0.5216677907624053
4233,DB00035,DB00183,0.5481219041937179
4247,DB00035,DB09099,0.5226735113759975
4289,DB00035,DB00960,0.5017828581562949
4327,DB00035,DB00035,1.0
4330,DB00035,DB04846,0.5077764217741546
4343,DB00035,DB04861,0.5028663813620097
4393,DB00035,DB01359,0.5016256175716095
4394,DB00035,DB00637,0.5068047382438795
4407,DB00035,DB00734,0.5161929450991016
4422,DB00035,DB00559,0.5150127260361236
4427,DB00035,DB11362,0.5027050361607036
4466,DB00035,DB06699,0.5022841090153444
4545,DB00035,DB04946,0.5063916032811971
4576,DB00035,DB01102,0.5016098332163254
4646,DB00035,DB00014,0.522597193388572
4713,DB00035,DB00938,0.5077063912417572
4742,DB00035,DB06268,0.5126596304439136
4746,DB00035,DB00876,0.5131027507856799
4760,DB00035,DB01240,0.5051688355698182
4843,DB00035,DB01267,0.5165471348762186
4874,DB00035,DB06791,0.545576271065354
4956,DB00035,DB09421,0.5654774567767807
4990,DB00035,DB01149,0.5127337113775973
5023,DB00035,DB00248,0.5095815166451775
5047,DB00035,DB09059,0.9076627462393728
5126,DB00035,DB14642,0.8055268891182203
5129,DB00035,DB00678,0.509160209769436
5133,DB00035,DB00177,0.5121833584927172
5140,DB00035,DB00363,0.5076759977080526
5168,DB00035,DB01224,0.5075152312596131
5269,DB00035,DB14185,0.5242714244110074
5298,DB00035,DB06212,0.8224639738649379
5361,DB00035,DB02638,0.7805063517623904
5379,DB00035,DB01200,0.5196182681220453
5435,DB00035,DB00370,0.5023593724995422
5437,DB00035,DB00571,0.5021835809588165
5442,DB00035,DB08822,0.5172630885517663
5461,DB00035,DB08932,0.5145574197351731
5519,DB00035,DB00298,0.5018090832221388
5525,DB00035,DB08815,0.5024880045891472
5609,DB00035,DB06663,0.5265779142005358
5619,DB00035,DB01238,0.5138289425269494
5633,DB00035,DB00050,0.5185317015124534
5638,DB00035,DB06825,0.5263985828148845
5689,DB00050,DB06230,0.5209566511087752
5696,DB00050,DB00647,0.5294866419344099
5728,DB00050,DB01452,0.5302458480558828
5730,DB00050,DB01192,0.5158546968383311
5787,DB00050,DB00640,0.5346577912226088
5852,DB00050,DB00899,0.5219424537760634
5866,DB00050,DB00611,0.5213040799898897
5867,DB00050,DB06207,0.5127511108253786
5884,DB00050,DB00656,0.5017433126563572
5913,DB00050,DB01282,0.507218197039994
6001,DB00050,DB00708,0.5215865210116813
6036,DB00050,DB00106,0.7659304192849005
