Disease,Protein
D012559,P04217
D000544,Q9BQ22
D006528,Q9BQ22
D006527,Q9BQ22
D008175,Q9BQ22
D009404,Q9BQ22
D011471,Q9NRG9
D006528,Q4W5N8
D001321,P80404
D005764,P80404
D015179,Q9NP93
D006938,Q9NP93
D015179,Q8WWZ4
D015179,Q86UK0
D015179,Q86UQ4
D015179,Q99758
D006976,Q99758
D015179,P78363
C562479,P78363
D015179,Q6N017
D015179,Q8N139
D000544,Q8IZY2
C563834,Q8IZY2
D001943,Q49AI9
D015179,Q49AI9
D015179,Q8IUA7
D001943,Q6TBL4
D006528,Q6TBL4
D015179,Q6TBL4
D004938,Q6TBL4
D009447,Q6TBL4
D010300,Q6TBL4
D015179,Q9NRK6
D000347,Q53S60
D015179,Q53S60
D006528,Q75MQ5
D015179,Q75MQ5
C535932,Q75MQ5
D015179,Q2M3G0
D015179,Q9NP58
D011085,Q9NP58
D001943,P33527
D015179,P33527
D000505,Q92887
D015179,Q92887
D006932,Q92887
D007566,Q92887
D015179,Q86VN9
D015179,Q8IWU1
D004715,Q8IWU1
D011471,Q8IWU1
D015179,Q09428
D003922,Q09428
D003924,Q09428
D004715,Q8N4N7
D015179,Q9UBJ2
D015179,P28288
D015179,P61221
D015179,P45844
D001943,Q8WZ76
D015179,Q8WZ76
D011471,Q53T83
D000544,Q9P2A4
D004715,Q5JPC9
D001943,Q86Y36
D004938,Q86Y36
D015464,Q86Y36
D011471,Q9UQ67
D011471,Q12979
D002311,Q8N0Z2
D013274,Q9ULW3
D010003,P42765
D006528,Q7Z5W8
D001943,Q4G170
D009765,Q4G170
D013274,Q6ZUS0
D009765,Q5T4U5
D001321,P45954
D000544,Q3KRI5
D001145,Q3KRI5
D001321,Q3KRI5
D006528,Q3KRI5
D002446,Q3KRI5
D005776,Q3KRI5
D006976,Q3KRI5
D008175,Q3KRI5
D011225,Q3KRI5
D011471,Q3KRI5
D013274,Q3KRI5
D006976,Q9BYF1
D000544,Q6TQD3
D001943,Q6TQD3
D002292,Q6TQD3
D015179,Q6TQD3
D009765,Q6TQD3
D011471,Q6TQD3
D001749,Q6TQD3
D015179,P25106
D006528,P53396
D009765,P53396
D010003,P21399
D006528,Q71UF1
D012559,Q3I5F7
D006528,Q15067
D015451,Q9NUZ1
D009765,P13686
