Drug,Protein
DB00014,P22888
DB00014,P30968
DB00035,P30518
DB00035,P37288
DB00035,P47901
DB00091,P49069
DB00091,Q96LZ3
DB00091,P62937
DB00091,P30405
DB00115,Q99707
DB00115,P22033
DB00115,Q9UBK8
DB00115,Q8IVH4
DB00115,Q9Y4U1
DB00115,P42898
DB00122,P36544
DB00122,Q9Y5K3
DB00122,P22303
DB00122,P49585
DB00122,O14939
DB00122,P06276
DB00122,Q13393
DB00122,Q8TCT1
DB00125,Q8WY07
DB00125,Q96A70
DB00125,P04424
DB00125,P35228
DB00125,P30825
DB00125,P78540
DB00125,O43246
DB00125,P00966
DB00125,P29474
DB00126,Q54873
DB00126,P24300
DB00126,O00469
DB00126,O14832
DB00126,O60568
DB00126,O75936
DB00126,P09172
DB00126,P19021
DB00126,Q32P28
DB00126,Q8IVL5
DB00126,Q8IVL6
DB00126,P13674
DB00126,Q8N543
DB00126,Q6N063
DB00126,Q6NS38
DB00126,Q96Q83
DB00126,Q9BY66
DB00126,Q02809
DB00126,Q9NVH6
DB00126,Q9NXG6
DB00126,Q9GZT9
DB00126,Q96KS0
DB00126,Q9H6Z9
DB00131,Q13131
DB00131,P54646
DB00131,Q9Y478
DB00131,O43741
DB00131,P54619
DB00131,Q9UGJ0
DB00131,Q9UGI9
DB00131,P55263
DB00131,Q9Y478
DB00131,Q9NR19
DB00131,Q13131
DB00131,Q08828
DB00131,P33121
DB00131,P16220
DB00131,Q07343
DB00131,P49773
DB00131,Q08499
DB00131,P09467
DB00136,P11473
DB00136,P31260
DB00140,Q969G6
DB00140,P0AFU8
DB00140,P30043
DB00141,P15291
DB00141,O60513
DB00141,Q9UJ70
DB00141,Q9UK23
DB00141,P54802
DB00141,P51606
DB00146,P11473
DB00152,Q9H3S4
DB00153,P11473
DB00153,Q06432
DB00153,Q9Y698
DB00153,O60359
DB00153,Q9UBN1
DB00153,Q9UF02
DB00153,Q9BXT2
DB00153,P62955
DB00153,Q8WXS5
DB00153,P54289
DB00153,Q9NY47
DB00153,Q8IZS8
DB00153,Q7Z3S7
DB00153,Q13936
DB00153,Q01668
DB00153,O60840
DB00153,Q13698
DB00153,Q02641
DB00153,Q08289
DB00153,P54284
DB00153,O00305
DB00153,Q00975
DB00153,O00555
DB00153,Q15878
DB00153,O43497
DB00153,O95180
DB00153,Q9P0X4
DB00158,P41439
DB00158,P14207
DB00158,P15328
DB00159,P35354
DB00159,P23219
DB00159,P37231
DB00159,Q03181
DB00159,O14842
DB00159,P32418
DB00159,O15540
DB00159,O60427
DB00159,O60488
DB00159,Q8NER1
DB00159,Q07869
DB00159,P09917
DB00160,P21549
DB00160,P24298
DB00160,Q9Y697
DB00160,Q7Z2H8
DB00160,Q9UHI5
DB00160,Q9BYV1
DB00160,P49588
DB00160,P43007
DB00160,P80404
DB00160,Q16719
DB00160,Q5JTZ9
DB00160,Q8IUZ5
DB00160,Q8TD30
DB00162,P05090
DB00162,P41222
DB00162,Q96NR8
DB00162,Q92781
DB00162,Q8NBN7
DB00162,O94788
DB00162,P00352
DB00162,O95237
DB00162,O75911
DB00162,P47895
DB00162,Q6NUM9
DB00162,Q8TC12
DB00162,Q9BTZ2
DB00162,Q9HBH5
DB00162,Q9NYR8
DB00163,Q9UDX3
DB00163,Q9UDX4
DB00163,O76054
DB00163,O75469
DB00163,P05771
DB00163,P09917
DB00163,P17252
DB00163,P23743
DB00163,P62714
DB00163,P67775
DB00165,O00764
DB00167,P45954
DB00167,P54687
DB00167,O15382
DB00167,P41252
DB00167,Q9NSE4
DB00169,P11473
DB00175,P04035
DB00175,Q92769
DB00176,P31645
DB00176,Q12809
DB00177,P30556
DB00178,P12821
DB00178,P46663
DB00179,P09917
DB00179,P04278
DB00179,Q96QT4
DB00180,P04150
DB00181,O75899
DB00181,P61073
DB00181,Q9UBS5
DB00182,Q05940
DB00182,Q01959
DB00182,Q16568
DB00182,Q96RJ0
DB00182,P21397
DB00182,P27338
DB00182,P23975
DB00182,P35348
DB00182,P35368
DB00182,P25100
DB00182,P08913
DB00182,P18089
DB00182,P18825
DB00182,P08588
DB00182,P07550
DB00182,P13945
DB00182,P14416
DB00182,P27338
DB00182,P31645
DB00186,P14867
DB00186,P47869
DB00186,P34903
DB00186,P48169
DB00186,P31644
DB00186,Q16445
DB00186,P18505
DB00186,P47870
DB00186,P28472
DB00186,O14764
DB00186,P78334
DB00186,Q8N1C3
DB00186,P18507
DB00186,Q99928
DB00186,O00591
DB00186,Q9UN88
DB00186,P14867
DB00186,P47869
DB00186,P34903
DB00186,P31644
DB00186,Q8N1C3
DB00186,P18507
DB00186,Q99928
DB00187,P08588
DB00188,P28074
DB00188,P20618
DB00190,P20711
DB00191,P23975
DB00191,P31645
DB00191,Q01959
DB00191,P21397
DB00191,P27338
DB00191,P01303
DB00193,P35372
DB00193,P23975
DB00193,P31645
DB00193,Q99250
DB00193,Q05586
DB00193,Q12879
DB00193,Q13224
DB00193,Q14957
DB00193,O15399
DB00193,Q8TCU5
DB00193,O60391
DB00193,P30542
DB00193,P08913
DB00193,P18089
DB00193,P18825
DB00193,P28335
DB00193,P41145
DB00193,P41143
DB00193,P36544
DB00193,P20309
DB00193,P11229
DB00193,P25103
DB00193,Q8NER1
DB00195,P08588
DB00195,P07550
DB00199,O43193
DB00199,Q12809
DB00200,Q99707
DB00200,P22033
DB00200,Q8IVH4
DB00200,P20061
