Disease,Disease,Similarity_Score
C535654,D012148,0.153857218
C535654,D030981,0.297534763
C535654,D031845,0.266923921
C535654,D015845,0.288056971
C535654,D000224,0.279830557
C535654,D000437,0.011903535
C535654,C537057,0.379973601
C535654,D000544,0.338042754
C535654,C536595,0.338042754
C535654,D054179,0.275944388
C535654,D004057,0.312043116
C535654,C531622,0
C535654,D020181,0.178244323
C535654,D001327,0.040733219
C535654,D000505,0.341161025
C535654,D005764,0.001120893
C535654,D015451,0
C535654,D001749,0.00818644
C535654,C562419,0.414711629
C535654,C566188,0.303136593
C535654,D017488,0.261948425
C535654,D001943,0.412454828
C535654,D015179,0.02750887
C535654,D006528,0.012428164
C535654,C567779,0.276290332
C535654,D001145,0.030902249
C535654,D020936,0.239176767
C535654,D020936,0.239176767
C535654,D007644,0.30885225
C535654,D046589,0.230246862
C535654,C565115,0.381498364
C535654,C562379,0.431788309
C535654,D020790,0.52566709
C535654,C565101,0.342625579
C535654,C564219,0.342625579
C535654,C565100,0.329896567
C535654,D003924,0.342625579
C535654,D009103,0.219268662
C535654,C565080,0.406023584
C535654,D020961,0.265417445
C535654,C536698,0.249095671
C535654,D004715,0
C535654,D003966,0.297627528
C535654,C565054,0.014645421
C535654,D004828,0.327668788
C535654,D010787,0.397810869
C535654,D020195,0.263111623
C535654,D004938,0.007284946
C535654,C565034,0.383474824
C535654,C565025,0.013229169
C535654,D006467,0
C535654,C565024,0.013229169
C535654,C565023,0.013229169
C535654,D005198,0
C535654,D005258,0.227204251
C535654,D005351,0
C535654,D006970,0.172853056
C535654,D013274,0.014136938
C535654,C564239,0
C535654,D005879,0.274984383
C535654,C564234,0.341125078
C535654,D005902,0.341125078
C535654,D005910,0.019356348
C535654,D018310,0.272650712
C535654,D050031,0.263009312
C535654,D010003,0.316243051
C535654,D006392,0
C535654,D006816,0.286411053
C535654,D005878,0
C535654,C562999,0
C535654,D006938,0
C535654,D006938,0
C535654,D006945,0.34469824
C535654,D006950,0
C535654,D006938,0
C535654,D006954,0
C535654,D002292,0.002634084
C535654,C564164,0.365214095
