Drug,Disease
DB00555,C535654
DB00949,C535654
DB01068,C535654
DB00190,D012148
DB00193,D012148
DB00230,D012148
DB00268,D012148
DB00413,D012148
DB00564,D012148
DB00575,D012148
DB00996,D012148
DB01068,D012148
DB01235,D012148
DB00282,D030981
DB00169,D031845
DB00282,D031845
DB00286,D031845
DB00399,D031845
DB00481,D031845
DB00603,D031845
DB00630,D031845
DB00710,D031845
DB00717,D031845
DB00783,D031845
DB00884,D031845
DB00977,D031845
DB00999,D031845
DB06285,D031845
DB00712,D015845
DB00215,D000437
DB00475,D000437
DB00659,D000437
DB00704,D000437
DB00822,D000437
DB00904,D000437
DB00252,C537057
DB00313,C537057
DB00350,C537057
DB00421,C537057
DB00490,C537057
DB00532,C537057
DB00564,C537057
DB00620,C537057
DB00795,C537057
DB01216,C537057
DB00163,D000544
DB00313,D000544
DB00382,D000544
DB00674,D000544
DB00843,D000544
DB00989,D000544
DB01043,D000544
DB00179,D004057
DB00544,D004057
DB00586,D004057
DB00724,D004057
DB00936,D004057
DB00992,D004057
DB00682,C531622
DB00945,C531622
DB00747,C566271
DB00745,D020181
DB00351,D001327
DB00470,D001327
DB00635,D001327
DB00959,D001327
DB01072,D001327
DB01157,D001327
DB01232,D001327
DB01216,D000505
DB00213,D005764
DB00338,D005764
DB00364,D005764
DB00448,D005764
DB00501,D005764
DB00585,D005764
DB00736,D005764
DB00863,D005764
DB00883,D005764
DB00927,D005764
DB01019,D005764
DB01020,D005764
DB01129,D005764
DB01233,D005764
DB01378,D005764
DB00242,D015451
DB00262,D015451
DB00290,D015451
DB00444,D015451
DB00541,D015451
DB00563,D015451
DB00987,D015451
DB01033,D015451
DB01073,D015451
DB01181,D015451
DB01204,D015451
DB00305,D001749
DB00385,D001749
DB00515,D001749
DB00563,D001749
DB00958,D001749
DB00997,D001749
DB00264,C562419
DB00335,C562419
DB00571,C562419
DB00598,C562419
DB00612,C562419
DB01203,C562419
DB04861,C562419
DB00434,C566188
DB00536,C566188
DB00014,D001943
DB00282,D001943
DB00286,D001943
DB00351,D001943
DB00441,D001943
DB00445,D001943
DB00481,D001943
DB00544,D001943
DB00563,D001943
DB00570,D001943
DB00624,D001943
DB00675,D001943
DB00783,D001943
DB00947,D001943
DB00990,D001943
DB00997,D001943
DB01006,D001943
DB01101,D001943
DB01185,D001943
DB01217,D001943
DB01229,D001943
DB01248,D001943
DB01259,D001943
DB00544,D015179
DB00563,D015179
DB00650,D015179
DB00762,D015179
DB01101,D015179
DB00398,D006528
DB00257,C567779
DB00620,C567779
DB01099,C567779
DB01110,C567779
DB01167,C567779
DB01188,C567779
DB00204,D001145
DB00252,D001145
DB00280,D001145
DB00379,D001145
DB00571,D001145
DB00661,D001145
DB00908,D001145
DB01035,D001145
DB01064,D001145
DB01113,D001145
DB01118,D001145
DB01228,D001145
DB00661,C566171
DB00162,C567296
DB03796,C567296
DB00963,C536691
DB00915,C562509
DB01174,D020936
DB00794,D020936
DB01174,D020936
DB00381,D046589
DB00393,D046589
DB00682,D046589
DB00722,D046589
DB00758,D046589
DB00790,D046589
DB00806,D046589
DB00945,D046589
DB01109,D046589
DB01219,D046589
DB00163,C565115
DB00190,C565115
DB00245,C565115
DB00268,C565115
DB00313,C565115
DB00382,C565115
DB00387,C565115
DB00413,C565115
DB00674,C565115
DB00747,C565115
DB00810,C565115
DB00843,C565115
DB00989,C565115
DB01043,C565115
DB00443,C562379
DB00635,C562379
DB00741,C562379
DB00936,C562379
DB01013,C562379
DB01188,C562379
DB01234,C562379
DB00035,D020790
DB00067,D020790
DB00999,D020790
DB00222,C565101
DB00284,C565101
DB00331,C565101
DB00412,C565101
DB00414,C565101
DB00491,C565101
DB00672,C565101
DB00731,C565101
DB00839,C565101
DB00912,C565101
DB01016,C565101
DB01029,C565101
DB01067,C565101
DB01124,C565101
DB01132,C565101
DB01261,C565101
DB00222,C564219
DB00284,C564219
DB00331,C564219
DB00412,C564219
DB00414,C564219
DB00491,C564219
DB00672,C564219
DB00731,C564219
DB00839,C564219
DB00912,C564219
DB01016,C564219
DB01029,C564219
DB01067,C564219
DB01124,C564219
DB01132,C564219
DB01261,C564219
DB00104,C565100
DB00222,D003924
DB00284,D003924
DB00331,D003924
DB00412,D003924
DB00414,D003924
DB00491,D003924
DB00672,D003924
DB00731,D003924
DB00839,D003924
DB00912,D003924
DB01016,D003924
DB01029,D003924
DB01067,D003924
DB01120,D003924
DB01124,D003924
DB01132,D003924
DB01261,D003924
DB00181,D009103
DB00242,D009103
DB00635,D009103
DB00745,D009103
DB00860,D009103
DB00915,D009103
DB00993,D009103
DB01204,D009103
DB01219,D009103
DB05259,D009103
DB00653,C565080
DB00502,D020961
DB00181,C536698
DB00564,C536698
DB00007,D004715
DB00014,D004715
DB00304,D004715
DB00367,D004715
DB00603,D004715
DB00717,D004715
DB00957,D004715
DB00977,D004715
DB01406,D004715
DB00215,D003966
DB00285,D003966
DB00472,D003966
DB00715,D003966
DB01104,D003966
DB00619,C565054
DB00794,D004828
DB00794,D010787
DB00794,D020195
DB00515,D004938
DB00563,D004938
DB00707,D004938
DB00958,D004938
DB00328,C563167
DB00443,C563167
DB00620,C563167
DB00635,C563167
DB00788,C563167
DB01234,C563167
DB00328,C565034
DB00605,C565034
DB00788,C565034
DB00814,C565034
DB00035,C565025
DB00302,C565025
DB00302,D006467
DB00302,C565024
DB00302,C565023
DB00995,D005258
DB00482,D005351
DB00201,D006970
DB00745,D006970
DB01576,D006970
DB00305,D013274
DB00544,D013274
DB00563,D013274
DB00997,D013274
DB01101,D013274
DB01248,D013274
DB00759,C564239
DB00246,D005879
DB00502,D005879
DB00575,D005879
DB00657,D005879
DB00734,D005879
DB00195,C564234
DB00287,C564234
DB00373,C564234
DB00388,C564234
DB00449,C564234
DB00484,C564234
DB00521,C564234
DB00654,C564234
DB00668,C564234
DB00869,C564234
DB00905,C564234
DB01194,C564234
DB01210,C564234
DB01214,C564234
DB00287,D005902
DB00373,D005902
DB00388,D005902
DB00449,D005902
DB00484,D005902
DB00654,D005902
DB00668,D005902
DB00869,D005902
DB00905,D005902
DB01194,D005902
DB01214,D005902
DB00262,D005910
DB00279,D018310
DB00451,D018310
DB00279,D050031
DB00451,D050031
DB00122,D010003
DB00201,D010003
DB00316,D010003
DB00318,D010003
DB00328,D010003
DB00461,D010003
DB00482,D010003
DB00500,D010003
DB00554,D010003
DB00573,D010003
DB00580,D010003
DB00586,D010003
DB00605,D010003
DB00712,D010003
DB00749,D010003
DB00788,D010003
DB00814,D010003
DB00861,D010003
DB00929,D010003
DB00945,D010003
DB00959,D010003
DB00991,D010003
DB01009,D010003
DB01050,D010003
DB01068,D010003
DB01296,D010003
DB00571,D006392
DB00181,D006816
DB04844,D006816
DB00182,D001289
DB00285,D001289
DB00289,D001289
DB00422,D001289
DB00458,D001289
DB00540,D001289
DB00575,D001289
DB00745,D001289
DB01018,D001289
DB01151,D001289
DB01156,D001289
DB01255,D001289
DB01576,D001289
DB01577,D001289
DB01174,D005878
DB00017,C562999
DB00282,C562999
DB00399,C562999
DB00635,C562999
DB00695,C562999
DB00175,D006938
DB00227,D006938
DB00627,D006938
DB00641,D006938
DB01039,D006938
DB01076,D006938
DB01095,D006938
DB01098,D006938
DB01241,D006938
DB00321,D006945
DB00424,D006945
DB00575,D006945
DB00996,D006945
DB01062,D006945
DB01162,D006945
DB00627,D006954
DB00636,D006954
DB01039,D006954
DB01241,D006954
DB00398,D002292
DB00441,D002292
DB00530,D002292
DB00603,D002292
DB01005,D002292
DB01101,D002292
DB01268,D002292
DB01590,D002292
DB06287,D002292
DB00755,C562400
DB00755,C564164
DB00381,D000075222
DB00657,D000075222
DB00678,D000075222
DB00966,D000075222
DB01088,D000075222
DB01258,D000075222
DB01275,D000075222
DB00140,C564156
DB00201,C564156
DB00241,C564156
DB00316,C564156
DB00318,C564156
DB00320,C564156
DB00354,C564156
DB00366,C564156
DB00371,C564156
DB00388,C564156
DB00433,C564156
DB00477,C564156
DB00508,C564156
DB00514,C564156
DB00537,C564156
DB00557,C564156
DB00757,C564156
DB00767,C564156
DB00788,C564156
DB00852,C564156
DB00889,C564156
DB00904,C564156
DB00945,C564156
DB01009,C564156
DB01050,C564156
DB01075,C564156
DB01176,C564156
DB01231,C564156
DB01234,C564156
DB01399,C564156
DB01219,C535694
DB00644,C562785
DB00136,C537907
DB00153,C537907
DB00178,C537907
DB00214,C537907
DB00492,C537907
DB00519,C537907
DB00542,C537907
DB00584,C537907
DB00678,C537907
DB00691,C537907
DB00695,C537907
DB00722,C537907
DB00790,C537907
DB00881,C537907
DB00887,C537907
DB00988,C537907
DB01029,C537907
DB01070,C537907
DB01197,C537907
DB00211,D019578
DB00368,D019578
DB00388,D019578
DB00635,D007154
DB00860,D007154
DB00959,D007154
DB00819,C535932
DB00122,D000699
DB00181,D000699
DB00193,D000699
DB00201,D000699
DB00230,D000699
DB00273,D000699
DB00281,D000699
DB00285,D000699
DB00295,D000699
DB00297,D000699
DB00316,D000699
DB00321,D000699
DB00327,D000699
DB00328,D000699
DB00333,D000699
DB00346,D000699
DB00356,D000699
DB00454,D000699
DB00457,D000699
DB00458,D000699
DB00461,D000699
DB00465,D000699
DB00476,D000699
DB00482,D000699
DB00497,D000699
DB00508,D000699
DB00527,D000699
DB00540,D000699
DB00557,D000699
DB00573,D000699
DB00575,D000699
DB00586,D000699
DB00590,D000699
DB00605,D000699
DB00611,D000699
DB00647,D000699
DB00652,D000699
DB00686,D000699
DB00706,D000699
DB00721,D000699
DB00749,D000699
DB00750,D000699
DB00788,D000699
DB00813,D000699
DB00844,D000699
DB00861,D000699
DB00898,D000699
DB00899,D000699
DB00907,D000699
DB00921,D000699
DB00924,D000699
DB00936,D000699
DB00939,D000699
DB00945,D000699
DB00956,D000699
DB00996,D000699
DB01002,D000699
DB01050,D000699
DB01086,D000699
DB01142,D000699
DB01151,D000699
DB01161,D000699
DB01162,D000699
DB01173,D000699
DB01189,D000699
DB01192,D000699
DB01204,D000699
DB01216,D000699
DB01221,D000699
DB01399,D000699
DB01403,D000699
DB00342,D007299
DB00366,D007299
DB00388,D007299
DB00397,D007299
DB00434,D007299
DB00620,D007299
DB00635,D007299
DB00637,D007299
DB00668,D007299
DB00860,D007299
DB00959,D007299
DB01069,D007299
DB01075,D007299
DB00523,D012514
DB00570,D012514
DB00694,D012514
DB01229,D012514
DB00620,D007627
DB00586,D007873
DB00630,D007873
DB00788,D007873
DB00945,D007873
DB01050,D007873
DB00007,D007889
DB00242,D015451
DB01033,D015451
DB01073,D015451
DB01181,D015451
DB00443,D018459
DB00563,D018459
DB00620,D018459
DB00635,D018459
DB00755,D018459
DB01013,D018459
DB00091,D008180
DB00620,D008180
DB00635,D008180
DB00945,D008180
DB00993,D008180
DB01234,D008180
DB00712,D008269
DB01234,D008269
DB01219,C535696
DB00692,C535507
DB01148,C535507
DB01210,C535507
DB01225,C535507
DB00290,D000096142
DB00851,D000096142
DB00853,D000096142
DB01005,D000096142
DB01248,D000096142
DB00290,D000096142
DB00851,D000096142
DB00853,D000096142
DB01005,D000096142
DB01248,D000096142
DB00829,D008575
DB01231,D008575
DB00490,C563591
DB00201,D020326
DB00216,D020326
DB00241,D020326
DB00273,D020326
DB00315,D020326
DB00316,D020326
DB00320,D020326
DB00328,D020326
DB00353,D020326
DB00373,D020326
DB00434,D020326
DB00510,D020326
DB00533,D020326
DB00571,D020326
DB00635,D020326
DB00661,D020326
DB00669,D020326
DB00696,D020326
DB00697,D020326
DB00788,D020326
DB00918,D020326
DB00924,D020326
DB00945,D020326
DB00952,D020326
DB00953,D020326
DB00996,D020326
DB00998,D020326
DB01173,D020326
DB01233,D020326
DB00211,D008945
DB00264,D008945
DB00335,D008945
DB00571,D008945
DB00598,D008945
DB00612,D008945
DB00687,D008945
DB01203,D008945
DB04861,D008945
DB00457,D020254
DB01019,D020254
DB01162,D020254
DB01400,D020254
DB00747,D009041
DB01069,D009041
DB01075,D009041
DB00993,D049310
DB00697,D009220
DB00924,D009220
DB01173,D009220
DB00177,C562889
DB00178,C562889
DB00187,C562889
DB00195,C562889
DB00203,C562889
DB00206,C562889
DB00214,C562889
DB00226,C562889
DB00264,C562889
DB00270,C562889
DB00275,C562889
DB00287,C562889
DB00310,C562889
DB00325,C562889
DB00343,C562889
DB00350,C562889
DB00364,C562889
DB00373,C562889
DB00374,C562889
DB00381,C562889
DB00401,C562889
DB00421,C562889
DB00436,C562889
DB00449,C562889
DB00457,C562889
DB00484,C562889
DB00492,C562889
DB00519,C562889
DB00521,C562889
DB00524,C562889
DB00542,C562889
DB00559,C562889
DB00571,C562889
DB00575,C562889
DB00590,C562889
DB00594,C562889
DB00598,C562889
DB00622,C562889
DB00654,C562889
DB00657,C562889
DB00661,C562889
DB00678,C562889
DB00691,C562889
DB00692,C562889
DB00695,C562889
DB00722,C562889
DB00796,C562889
DB00800,C562889
DB00808,C562889
DB00820,C562889
DB00869,C562889
DB00876,C562889
DB00880,C562889
DB00881,C562889
DB00883,C562889
DB00887,C562889
DB00903,C562889
DB00905,C562889
DB00960,C562889
DB00966,C562889
DB00968,C562889
DB00988,C562889
DB00999,C562889
DB01018,C562889
DB01023,C562889
DB01029,C562889
DB01085,C562889
DB01088,C562889
DB01115,C562889
DB01136,C562889
