Disease_ID1,Disease_ID2,Similarity_Score
C535654,D012148,0.15385721823183215
C535654,D030981,0.29753476265893425
C535654,D031845,0.26692392107172525
C535654,D015845,0.2880569707055023
C535654,D000437,0.011903534585788678
C535654,C537057,0.37997360124412494
C535654,D000544,0.33804275448792886
C535654,D004057,0.31204311566082443
C535654,C531622,0
C535654,D020181,0.17824432302341406
C535654,D001327,0.040733219
C535654,D000505,0.34116102549090715
C535654,D005764,0.001120893
C535654,D015451,0
C535654,D001749,0.00818644
C535654,C562419,0.41471162854995125
C535654,C566188,0.30313659279568556
C535654,D001943,0.41245482794834826
C535654,D015179,0.027508869556230553
C535654,D006528,0.012428164102190609
C535654,C567779,0.2762903320695427
C535654,D001145,0.030902249197005592
C535654,D020936,0.23917676748846145
C535654,D020936,0.23917676748846145
C535654,D046589,0.23024686175977785
C535654,C565115,0.3814983642531252
C535654,C562379,0.4317883085111715
C535654,D020790,0.5256670899790433
C535654,C565101,0.3426255793138448
C535654,C564219,0.3426255793138448
C535654,C565100,0.3298965672895563
C535654,D003924,0.3426255793138448
C535654,D009103,0.21926866175890586
C535654,C565080,0.40602358435346453
C535654,D020961,0.26541744514398485
C535654,C536698,0.24909567063636673
C535654,D004715,0
C535654,D003966,0.29762752792822267
C535654,C565054,0.014645421107206614
C535654,D004828,0.32766878751158074
C535654,D010787,0.39781086870212806
C535654,D020195,0.26311162331508314
C535654,D004938,0.007284946
C535654,C565034,0.38347482436886643
C535654,C565025,0.013229168537379498
C535654,D006467,0
C535654,C565024,0.013229168537379498
C535654,C565023,0.013229168537379498
C535654,D005258,0.22720425056471133
C535654,D005351,0
C535654,D006970,0.17285305602688278
C535654,D013274,0.014136937840367292
C535654,C564239,0
C535654,D005879,0.27498438262204233
C535654,C564234,0.34112507819432436
C535654,D005902,0.34112507819432436
C535654,D005910,0.019356348254162815
C535654,D018310,0.2726507122054733
C535654,D050031,0.26300931162904373
C535654,D010003,0.3162430512968905
C535654,D006392,0
C535654,D006816,0.28641105336488487
C535654,D005878,0
C535654,C562999,0
C535654,D006938,0
