,src,dst,similarity
0,DB00014,DB00014,1.0
1,DB00014,DB00035,0.522597193388572
2,DB00014,DB00067,0.45427077568456103
4,DB00014,DB00104,0.5062368180175095
10,DB00014,DB00131,0.402159173175318
22,DB00014,DB00177,0.47629049083409325
26,DB00014,DB00181,0.4626153697834523
28,DB00014,DB00186,0.4089694022860382
29,DB00014,DB00187,0.46614230344661456
33,DB00014,DB00193,0.48263544130908836
36,DB00014,DB00201,0.42060486819678083
42,DB00014,DB00211,0.5064569558260669
46,DB00014,DB00216,0.4399802060904179
48,DB00014,DB00221,0.4462298378752793
54,DB00014,DB00240,0.4175673913036802
58,DB00014,DB00245,0.4834776212660035
59,DB00014,DB00246,0.46955377708724494
60,DB00014,DB00248,0.46691072436798625
65,DB00014,DB00264,0.44714189414189415
66,DB00014,DB00268,0.501733012099079
68,DB00014,DB00273,0.4013928766029131
69,DB00014,DB00275,0.4742829836961695
70,DB00014,DB00277,0.41252846115294123
79,DB00014,DB00287,0.45584148340947267
82,DB00014,DB00295,0.48649437279662777
91,DB00014,DB00315,0.49186473488137245
93,DB00014,DB00318,0.5207681155584383
97,DB00014,DB00324,0.41640043703485635
103,DB00014,DB00333,0.4325592543025234
104,DB00014,DB00334,0.4346072093067949
105,DB00014,DB00335,0.44759546356098084
108,DB00014,DB00342,0.4634231749063448
110,DB00014,DB00346,0.4645828938708653
114,DB00014,DB00353,0.4791016398781098
115,DB00014,DB00354,0.4764823054253044
119,DB00014,DB00363,0.46473747211158
121,DB00014,DB00366,0.43143409523738185
123,DB00014,DB00368,0.44554046426166155
124,DB00014,DB00371,0.4107674479542888
127,DB00014,DB00376,0.490575120646581
134,DB00014,DB00387,0.49010557250384174
135,DB00014,DB00388,0.5046305779914649
138,DB00014,DB00394,0.4230102957244591
144,DB00014,DB00404,0.41250667070460906
146,DB00014,DB00408,0.4667646989339305
148,DB00014,DB00413,0.4499449694542592
153,DB00014,DB00424,0.49179047743952076
155,DB00014,DB00433,0.4620183214801003
161,DB00014,DB00443,0.41736593635306063
165,DB00014,DB00449,0.4418862032061884
166,DB00014,DB00451,0.4122237091154841
167,DB00014,DB00454,0.4258111400186373
168,DB00014,DB00457,0.48557352126052505
174,DB00014,DB00470,0.4855029622978238
175,DB00014,DB00471,0.46018408904896946
177,DB00014,DB00475,0.41264792301568437
179,DB00014,DB00477,0.43423003989763514
183,DB00014,DB00484,0.5059917438304955
185,DB00014,DB00490,0.46807224243199236
189,DB00014,DB00497,0.5051061533044715
193,DB00014,DB00502,0.45232084383706667
194,DB00014,DB00508,0.48340804423503864
198,DB00014,DB00521,0.4488713074023618
215,DB00014,DB00549,0.4212228360007848
221,DB00014,DB00559,0.4722303825293767
226,DB00014,DB00571,0.46004643116125515
227,DB00014,DB00572,0.4795238683517606
229,DB00014,DB00575,0.48021526619305055
235,DB00014,DB00588,0.4179798578579807
236,DB00014,DB00590,0.47220729032168923
237,DB00014,DB00591,0.4291292539620337
241,DB00014,DB00598,0.4532698701518905
243,DB00014,DB00604,0.4433388618951342
246,DB00014,DB00611,0.522262350239125
247,DB00014,DB00612,0.4485217385283989
249,DB00014,DB00620,0.4172854853699938
251,DB00014,DB00623,0.4213518318342963
256,DB00014,DB00635,0.4183638425573677
258,DB00014,DB00637,0.42502998714642587
259,DB00014,DB00640,0.5354250305167795
262,DB00014,DB00644,0.590153431509026
263,DB00014,DB00647,0.5301491767208054
265,DB00014,DB00651,0.45806733612708483
268,DB00014,DB00654,0.45588285931148537
271,DB00014,DB00659,0.40628154257556504
273,DB00014,DB00668,0.4545626739893347
274,DB00014,DB00669,0.4897289410763607
278,DB00014,DB00678,0.47294616654777694
279,DB00014,DB00679,0.4505713535637584
287,DB00014,DB00696,0.4734802534261992
289,DB00014,DB00704,0.5207491515155149
294,DB00014,DB00714,0.45312545428102596
304,DB00014,DB00734,0.4852114910341092
306,DB00014,DB00741,0.42261622824761264
309,DB00014,DB00747,0.47963845944692735
319,DB00014,DB00764,0.41857456254813563
332,DB00014,DB00796,0.48500534419653496
333,DB00014,DB00800,0.5042230749702931
337,DB00014,DB00810,0.45229883745000005
338,DB00014,DB00813,0.4746900655409854
340,DB00014,DB00816,0.42916563312967804
344,DB00014,DB00829,0.4120674387200183
345,DB00014,DB00831,0.4327283423459593
348,DB00014,DB00844,0.5226795576700217
349,DB00014,DB00846,0.41878732275148617
354,DB00014,DB00860,0.4174067728833733
356,DB00014,DB00863,0.43183867159208295
362,DB00014,DB00876,0.474402648412938
371,DB00014,DB00899,0.5231268276889259
372,DB00014,DB00901,0.43925796511664505
375,DB00014,DB00905,0.4736070189814607
382,DB00014,DB00917,0.4510494636286908
384,DB00014,DB00921,0.5245167625250985
389,DB00014,DB00929,0.45391949877301235
390,DB00014,DB00933,0.47861553646428584
393,DB00014,DB00938,0.456040311567915
397,DB00014,DB00949,0.40158432107531555
398,DB00014,DB00952,0.4922511606295675
399,DB00014,DB00953,0.45036824002552317
400,DB00014,DB00956,0.5171271332014672
403,DB00014,DB00959,0.417488303143643
404,DB00014,DB00960,0.45977711955950734
406,DB00014,DB00966,0.4305279759546214
407,DB00014,DB00968,0.46196556803833677
412,DB00014,DB00983,0.4529175616971743
414,DB00014,DB00988,0.4437010494768392
423,DB00014,DB00998,0.4291650567996444
425,DB00014,DB01001,0.44750902031577966
432,DB00014,DB01013,0.41945088428148186
436,DB00014,DB01018,0.5041061328276003
440,DB00014,DB01029,0.42883702583872246
447,DB00014,DB01043,0.4056178173658975
451,DB00014,DB01062,0.4932621356598564
455,DB00014,DB01068,0.41019026383428586
456,DB00014,DB01069,0.44127251532246775
460,DB00014,DB01075,0.4770441429665562
464,DB00014,DB01085,0.4883954021498103
477,DB00014,DB01118,0.4277986593281289
486,DB00014,DB01136,0.41985881067906927
488,DB00014,DB01142,0.4592507694743291
495,DB00014,DB01162,0.46839257938884266
500,DB00014,DB01173,0.4164454896138003
503,DB00014,DB01176,0.4239004168054077
511,DB00014,DB01192,0.51667849114836
512,DB00014,DB01193,0.4508045784567003
517,DB00014,DB01200,0.5025804608168895
519,DB00014,DB01203,0.44842818252495675
522,DB00014,DB01214,0.4481815369138204
526,DB00014,DB01221,0.40069331175467465
