Disease,Protein
D006529,P04217
D012559,P04217
D058186,Q9BQ22
D000544,Q9BQ22
D006528,Q9BQ22
D003110,Q9BQ22
D008103,Q9BQ22
D008106,Q9BQ22
D008171,Q9BQ22
D008175,Q9BQ22
D009404,Q9BQ22
D002051,Q7Z7C6
D011471,Q9NRG9
D008106,P22760
D006528,Q4W5N8
D008106,Q4W5N8
D056486,Q9UDR5
D001321,P80404
D053609,P80404
D008106,P80404
D009123,P80404
D011596,P80404
D012021,P80404
D012640,P80404
D050197,Q9NP93
D015179,Q9NP93
D006937,Q9NP93
D007676,Q9NP93
D015473,Q9NP93
D010523,Q9NP93
D015179,Q8WWZ4
D015179,Q86UK0
D012008,Q86UK0
D013964,Q86UK0
D015179,Q86UQ4
D015179,Q99758
D006976,Q99758
D011658,Q99758
D015179,P78363
D015179,Q6N017
D015179,Q8N139
D000544,Q8IZY2
D001943,Q49AI9
D015179,Q49AI9
D012008,Q49AI9
D013964,Q49AI9
D015179,Q8IUA7
D001169,Q6TBL4
D001172,Q6TBL4
D001943,Q6TBL4
D002277,Q6TBL4
D006528,Q6TBL4
D002289,Q6TBL4
D056486,Q6TBL4
D015179,Q6TBL4
D064420,Q6TBL4
D004827,Q6TBL4
D004938,Q6TBL4
D006330,Q6TBL4
D007024,Q6TBL4
D007680,Q6TBL4
D008106,Q6TBL4
D016403,Q6TBL4
D001523,Q6TBL4
D009325,Q6TBL4
D009362,Q6TBL4
D009369,Q6TBL4
D009422,Q6TBL4
D020258,Q6TBL4
D009503,Q6TBL4
D010149,Q6TBL4
D010300,Q6TBL4
D010302,Q6TBL4
D010523,Q6TBL4
D011041,Q6TBL4
D054198,Q6TBL4
D014839,Q6TBL4
D015179,Q9NRK6
D002779,Q53S60
D002780,Q53S60
D015179,Q53S60
D011537,Q53S60
D006528,Q75MQ5
D002761,Q75MQ5
D015179,Q75MQ5
D004195,Q75MQ5
D007249,Q75MQ5
D041781,Q75MQ5
D008103,Q75MQ5
D008105,Q75MQ5
D008107,Q75MQ5
D065626,Q75MQ5
D015179,Q2M3G0
D008545,Q2M3G0
D015179,Q9NP58
D012008,Q9NP58
D013964,Q9NP58
D012008,Q9NUT2
D013964,Q9NUT2
D001943,P33527
D056486,P33527
D015179,P33527
D064420,P33527
D006331,P33527
D006973,P33527
D010523,P33527
D012008,Q5T3U5
D013964,Q5T3U5
D001855,Q96J65
D064420,Q96J65
D000505,Q92887
D001172,Q92887
D009202,Q92887
D056486,Q92887
D002779,Q92887
D015179,Q92887
D003967,Q92887
D004342,Q92887
D064420,Q92887
D005767,Q92887
D006331,Q92887
D006932,Q92887
D008105,Q92887
D008106,Q92887
D009422,Q92887
D065626,Q92887
D012640,Q92887
D013226,Q92887
D001172,Q86VN9
D002779,Q86VN9
D015179,Q86VN9
D006529,Q86VN9
D001172,Q8IWU1
D003072,Q8IWU1
D015179,Q8IWU1
D064420,Q8IWU1
D004715,Q8IWU1
D009362,Q8IWU1
D011471,Q8IWU1
D019966,Q8IWU1
D015179,Q09428
D003924,Q09428
D016889,Q8N4N7
D004715,Q8N4N7
D015179,Q9UBJ2
D015179,P28288
D015179,P61221
D006967,Q5STZ8
D011014,Q5STZ8
D015179,P45844
D007676,P45844
D008106,P45844
D015430,P45844
D000236,Q8WZ76
D001172,Q8WZ76
D001943,Q8WZ76
D009202,Q8WZ76
D015179,Q8WZ76
D003967,Q8WZ76
D064420,Q8WZ76
D006073,Q8WZ76
D006333,Q8WZ76
D008105,Q8WZ76
D016403,Q8WZ76
D008325,Q8WZ76
D009422,Q8WZ76
D054218,Q8WZ76
D050197,Q53T83
D003324,Q53T83
D003327,Q53T83
D050171,Q53T83
D008106,Q53T83
D011471,Q53T83
D003324,Q96A01
D008106,Q96A01
D056486,Q8IZP0
D000544,Q9P2A4
D004715,Q5JPC9
D000230,Q86Y36
D001943,Q86Y36
D004938,Q86Y36
D006330,Q86Y36
D015464,Q86Y36
D008113,Q86Y36
D009374,Q86Y36
D011230,Q86Y36
D054198,Q86Y36
D003324,Q9UQ67
D010190,Q9UQ67
D011471,Q9UQ67
D012131,Q9UQ67
D020521,Q9UQ67
D011471,Q12979
D002311,Q8N0Z2
D013274,Q9ULW3
D010003,P42765
D012128,P42765
D006528,Q7Z5W8
D006333,Q7Z5W8
D001943,Q4G170
D007333,Q4G170
D009765,Q4G170
D013274,Q6ZUS0
D017093,Q5T4U5
D009765,Q5T4U5
D015430,Q5T4U5
D006333,P16219
D001321,P45954
D000860,P49748
D001172,Q6PID9
D007676,P35610
D008106,P35610
D012640,P35610
D008106,Q8NC06
D000230,Q3KRI5
D000419,Q3KRI5
D000544,Q3KRI5
D001145,Q3KRI5
D001281,Q3KRI5
D001321,Q3KRI5
D002545,Q3KRI5
D006528,Q3KRI5
D002318,Q3KRI5
D002543,Q3KRI5
D003324,Q3KRI5
D003327,Q3KRI5
D003371,Q3KRI5
D003645,Q3KRI5
D003921,Q3KRI5
D003928,Q3KRI5
D004342,Q3KRI5
D006333,Q3KRI5
D006973,Q3KRI5
D006976,Q3KRI5
D017379,Q3KRI5
D007022,Q3KRI5
D007235,Q3KRI5
D007674,Q3KRI5
D007676,Q3KRI5
D008171,Q3KRI5
D055370,Q3KRI5
D008175,Q3KRI5
D009203,Q3KRI5
D009362,Q3KRI5
D065626,Q3KRI5
D011471,Q3KRI5
D011605,Q3KRI5
D011658,Q3KRI5
D051437,Q3KRI5
D012128,Q3KRI5
D013203,Q3KRI5
D013274,Q3KRI5
D020521,Q3KRI5
D015430,Q3KRI5
D015431,Q3KRI5
D001008,Q9BYF1
D009202,Q9BYF1
D003928,Q9BYF1
D004719,Q9BYF1
D005923,Q9BYF1
D006333,Q9BYF1
D006973,Q9BYF1
D006976,Q9BYF1
