Drug,Disease
DB00361,D015746
DB01248,D015746
DB00317,D015746
DB00530,D015746
DB00668,D015746
DB00571,D015746
DB00277,D015746
DB00570,D015746
DB01229,D015746
DB01645,D015746
DB00316,D000014
DB00819,D000014
DB00321,D000014
DB00182,D000014
DB00945,D000014
DB00201,D000014
DB00564,D000014
DB00608,D000014
DB01242,D000014
DB00907,D000014
DB01394,D000014
DB00987,D000014
DB00694,D000014
DB01234,D000014
DB00255,D000014
DB00997,D000014
DB00584,D000014
DB00783,D000014
DB00158,D000014
DB01050,D000014
DB01026,D000014
DB00333,D000014
DB01577,D000014
DB00563,D000014
DB00295,D000014
DB00184,D000014
DB01115,D000014
DB01092,D000014
DB01174,D000014
DB00252,D000014
DB00554,D000014
DB00635,D000014
DB00468,D000014
DB00795,D000014
DB00755,D000014
DB00313,D000014
DB00661,D000014
DB00495,D000014
DB04557,D000014
DB00242,D000014
DB00715,D000014
DB01645,D000014
DB01388,D000014
DB01097,D000015
DB00619,D000015
DB00201,D000015
DB00564,D000015
DB00907,D000015
DB00586,D000015
DB00563,D000015
DB01174,D000015
DB00252,D000015
DB00755,D000015
DB00313,D000015
DB04557,D000015
DB00242,D000015
DB00197,D000138
DB00316,D000138
DB00819,D000138
DB01118,D000138
DB00945,D000138
DB00443,D000138
DB00887,D000138
DB01242,D000138
DB00907,D000138
DB00987,D000138
DB00586,D000138
DB00343,D000138
DB00668,D000138
DB00695,D000138
DB00627,D000138
DB01069,D000138
DB00863,D000138
DB00759,D000138
DB00277,D000138
DB00373,D000138
DB00313,D000138
DB00661,D000138
DB00316,D000140
DB00363,D000140
DB00668,D000140
DB00544,D000140
DB01016,D000140
DB00959,D000140
DB00627,D000140
DB01115,D000140
DB00914,D000140
DB00635,D000140
DB01035,D000140
DB00811,D000140
DB00313,D000140
DB00495,D000140
DB00317,D000152
DB00443,D000152
DB01234,D000152
DB00254,D000152
DB00199,D000152
DB00977,D000152
DB00860,D000152
DB00421,D000152
DB00759,D000152
DB00755,D000152
DB00361,D054058
DB00441,D054058
DB01248,D054058
DB00317,D054058
DB00482,D054058
DB00530,D054058
DB00276,D054058
DB00945,D054058
DB00201,D054058
DB00882,D054058
DB00257,D054058
DB00694,D054058
DB01151,D054058
DB00255,D054058
DB00997,D054058
DB00783,D054058
DB00286,D054058
DB00655,D054058
DB00977,D054058
DB00773,D054058
DB00544,D054058
DB01050,D054058
DB00328,D054058
DB01065,D054058
DB00563,D054058
DB01174,D054058
DB01100,D054058
DB00860,D054058
DB00635,D054058
DB00396,D054058
DB00428,D054058
DB00605,D054058
DB00675,D054058
DB00624,D054058
DB00313,D054058
DB00541,D054058
DB01229,D054058
DB01645,D054058
DB00945,D058186
DB01393,D058186
DB01200,D058186
DB00201,D058186
DB01234,D058186
DB00712,D058186
DB00158,D058186
