Drug,Protein
DB00115,Q99707
DB00115,P22033
DB00115,Q9UBK8
DB00115,Q8IVH4
DB00115,Q9Y4U1
DB00115,P42898
DB00122,P36544
DB00122,Q9Y5K3
DB00122,P22303
DB00122,P49585
DB00122,O14939
DB00122,P06276
DB00122,Q13393
DB00122,Q8TCT1
DB00134,Q9UBK8
DB00134,Q99707
DB00134,P50579
DB00134,Q93088
DB00134,Q9H2M3
DB00140,Q969G6
DB00140,P0AFU8
DB00140,P30043
DB00158,P41439
DB00158,P14207
DB00158,P15328
DB00175,P04035
DB00175,Q92769
DB00176,P31645
DB00176,Q12809
DB00177,P30556
DB00178,P12821
DB00178,P46663
DB00182,Q05940
DB00182,Q01959
DB00182,Q16568
DB00182,Q96RJ0
DB00182,P21397
DB00182,P27338
DB00182,P23975
DB00182,P35348
DB00182,P35368
DB00182,P25100
DB00182,P08913
DB00182,P18089
DB00182,P18825
DB00182,P08588
DB00182,P07550
DB00182,P13945
DB00182,P14416
DB00182,P27338
DB00182,P31645
DB00184,P43681
DB00184,P36544
DB00184,P17787
DB00184,Q15822
DB00184,P32297
DB00184,P30532
DB00184,Q15825
DB00184,Q9UGM1
DB00184,Q9GZZ6
DB00184,Q05901
DB00184,P30926
DB00184,P11511
DB00184,P28329
DB00197,P37231
DB00197,P62508
DB00197,P11474
DB00197,Q03181
DB00197,Q07869
DB00197,P09211
DB00197,O60488
DB00197,P05121
DB00197,Q99808
DB00199,O43193
DB00199,Q12809
DB00201,P30542
DB00201,P29274
DB00201,P29275
DB00201,P0DMS8
DB00201,Q01064
DB00201,Q08499
DB00201,Q13370
DB00201,O76074
DB00201,Q07343
DB00201,P21817
DB00201,P54750
DB00201,Q01064
DB00201,Q14123
DB00201,Q9Y233
DB00201,P27815
DB00201,Q07343
DB00201,Q08493
DB00201,Q08499
DB00201,Q9NP56
DB00201,O00408
DB00201,Q14432
DB00201,Q13370
DB00201,O76074
DB00201,P51160
DB00201,Q9HCR9
DB00201,Q13946
DB00201,O60658
DB00201,O95263
DB00201,O76083
DB00201,P16499
DB00201,P35913
DB00201,P78527
DB00201,O00329
DB00201,P42336
DB00201,P42338
DB00201,Q14643
DB00201,Q14571
DB00201,Q14573
DB00201,Q13315
DB00203,O76074
DB00203,P18545
DB00203,Q13956
DB00203,P11926
DB00203,Q9NZQ7
DB00206,Q05940
DB00206,P54219
DB00206,O15392
DB00211,P35348
DB00211,P35368
DB00211,P25100
DB00227,P04035
DB00227,P20701
DB00227,Q92769
DB00242,P23921
DB00242,P31350
DB00242,Q7LG56
DB00242,P09884
DB00242,Q07864
DB00242,P56282
DB00242,Q9NRF9
DB00242,Q9NR33
DB00242,P00491
DB00252,Q14524
DB00252,P35498
DB00252,Q12809
DB00252,Q13936
DB00252,Q01668
DB00252,O60840
DB00252,Q13698
DB00252,Q02641
DB00252,Q08289
DB00252,P54284
DB00252,O00305
DB00252,O00555
DB00252,Q99250
DB00252,Q9UQD0
DB00252,O75469
DB00252,Q07699
DB00252,Q9NY46
DB00252,P14867
DB00252,P47869
DB00252,P34903
DB00252,P48169
DB00252,P31644
DB00252,Q16445
DB00252,P18505
DB00252,P47870
DB00252,P28472
DB00252,O14764
DB00252,P78334
DB00252,Q8N1C3
DB00252,P18507
DB00252,Q99928
DB00252,O00591
DB00252,Q9UN88
DB00255,Q92731
DB00255,P03372
DB00255,P62508
DB00255,P11474
DB00255,O95718
DB00255,Q15596
DB00255,O75469
DB00255,P10275
DB00255,P04278
DB00257,P10613
DB00257,O15554
DB00257,O75469
DB00257,Q8TDS4
DB00264,P08588
DB00264,P07550
DB00264,P08588
DB00264,P07550
DB00264,P13945
DB00276,P11388
DB00276,Q12809
DB00276,P02763
DB00276,P02768
DB00277,P30542
DB00277,P29274
DB00277,P29275
DB00277,Q07343
DB00277,O76074
DB00277,P27815
DB00277,Q14432
DB00277,Q92769
DB00277,Q99829
DB00277,Q8TCT9
DB00277,Q15155
DB00277,P09874
DB00277,Q7Z5B4
DB00277,Q9Y4R7
DB00280,Q14524
DB00280,P11229
DB00280,P08172
DB00280,P20309
DB00280,Q9NZV8
DB00280,Q9UK17
DB00280,Q12809
DB00280,P19652
DB00281,Q9Y5Y9
DB00281,Q15858
DB00281,Q14524
DB00281,P00533
DB00281,P35499
DB00281,P02763
DB00281,P19652
DB00285,P31645
DB00285,P23975
DB00285,Q01959
DB00286,Q92731
DB00286,P03372
DB00295,P35372
DB00295,P41145
DB00295,P41143
DB00295,Q9Y6Y9
DB00313,Q9UKV0
DB00313,P45954
DB00313,Q02218
DB00313,P51649
DB00313,P35498
DB00313,Q9Y5Y9
DB00313,Q9UI33
DB00313,Q99250
DB00313,Q9NY46
DB00313,P35499
DB00313,Q14524
DB00313,Q01118
DB00313,Q9UQD0
DB00313,Q15858
DB00313,Q07699
DB00313,O60939
DB00313,Q9NY72
DB00313,Q8IWT1
DB00313,Q92769
DB00313,Q07869
DB00313,Q03181
DB00313,P37231
DB00313,Q13547
DB00313,Q969S8
DB00313,Q96DB2
DB00313,Q92769
DB00313,O15379
DB00313,P56524
DB00313,Q9UQL6
DB00313,Q9UBN7
DB00313,Q8WUI4
DB00313,Q9BY41
DB00313,Q9UKV0
DB00313,P38936
DB00313,P14210
DB00313,P11926
DB00313,Q9NZQ7
DB00316,P35354
DB00316,P23219
DB00316,Q15185
DB00316,Q8NER1
DB00317,P00533
DB00320,P28222
DB00320,P28221
DB00320,P30939
DB00320,P08913
DB00320,P08908
DB00320,P28566
DB00320,P28223
DB00320,P41595
DB00320,P28335
DB00320,P35348
DB00320,P35368
DB00320,P25100
DB00320,P08913
DB00320,P18089
DB00320,P18825
DB00320,P14416
DB00320,P35462
DB00320,P21917
DB00320,Q13639
DB00320,P13945
DB00321,P23975
DB00321,P31645
DB00321,P28223
DB00321,P08908
DB00321,P41143
DB00321,P41145
DB00321,P04629
DB00321,Q16620
DB00321,P35348
DB00321,P25100
DB00321,P08913
DB00321,P35367
DB00321,O43526
DB00321,Q09470
DB00321,P25021
DB00321,Q9H3N8
DB00321,Q99720
DB00321,P28335
DB00321,P35368
DB00321,P34969
DB00321,P28221
DB00321,P35372
DB00321,P28222
DB00321,P50406
DB00321,O43525
DB00321,P08909
DB00321,P11229
DB00321,P08172
DB00321,P20309
DB00321,P08173
DB00321,P08912
DB00321,Q12809
DB00321,Q9H252
DB00321,Q9NS40
DB00328,P35354
DB00328,P14555
DB00328,P23219
DB00328,Q8N8N7
DB00328,P37231
DB00328,Q04760
DB00328,Q9Y5Y4
DB00328,Q07869
DB00328,P42330
DB00328,P19525
