,Disease_ID1,Disease_ID2,Similarity_Score
0,D006932,D008180,0.0310950920120528
2,D006932,D001249,0.0383233106550316
4,D006932,D011041,0.0499390931581195
6,D006932,D014693,0.301411382750938
7,D006932,D009765,0.2260881524061548
9,D006932,D003645,0.3358671908551119
10,D006932,D010264,0.1858837150881691
11,D006932,D013927,0.0438820714550877
12,D006932,D007235,0.0322436317254793
15,D006932,D020300,0.3244912116253897
16,D006932,D000787,0.199179468979069
17,D006932,D019954,0.2601421294913996
18,D006932,D006471,0.3205420124530149
19,D006932,D014103,0.1584860111797792
20,D006932,D009362,0.3605973155893094
21,D006932,D013651,0.1624550722212394
23,D006932,D003704,0.0465319782024971
24,D006932,D012804,0.2494576389573937
26,D006932,D003327,0.0476752203703556
27,D006932,D010190,0.0352548619230205
28,D006932,D020234,0.1298076129722244
30,D006932,D004421,0.1849848826319377
32,D006932,D001145,0.3773974475881033
34,D006932,D011141,0.1555463883300998
35,D006932,D007674,0.0639422838968373
36,D006932,D007680,0.0368539529740318
37,D006932,D001201,0.3367030838028596
38,D006932,D010243,0.2288982553587494
39,D006932,D003925,0.0331677656457728
40,D006932,D006948,0.1657474716595833
42,D006932,D002318,0.0855477731136969
43,D006932,D001778,0.0469272394233436
44,D006932,D009127,0.1504272612783307
45,D006932,D009135,0.0514638442948853
46,D006932,D013921,0.0358429903152524
47,D006932,D000230,0.0551702261634714
48,D006932,D003693,0.1758357541733281
50,D006932,D005483,0.1591442826286117
51,D006932,D006970,0.0356577629663711
54,D006932,D020233,0.1807029450168666
55,D006932,D013614,0.2661170881715224
56,D006932,D002561,0.0609740132896864
57,D006932,D004244,0.1867271733252791
58,D006932,D000855,0.1786232223594593
59,D006932,D003711,0.0466540297920667
60,D006932,D002769,0.030533078462671
61,D006932,D003924,0.0376942912037183
62,D006932,D014456,0.3337906845585533
65,D006932,D002524,0.1833580379881247
66,D006932,D017202,0.0598496502828071
67,D006932,D066126,0.2548237155982765
68,D006932,D002637,0.2194918823768097
71,D006932,D012878,0.0380514054164994
72,D006932,D000236,0.0412820948158439
73,D006932,D017379,0.1837148501410444
77,D006932,D016171,0.2499360981340423
78,D006932,D020820,0.2281585709226986
79,D006932,D009133,0.1836480267563805
80,D006932,D000015,0.0456806204641311
81,D006932,D009069,0.05282026910264
83,D006932,D001927,0.0753946068835512
88,D006932,D013342,0.1609621368274064
89,D006932,D004415,0.1868950073989972
91,D006932,D018754,0.032296077408627
92,D006932,D001247,0.1725646477447307
93,D006932,D006987,0.1595847585555893
95,D006932,D013118,0.0473908509366739
96,D006932,D009202,0.040634701168488
97,D006932,D006973,0.0488679287529494
99,D006932,D008223,0.0511276133520312
101,D006932,D011115,0.0300657203665515
102,D006932,D010146,0.2568657111027083
103,D006932,D000743,0.0433956343024256
108,D006932,D010300,0.0306033964600707
111,D006932,D001930,0.034578897664559
112,D006932,D003110,0.0330167524875443
113,D006932,D014717,0.1789899780536958
115,D006932,D019966,0.055446603851629
117,D006932,D005313,0.3097239146168175
118,D006932,D009846,0.1486619067780062
120,D006932,D007964,0.304037173900859
121,D006932,D016491,0.0372031152004852
123,D006932,D054537,0.2546233433839816
124,D006932,D013617,0.277440118597651
125,D006932,D001172,0.0380492464166302
126,D006932,D001847,0.0657046348921113
127,D006932,D009886,0.1801248543772091
128,D006932,D006967,0.0612253211022835
129,D006932,D018879,0.2521084493901864
130,D006932,D011507,0.2045479042045792
131,D006932,D002526,0.0325043023901288
135,D006932,D002303,0.1805129629197212
137,D006932,D018908,0.2820282204584937
138,D006932,D006099,0.3288640745298061
139,D006932,D004827,0.0434806830973099
140,D006932,D006930,0.1795411052855805
141,D006932,D008581,0.0377537133969166
142,D006932,D006470,0.411577351725407
143,D006932,D015877,0.1667912519925953
150,D006932,D001259,0.1989800802550036
151,D006932,D015267,0.0459231564622144
152,D006932,D013575,0.1818079552656629
153,D006932,D012021,0.1752580846395235
154,D006932,D001327,0.0614495484770118
158,D006932,D053609,0.1345781682229228
161,D006932,D003371,0.1883785741620268
162,D006932,D010051,0.0350842690106196
163,D006932,D003967,0.2166297271760452
164,D006932,D015428,0.2714095606263695
167,D006932,D006311,0.2265228717586725
168,D006932,D004802,0.0313807833337274
169,D006932,D008206,0.0651770264841845
170,D006932,D055370,0.0360358341138902
171,D006932,D003128,0.1933528215953299
172,D006932,D009437,0.1908507652068516
174,D006932,D001649,0.0417323219369789
176,D006932,D004409,0.1663462350573158
177,D006932,D007945,0.0397408860969119
178,D006932,D017563,0.038718798162685
180,D006932,D005921,0.0320729526386549
181,D006932,D009436,0.0294306586367302
182,D006932,D007859,0.1960332465820886
184,D006932,D009122,0.1939328957753535
185,D006932,D008171,0.0688917149167216
186,D006932,D012770,0.2743530923824528
187,D006932,D029424,0.031744162287472
188,D006932,D015430,0.2001159539581349
190,D006932,D001766,0.1930000830888621
195,D006932,D009798,0.0378259549508751
198,D006932,D008228,0.0445484567654732
202,D006932,D006333,0.0372773768520229
203,D006932,D006402,0.0693311994201542
204,D006932,D014202,0.1771843856060078
205,D006932,D050171,0.0429914263156041
207,D006932,D012893,0.2405851149262596
