Drug,Drug_1,similarity
DB00115,DB00361,0.34801497443750495
DB00115,DB01136,0.3045488241834104
DB00115,DB01248,0.33025382572601786
DB00115,DB00482,0.30358871248319863
DB00115,DB01394,0.3171604232148781
DB00115,DB01234,0.3042901047992966
DB00115,DB00472,0.3031376961713645
DB00115,DB00643,0.3213135866209838
DB00115,DB00134,0.3625426909170874
DB00115,DB00914,0.3037599455202874
DB00115,DB00206,0.32716597019283683
DB00115,DB00440,0.3076780874152032
DB00115,DB00570,0.32555425208015304
DB00115,DB00541,0.353357795
DB00115,DB00115,0.8333333333333334
DB00115,DB00518,0.32136453489298095
DB00115,DB01229,0.3304481741865945
DB00115,DB00242,0.333575662
DB00115,DB00877,0.31598986693510933
DB00122,DB00349,0.31466388781255844
DB00122,DB00361,0.3359263506132417
DB00122,DB01136,0.3136344120625259
DB00122,DB00542,0.30547874389434493
DB00122,DB01097,0.3547515865244512
DB00122,DB01149,0.3136178391418197
DB00122,DB00519,0.305133681
DB00122,DB00197,0.3123353324617653
DB00122,DB00814,0.3325485881117293
DB00122,DB01248,0.33784856027909654
DB00122,DB00796,0.3667087356075407
DB00122,DB00559,0.32191958491471745
DB00122,DB00471,0.33385404060157686
DB00122,DB00523,0.317535948
DB00122,DB00533,0.3310908281522907
DB00122,DB00317,0.30422425220224486
DB00122,DB00398,0.42265610056934166
DB00122,DB01268,0.3549271757437058
DB00122,DB00482,0.32320037053606165
DB00122,DB00203,0.34188829787515534
DB00122,DB00177,0.36850066626831707
DB00122,DB01076,0.3046206083500437
DB00122,DB00530,0.31500110422409705
DB00122,DB01224,0.31665598368786063
DB00122,DB01254,0.3085643785789624
DB00122,DB00285,0.3085114407784962
DB00122,DB01193,0.3052909181763895
DB00122,DB00316,0.35533357863236964
DB00122,DB03128,0.43799119174654627
DB00122,DB00640,0.30163529789474147
DB00122,DB00915,0.35443175599787496
DB00122,DB00594,0.3308164232654965
DB00122,DB00321,0.3517688464630803
DB00122,DB01435,0.3319380875012287
DB00122,DB00443,0.30614128635821736
DB00122,DB00810,0.3049626779263404
DB00122,DB01200,0.3124098563031071
DB00122,DB00887,0.30973472794959217
DB00122,DB00201,0.33266593341336664
DB00122,DB00564,0.3221058364450807
DB00122,DB01327,0.3089602278549437
DB00122,DB00446,0.3141495587694386
DB00122,DB00608,0.32391310400314416
DB00122,DB01114,0.309504873
DB00122,DB00477,0.31516230116822747
DB00122,DB00122,0.8333333333333334
DB00122,DB00537,0.310281604
DB00122,DB00882,0.3147829788659983
DB00122,DB01242,0.3293014853055048
DB00122,DB00363,0.3271766495867351
DB00122,DB00907,0.30455334239539256
DB00122,DB01394,0.34429532787949274
DB00122,DB01151,0.36817833254454646
DB00122,DB00514,0.4437485911330499
DB00122,DB00829,0.3228481348838919
DB00122,DB00586,0.3621945893014286
DB00122,DB00255,0.3044417941241625
DB00122,DB00861,0.3319380875012287
DB00122,DB01396,0.34942615628716106
DB00122,DB00390,0.34927235816850116
DB00122,DB00280,0.3123791365524707
DB00122,DB01184,0.32368975622289525
DB00122,DB00584,0.3052392749584781
DB00122,DB00668,0.31157158709242816
DB00122,DB00696,0.31898335268416694
DB00122,DB00783,0.30752345554178545
DB00122,DB00655,0.31147851455256054
DB00122,DB00903,0.3508384826243473
DB00122,DB00977,0.3175229579197057
DB00122,DB00472,0.32962237982702486
DB00122,DB00875,0.317350621
DB00122,DB00623,0.3188223913626599
DB00122,DB00690,0.3240032731415459
DB00122,DB00712,0.3319380875012287
DB00122,DB00502,0.39476739779954756
DB00122,DB00741,0.3023990023869873
DB00122,DB01050,0.340355054
DB00122,DB00458,0.30535936550619547
DB00122,DB00328,0.3169023759669567
DB00122,DB01221,0.33276016485254184
DB00122,DB01026,0.3186906719785299
DB00122,DB01009,0.3296848847139953
DB00122,DB01235,0.33324874793839004
DB00122,DB00281,0.3126793725897096
DB00122,DB00934,0.3174140579790102
DB00122,DB00643,0.30978698834619517
DB00122,DB01065,0.3166155292431523
DB00122,DB01043,0.4154040659911702
DB00122,DB00371,0.3207692861477833
DB00122,DB00333,0.3112281250359245
DB00122,DB01577,0.3122861351631987
DB00122,DB00959,0.3064273639170222
DB00122,DB00264,0.3081607983658573
DB00122,DB01110,0.3047997894597352
DB00122,DB00332,0.302831867
DB00122,DB01183,0.3179706126702297
DB00122,DB00788,0.3329754426527812
DB00122,DB01400,0.3220731819834479
DB00122,DB00622,0.3261239856051639
DB00122,DB00184,0.3817887947589007
DB00122,DB01115,0.3013297207842635
DB00122,DB01595,0.31697742696312853
DB00122,DB01054,0.30235789413388087
DB00122,DB01092,0.34019345783562205
DB00122,DB01580,0.3043987897842442
DB00122,DB01337,0.32173934869038145
DB00122,DB01174,0.40122088556167085
DB00122,DB00812,0.3411968258765832
DB00122,DB00252,0.30113389081829034
DB00122,DB01100,0.3350771072078798
DB00122,DB00554,0.3325485881117293
DB00122,DB00457,0.30180069051446284
DB00122,DB00860,0.3067461710877311
DB00122,DB00635,0.30703741760850073
DB00122,DB01032,0.31408426047959653
DB00122,DB01035,0.3236132341665889
DB00122,DB00396,0.31540485643278676
DB00122,DB01069,0.33213769025106676
DB00122,DB01103,0.3309473929384688
DB00122,DB00908,0.3272598346242772
DB00122,DB00863,0.4507672944548631
DB00122,DB00206,0.3372999095187919
DB00122,DB00811,0.3127487236621644
DB00122,DB00421,0.3127309144917947
DB00122,DB01138,0.31626918999544057
DB00122,DB00382,0.3395195981599695
DB00122,DB00675,0.30547975
DB00122,DB00624,0.3202692575524142
DB00122,DB01623,0.3131409049886727
DB00122,DB00373,0.30780079955250256
DB00122,DB00500,0.333692473
DB00122,DB00656,0.3095657572446208
DB00122,DB00755,0.3058644104167863
DB00122,DB00831,0.33809241646254756
DB00122,DB00726,0.30033417956505587
DB00122,DB01586,0.30706990177227034
DB00122,DB00570,0.32828272595236263
DB00122,DB00541,0.33617077581495475
DB00122,DB01241,0.31990963466859695
DB00122,DB01175,0.30189191722517483
DB00122,DB00834,0.3197110535686247
DB00122,DB01023,0.300236891
DB00122,DB00401,0.30084470071670305
DB00122,DB01244,0.3310212030164372
DB00122,DB00518,0.3127034453574454
DB00122,DB00358,0.3094995869272696
DB00122,DB00637,0.37397320322603966
DB00122,DB00342,0.30720013813008573
DB00122,DB04557,0.31274487845276605
DB00122,DB01229,0.3372839442558085
DB00122,DB00178,0.3072764094727447
DB00122,DB00590,0.30802318506102266
DB00122,DB00749,0.31843815305360484
DB00122,DB00539,0.3155822316488767
DB00122,DB00715,0.32483587864824187
DB00122,DB00669,0.30118511297707634
DB00122,DB00734,0.3011318808266632
DB00122,DB00740,0.319236864
DB00122,DB00678,0.3680186453595778
DB00122,DB00641,0.36183276501319955
DB00122,DB01645,0.31126692283087215
DB00122,DB00877,0.3201828932110902
DB00122,DB00936,0.3307633759991375
DB00122,DB01388,0.3161457999613717
DB00122,DB00790,0.3305094324196692
DB00134,DB00361,0.30107306229380854
DB00134,DB01136,0.3622437364237996
DB00134,DB00441,0.4136898072663702
DB00134,DB00814,0.30642854284491117
DB00134,DB00523,0.31692219381315373
DB00134,DB00482,0.3628483382052064
DB00134,DB01224,0.33710266210573003
DB00134,DB00316,0.3027626967011869
DB00134,DB03128,0.31258927579430384
DB00134,DB00321,0.335983125
DB00134,DB01435,0.304817022
DB00134,DB01200,0.34463495181183834
DB00134,DB01327,0.3053409822889628
DB00134,DB00477,0.3140949949243705
DB00134,DB00537,0.30563291064179415
DB00134,DB00882,0.36341041395333984
DB00134,DB00363,0.34476738321865114
DB00134,DB01394,0.30576884054490683
DB00134,DB00987,0.33477598910066114
DB00134,DB00694,0.31117262365981396
DB00134,DB01234,0.30459429918409137
DB00134,DB00586,0.3006843173349865
DB00134,DB00255,0.34899320391406774
DB00134,DB00861,0.3061824425874524
DB00134,DB00988,0.3695178732241415
DB00134,DB00997,0.34366949372253014
DB00134,DB00783,0.38594527947831536
DB00134,DB01196,0.367567382
DB00134,DB00286,0.3650252993801981
DB00134,DB00655,0.36183701883913083
DB00134,DB00977,0.36935582558714697
DB00134,DB00773,0.30941698211793234
DB00134,DB00712,0.3099045269546981
DB00134,DB00741,0.3021483296130687
DB00134,DB00458,0.31758696392578134
DB00134,DB01009,0.3051256957099279
DB00134,DB00934,0.3629326880634331
DB00134,DB00643,0.3241154816343596
DB00134,DB01065,0.3743081184673372
DB00134,DB00134,0.8333333333333334
DB00134,DB00968,0.304300773
DB00134,DB01110,0.340920463
DB00134,DB01204,0.30714402067188296
DB00134,DB01183,0.36916968593401805
DB00134,DB00788,0.3117801529409002
DB00134,DB01059,0.31781161767954785
DB00134,DB00914,0.3806501132626891
DB00134,DB00812,0.3133141867184789
DB00134,DB00554,0.3052425222926934
DB00134,DB00396,0.3556762895088776
DB00134,DB00206,0.31214042851104545
DB00134,DB00811,0.3186084467938222
DB00134,DB00675,0.35000751204995373
DB00134,DB00624,0.35908672337809183
DB00134,DB00277,0.30096164564139977
DB00134,DB00451,0.3129588957668427
DB00134,DB00500,0.30932760387777497
DB00134,DB00755,0.3307405650452626
DB00134,DB00313,0.3177297953471217
DB00134,DB00570,0.34494816191328886
DB00134,DB00541,0.3106279276720738
DB00134,DB00115,0.3625426909170874
DB00134,DB00495,0.32409647926714963
DB00134,DB01165,0.31818513384819297
DB00134,DB00445,0.3153741930308303
DB00134,DB01177,0.30987250961710194
DB00134,DB00518,0.3322340589406434
DB00134,DB00539,0.36418192191977056
DB00134,DB00242,0.329605562
DB00134,DB00734,0.3540136554834632
DB00134,DB01645,0.3475845604844559
DB00134,DB00936,0.3128872732203947
DB00140,DB01136,0.3186272820701512
DB00140,DB01097,0.30980546353477834
DB00140,DB00441,0.3135420330729368
DB00140,DB00814,0.311713502
DB00140,DB00796,0.30445464925822985
DB00140,DB00482,0.3008746011538355
DB00140,DB00203,0.33888375194332204
DB00140,DB00177,0.3152350015908241
DB00140,DB01076,0.3012282027753728
DB00140,DB01224,0.311633544
DB00140,DB01254,0.3105119615744453
DB00140,DB00640,0.31054280847481613
DB00140,DB00321,0.30988862843924236
DB00140,DB01200,0.32215237059238966
DB00140,DB01327,0.30974625375556236
DB00140,DB00608,0.3089049062161518
DB00140,DB00882,0.3102626702300587
DB00140,DB00363,0.31273264675490003
DB00140,DB01394,0.3003147302467945
DB00140,DB00987,0.31493045613594367
DB00140,DB00255,0.315534488
DB00140,DB00861,0.3027761712636767
DB00140,DB00320,0.3033795199517237
DB00140,DB00997,0.30544181837503115
DB00140,DB00668,0.32876045111660135
DB00140,DB00783,0.32890724439145336
DB00140,DB01196,0.31161923984351153
DB00140,DB00655,0.3181586111173485
DB00140,DB00977,0.3225126711921107
DB00140,DB00158,0.3285079151154215
DB00140,DB01050,0.32504903124695783
DB00140,DB00328,0.30045983554019834
DB00140,DB00934,0.30393599704603874
DB00140,DB01065,0.33789250474514915
DB00140,DB00563,0.3092053340914223
DB00140,DB00968,0.32664278769847815
DB00140,DB00211,0.3006756875561925
DB00140,DB00332,0.30985337406525665
DB00140,DB01183,0.32778236938445054
DB00140,DB00788,0.3064389699442213
DB00140,DB00812,0.30456265
DB00140,DB00554,0.3067496620317498
DB00140,DB00396,0.319899842
DB00140,DB00468,0.3045129345113983
DB00140,DB00206,0.3062680135882713
DB00140,DB00140,0.8333333333333334
DB00140,DB00675,0.307160173
DB00140,DB00624,0.31607506150885933
DB00140,DB00500,0.3113375949795916
DB00140,DB00917,0.3390732456157943
DB00140,DB00539,0.31153732305975435
DB00140,DB00242,0.30946229303469985
DB00140,DB00734,0.31393125033797215
DB00140,DB00678,0.31020907212567533
DB00140,DB00641,0.32637947076960283
DB00140,DB01645,0.32473190870524865
DB00140,DB00790,0.30930137746177566
DB00158,DB00361,0.32431311176465916
DB00158,DB01136,0.3142511676447205
DB00158,DB00542,0.31575410665045983
DB00158,DB01097,0.30757085665959166
DB00158,DB00519,0.3084640725291555
DB00158,DB00814,0.3249396659094947
DB00158,DB01248,0.3066146763078325
DB00158,DB00796,0.3152786251815795
DB00158,DB00559,0.3235084522507298
DB00158,DB00471,0.3518671092801522
DB00158,DB00533,0.30776695549707034
DB00158,DB00398,0.30030374976442786
DB00158,DB01268,0.30671407284110846
DB00158,DB00482,0.30596053506405335
DB00158,DB00203,0.3325163435367935
DB00158,DB00177,0.3261091286268995
DB00158,DB00530,0.30283579516154296
DB00158,DB00285,0.30065539107796807
DB00158,DB01193,0.31794372005459454
DB00158,DB00316,0.31544076805893395
DB00158,DB00594,0.31551448862222464
DB00158,DB00321,0.30620270837673685
DB00158,DB00276,0.3110861456424303
DB00158,DB01435,0.3074435414388353
DB00158,DB01200,0.3019181066736785
DB00158,DB00446,0.3115150470652627
DB00158,DB01114,0.30289603403011417
DB00158,DB01242,0.30927624285743116
DB00158,DB00363,0.31783560309316217
DB00158,DB01394,0.33264485556427464
DB00158,DB00987,0.3029254000682096
DB00158,DB01151,0.301572227
DB00158,DB00586,0.33738388305243733
DB00158,DB00861,0.31932132454930784
DB00158,DB00320,0.315577316
DB00158,DB00584,0.31004343390521233
DB00158,DB00903,0.3073508987550315
DB00158,DB00712,0.3183312527271485
DB00158,DB00158,0.8333333333333334
DB00158,DB00695,0.32766069877741616
DB00158,DB01050,0.3577973295723728
DB00158,DB01009,0.30855373044810414
DB00158,DB00643,0.328298054
DB00158,DB01577,0.3113590533599698
DB00158,DB00563,0.4126878033753965
DB00158,DB00968,0.3200084383036372
DB00158,DB00264,0.3052346622635695
DB00158,DB00788,0.3191042223429008
DB00158,DB01595,0.30839001045517667
DB00158,DB01580,0.3034581839952629
DB00158,DB03783,0.30632634200235476
DB00158,DB00812,0.32311208446175765
DB00158,DB00554,0.32709663997479216
DB00158,DB00571,0.308023217
DB00158,DB00468,0.33519517097223567
DB00158,DB00206,0.3172028053129777
DB00158,DB00140,0.3285079151154215
DB00158,DB01037,0.3115528449025311
DB00158,DB00500,0.32664274481804917
DB00158,DB00440,0.32138358221378815
DB00158,DB00570,0.3120985303269115
DB00158,DB00541,0.3279744794901985
DB00158,DB00518,0.31534808019725796
DB00158,DB00637,0.3143027295961162
DB00158,DB01229,0.3075408886145781
