,protein1,protein2,combined_score
69,Q9NR63,P29762,750
70,Q9NR63,P10632,940
71,Q9NR63,Q96SQ9,941
72,Q9NR63,Q8IZV5,751
73,Q9NR63,P00352,964
75,Q9NR63,Q6V0L0,922
76,Q9NR63,P05177,945
79,Q9NR63,Q06278,921
81,Q9NR63,P11509,936
84,Q9NR63,Q02928,926
86,Q9NR63,P47895,973
87,Q9NR63,O94788,988
88,Q9NR63,P60321,956
127,Q13275,P51805,999
130,P13569,P27824,936
132,P13569,Q9HD26,992
133,P13569,Q9UQC9,829
134,P13569,P51168,895
138,P13569,P04792,780
140,P13569,Q9UGI9,901
141,P13569,Q9BUN8,917
145,P13569,Q96RN1,725
151,P13569,P55011,816
152,P13569,P54619,922
153,P13569,P51170,886
156,P13569,P25092,825
157,P13569,O43741,944
159,P13569,P11142,986
161,P13569,Q16661,769
162,P13569,Q15599,975
165,P13569,Q9Y478,908
166,P13569,P07900,986
167,P13569,P48048,925
170,P13569,Q9UGJ0,905
171,P13569,P61981,914
173,P13569,P37088,821
174,P13569,Q13131,953
175,P13569,P22694,976
180,P13569,P54646,907
181,P13569,P00995,888
183,P13569,P17081,721
185,P13569,Q5T2W1,969
191,P13569,P05783,702
192,P13569,P63104,917
193,P13569,Q8N5W9,707
194,P13569,P60709,717
195,P13569,Q9UBN7,848
198,P13569,P48764,828
245,Q96RU2,P45974,816
248,Q96RU2,Q92995,760
253,Q96RU2,P01106,966
257,Q96RU2,Q969H0,966
258,Q96RU2,P04637,806
274,Q16654,Q9BY76,739
276,Q16654,Q15119,795
277,Q16654,Q9UBK2,838
278,Q16654,Q92523,725
279,Q16654,P21796,829
280,Q16654,Q03181,702
281,Q16654,P55916,734
282,Q16654,Q14643,825
285,Q16654,P99999,718
287,Q16654,P01308,777
290,Q16654,P14672,753
291,Q16654,Q14573,817
292,Q16654,Q07869,740
377,Q9UHR4,Q12929,780
383,O60359,Q08289,779
387,O60359,P62955,939
388,O60359,P54289,978
389,O60359,O60840,927
390,O60359,Q05586,830
392,O60359,P21817,733
393,O60359,Q13698,916
394,O60359,Q06432,974
396,O60359,Q01668,957
402,O60359,P42261,867
403,O60359,Q13936,910
404,O60359,O00305,958
408,O60359,P46098,737
409,O60359,Q14957,788
410,O60359,Q9UF02,814
412,O60359,P54652,734
417,O60359,Q8TCU5,794
418,O60359,Q8WXS5,913
419,O60359,Q9UBN1,905
420,O60359,O60391,769
424,O60359,O00555,815
425,O60359,Q96MF2,720
426,O60359,Q7Z3S7,915
427,O60359,Q02641,912
428,O60359,Q8TBE1,804
429,O60359,P42262,923
430,O60359,O15399,748
431,O60359,Q9BXT2,908
433,O60359,O95180,818
434,O60359,P54284,938
435,O60359,Q12879,794
436,O60359,Q13224,800
437,O60359,Q9Y698,756
584,P31270,Q12778,853
