Drug,Disease
DB00181,D000014
DB00359,D000014
DB00416,D000014
DB00582,D000014
DB00583,D000014
DB00624,D000014
DB00715,D000014
DB01100,D000014
DB01176,D000014
DB01392,D000014
DB00527,D000022
DB00254,D000038
DB00260,D000038
DB00495,D000038
DB00641,D000038
DB00675,D000038
DB00909,D000038
DB01026,D000038
DB01099,D000038
DB01331,D000038
DB01607,D000038
DB00457,D000151
DB00320,D000152
DB00321,D000152
DB00839,D000152
DB00719,D000163
DB00316,D000172
DB00320,D000172
DB00325,D000172
DB00330,D000172
DB00184,D000193
DB00242,D000193
DB00374,D000193
DB00420,D000193
DB00426,D000193
DB00532,D000193
DB00545,D000193
DB00655,D000193
DB00709,D000193
DB00850,D000193
DB00948,D000193
DB00983,D000193
DB01139,D000193
DB01201,D000193
DB01216,D000193
DB00171,D000196
DB00218,D000196
DB00417,D000196
DB00445,D000196
DB00499,D000196
DB00691,D000196
DB00727,D000196
DB00762,D000196
DB00906,D000196
DB00912,D000196
DB01132,D000196
DB01143,D000196
DB01167,D000196
DB01764,D000196
DB04575,D000196
DB00280,D000224
DB00374,D000258
DB00215,D000306
DB00215,D000306
DB00432,D000308
DB00585,D000308
DB00333,D000309
DB01125,D000312
DB00857,D000402
DB00665,D000430
DB00665,D000437
DB01056,D000437
DB01057,D000437
DB01324,D000437
DB00585,D000505
DB00513,D000532
DB00973,D000544
DB00384,D000562
DB00669,D000568
DB00369,D000686
DB00465,D000686
DB00902,D000686
DB00963,D000686
DB00577,D000690
DB00851,D000690
DB00178,D000707
DB00477,D000724
DB00623,D000724
DB01133,D000724
DB01150,D000724
DB01194,D000724
DB01415,D000724
DB00344,D000749
DB00839,D000749
DB00989,D000749
DB00280,D000752
DB00643,D000752
DB00783,D000752
DB00950,D000752
DB01073,D000752
DB00390,D000787
DB01128,D000788
DB00513,D000789
DB00187,D000855
DB00777,D000855
DB00737,D000881
DB00669,D001008
DB00176,D001014
DB00232,D001014
DB00254,D001014
DB00268,D001014
DB00303,D001014
DB00529,D001014
DB00537,D001014
DB00674,D001014
DB00706,D001014
DB00708,D001014
DB00724,D001014
DB00838,D001014
DB00885,D001014
DB00944,D001014
DB00987,D001014
DB00993,D001014
DB01018,D001014
DB01033,D001014
DB01088,D001014
DB01117,D001014
DB01190,D001014
DB01229,D001014
DB00213,D001015
DB00455,D001015
DB00567,D001015
DB00712,D001015
DB00916,D001015
DB00919,D001015
DB00927,D001015
DB01597,D001015
DB00507,D001017
DB01233,D001017
DB00792,D001049
DB00368,D001064
DB00485,D001064
DB00850,D001064
DB00999,D001064
DB00281,D001068
DB00288,D001068
DB00351,D001068
DB00458,D001068
DB00482,D001068
DB00674,D001068
DB00765,D001068
DB00819,D001068
DB00951,D001068
DB00973,D001068
DB01069,D001068
DB01361,D001145
DB00196,D001157
DB00196,D001161
DB00206,D001162
DB00290,D001162
DB01217,D001162
DB00799,D001168
DB00987,D001171
DB01238,D001171
DB00987,D001172
DB00519,D001196
DB01240,D001201
DB01142,D001228
DB00692,D001249
DB01192,D001249
DB00443,D001281
DB00677,D001281
DB00818,D001281
DB00903,D001281
DB00972,D001281
DB01189,D001281
DB01242,D001281
DB00231,D001282
DB00240,D001282
DB00295,D001282
DB00333,D001282
DB00344,D001282
DB00448,D001282
DB00501,D001282
DB00554,D001282
DB00575,D001282
DB00602,D001282
DB00671,D001282
DB00692,D001282
DB00721,D001282
DB00735,D001282
DB00884,D001282
DB01039,D001282
DB01192,D001282
DB00716,D001289
DB00777,D001289
DB00204,D001321
DB00285,D001321
DB00543,D001321
DB00621,D001321
DB01166,D001321
DB01261,D001321
DB00583,D001327
DB00715,D001327
DB00845,D001327
DB01611,D001327
DB00188,D001404
DB00206,D001404
DB00226,D001404
DB00249,D001404
DB00284,D001404
DB00350,D001404
DB00358,D001404
DB00393,D001404
DB00432,D001404
DB00436,D001404
DB00492,D001404
DB00512,D001404
DB00513,D001404
DB00588,D001404
DB00605,D001404
DB00609,D001404
DB00674,D001404
DB00694,D001404
DB00700,D001404
DB00705,D001404
DB00806,D001404
DB00820,D001404
DB00869,D001404
DB00871,D001404
DB00905,D001404
DB01018,D001404
