Drug,Protein
DB00132,O60427
DB00132,O95864
DB00132,Q8NER1
DB00132,Q07869
DB00132,Q96RI1
DB00132,Q03181
DB00132,P37231
DB00132,P19793
DB00132,Q9NXB9
DB00132,Q9NYP7
DB00132,P32418
DB00171,O95255
DB00171,O15439
DB00171,P33527
DB00171,P13569
DB00171,P42336
DB00171,P68400
DB00171,P67870
DB00171,Q96G91
DB00171,P53041
DB00171,P42684
DB00171,O95477
DB00171,Q9NR19
DB00171,Q9UM73
DB00171,Q13564
DB00171,Q13131
DB00171,P10398
DB00171,P37023
DB00171,P33121
DB00171,P49902
DB00171,O43681
DB00171,O60706
DB00171,P31749
DB00171,P25098
DB00171,O14727
DB00171,Q9NUB1
DB00171,P36896
DB00171,Q04771
DB00171,O95342
DB00171,P08243
DB00171,Q96Q40
DB00171,P12235
DB00171,Q09428
DB00171,P00966
DB00171,Q9Y4W6
DB00171,P35626
DB00171,Q16671
DB00171,Q07912
DB00171,P00519
DB00171,Q08828
DB00171,P08183
DB00171,P45844
DB00171,Q92887
DB00175,P04035
DB00175,Q92769
DB00176,P31645
DB00176,Q12809
DB00177,P30556
DB00178,P12821
DB00178,P46663
DB00179,P09917
DB00179,P04278
DB00179,Q96QT4
DB00180,P04150
DB00181,O75899
DB00181,P61073
DB00181,Q9UBS5
DB00184,P43681
DB00184,P36544
DB00184,P17787
DB00184,Q15822
DB00184,P32297
DB00184,P30532
DB00184,Q15825
DB00184,Q9UGM1
DB00184,Q9GZZ6
DB00184,Q05901
DB00184,P30926
DB00184,P11511
DB00184,P28329
DB00185,P20309
DB00185,P11229
DB00186,P14867
DB00186,P47869
DB00186,P34903
DB00186,P48169
DB00186,P31644
DB00186,Q16445
DB00186,P18505
DB00186,P47870
DB00186,P28472
DB00186,O14764
DB00186,P78334
DB00186,Q8N1C3
DB00186,P18507
DB00186,Q99928
DB00186,O00591
DB00186,Q9UN88
DB00186,P14867
DB00186,P47869
DB00186,P34903
DB00186,P31644
DB00186,Q8N1C3
DB00186,P18507
DB00186,Q99928
DB00187,P08588
DB00188,P28074
DB00188,P20618
DB00190,P20711
DB00193,P35372
DB00193,P23975
DB00193,P31645
DB00193,Q99250
DB00193,Q05586
DB00193,Q12879
DB00193,Q13224
DB00193,Q14957
DB00193,O15399
DB00193,Q8TCU5
DB00193,O60391
DB00193,P30542
DB00193,P08913
DB00193,P18089
DB00193,P18825
DB00193,P28335
DB00193,P41145
DB00193,P41143
DB00193,P36544
DB00193,P20309
DB00193,P11229
DB00193,P25103
DB00193,Q8NER1
DB00194,P04293
DB00194,P09250
DB00194,Q9QNF7
DB00195,P08588
DB00195,P07550
DB00196,P10613
DB00199,O43193
DB00199,Q12809
DB00200,Q99707
DB00200,P22033
DB00200,Q8IVH4
DB00200,P20061
DB00200,Q9BXJ7
DB00200,O60494
DB00200,Q9Y4U1
DB00201,P30542
DB00201,P29274
DB00201,P29275
DB00201,P0DMS8
DB00201,Q01064
DB00201,Q08499
DB00201,Q13370
DB00201,O76074
DB00201,Q07343
DB00201,P21817
DB00201,P54750
DB00201,Q01064
DB00201,Q14123
DB00201,Q9Y233
DB00201,P27815
DB00201,Q07343
DB00201,Q08493
DB00201,Q08499
DB00201,Q9NP56
DB00201,O00408
DB00201,Q14432
DB00201,Q13370
DB00201,O76074
DB00201,P51160
DB00201,Q9HCR9
DB00201,Q13946
DB00201,O60658
DB00201,O95263
DB00201,O76083
DB00201,P16499
DB00201,P35913
DB00201,P78527
DB00201,O00329
DB00201,P42336
DB00201,P42338
DB00201,Q14643
DB00201,Q14571
DB00201,Q14573
DB00201,Q13315
DB00203,O76074
DB00203,P18545
DB00203,Q13956
DB00203,P11926
DB00203,Q9NZQ7
DB00204,Q12809
DB00204,O95069
DB00204,Q14500
DB00205,P00374
DB00205,P13922
DB00205,P07686
DB00206,Q05940
DB00206,P54219
DB00206,O15392
DB00207,Q9UM07
DB00208,Q9H244
DB00210,P10826
DB00210,P13631
DB00210,P28702
DB00210,P48443
DB00210,P19793
DB00210,P05412
DB00210,O60603
DB00210,P10276
DB00210,P17174
DB00211,P35348
DB00211,P35368
DB00211,P25100
DB00213,P20648
DB00213,O94760
DB00214,P55011
DB00214,Q13621
DB00215,P31645
DB00215,P35367
DB00218,P43700
DB00218,P43702
DB00218,P11388
DB00218,P27169
DB00220,O90777
DB00221,P08588
DB00221,P07550
DB00222,Q14654
DB00222,P48048
DB00222,Q09428
DB00223,P04150
DB00224,Q72874
DB00226,P23975
DB00227,P04035
DB00227,P20701
DB00227,Q92769
DB00228,P14867
DB00228,P47869
DB00228,P34903
DB00228,P48169
DB00228,P31644
DB00228,Q16445
DB00228,P18505
DB00228,P47870
DB00228,P28472
DB00228,O14764
DB00228,P78334
DB00228,Q8N1C3
DB00228,P18507
DB00228,Q99928
DB00228,O00591
DB00228,Q9UN88
DB00228,Q06432
DB00228,Q9Y698
DB00228,O60359
DB00228,Q9UBN1
DB00228,Q9UF02
DB00228,Q9BXT2
DB00228,P62955
DB00228,Q8WXS5
DB00228,P54289
DB00228,Q9NY47
DB00228,Q8IZS8
DB00228,Q7Z3S7
DB00228,Q13936
DB00228,Q01668
DB00228,O60840
DB00228,Q13698
DB00228,Q02641
DB00228,Q08289
DB00228,P54284
DB00228,O00305
DB00228,Q00975
DB00228,O00555
DB00228,Q15878
DB00228,O43497
DB00228,O95180
DB00228,Q9P0X4
DB00228,P23415
DB00228,Q09470
DB00228,Q16322
DB00228,P16389
DB00228,P22001
DB00228,P22459
DB00228,P22460
DB00228,P17658
DB00228,Q14721
DB00228,Q92953
DB00228,P48547
DB00228,Q96PR1
DB00228,Q14003
DB00228,Q03721
DB00228,Q9NSA2
DB00228,Q9NZV8
DB00228,Q9UK17
DB00228,P15382
DB00228,Q9Y6J6
DB00228,Q9Y6H6
DB00228,Q8WWG9
DB00228,Q9UJ90
DB00228,Q9H3M0
DB00228,Q9UIX4
DB00228,Q9UJ96
DB00228,Q8TAE7
DB00228,Q8TDN1
DB00228,O95259
DB00228,Q12809
DB00228,Q9ULD8
DB00228,Q9UQ05
DB00228,Q8NCM2
DB00228,Q9H252
DB00228,Q9NS40
DB00228,Q96L42
DB00228,P51787
DB00228,O43526
DB00228,O43525
DB00228,P56696
DB00228,Q9NR82
DB00228,Q96KK3
DB00228,Q9BQ31
DB00228,Q6PIU1
DB00228,Q8TDN2
DB00228,Q14722
DB00228,Q13303
DB00228,P98194
DB00228,Q05586
DB00228,Q12879
DB00228,Q13224
DB00228,Q14957
