Disease,Protein
D012559,P04217
D058186,Q9BQ22
D000544,Q9BQ22
D003110,Q9BQ22
D008103,Q9BQ22
D008175,Q9BQ22
D009404,Q9BQ22
D011471,Q9NRG9
D001321,P80404
D005764,P80404
D012640,P80404
D015179,Q9NP93
D006937,Q9NP93
D006938,Q9NP93
D007676,Q9NP93
D015473,Q9NP93
D015179,Q8WWZ4
D015179,Q86UK0
D013964,Q86UK0
D015179,Q86UQ4
D015179,Q99758
D006976,Q99758
D015179,P78363
D015179,Q6N017
D015179,Q8N139
D017449,Q8N139
D000544,Q8IZY2
D001943,Q49AI9
D015179,Q49AI9
D013964,Q49AI9
D015179,Q8IUA7
D001172,Q6TBL4
D001943,Q6TBL4
D002277,Q6TBL4
D002289,Q6TBL4
D015179,Q6TBL4
D064420,Q6TBL4
D004827,Q6TBL4
D004927,Q6TBL4
D004938,Q6TBL4
D007024,Q6TBL4
D007680,Q6TBL4
D009325,Q6TBL4
D009362,Q6TBL4
D009369,Q6TBL4
D009447,Q6TBL4
D009503,Q6TBL4
D010149,Q6TBL4
D010300,Q6TBL4
D011041,Q6TBL4
D054198,Q6TBL4
D014839,Q6TBL4
D015179,Q9NRK6
D015179,Q53S60
D011537,Q53S60
D015179,Q75MQ5
D007249,Q75MQ5
D008103,Q75MQ5
D008105,Q75MQ5
D015179,Q2M3G0
D008545,Q2M3G0
D015179,Q9NP58
D013964,Q9NP58
D013964,Q9NUT2
D001943,P33527
D015179,P33527
D064420,P33527
D006973,P33527
D013964,Q5T3U5
D064420,Q96J65
D000505,Q92887
D001172,Q92887
D015179,Q92887
D003967,Q92887
D004342,Q92887
D064420,Q92887
D005767,Q92887
D006932,Q92887
D008105,Q92887
D012640,Q92887
D013226,Q92887
D001172,Q86VN9
D015179,Q86VN9
D001172,Q8IWU1
D015179,Q8IWU1
D064420,Q8IWU1
D004715,Q8IWU1
D009362,Q8IWU1
D011471,Q8IWU1
D019966,Q8IWU1
D015179,Q09428
D003924,Q09428
D016889,Q8N4N7
D004715,Q8N4N7
D015179,Q9UBJ2
D015179,P28288
D015179,P61221
D006967,Q5STZ8
D011014,Q5STZ8
D015179,P45844
D007676,P45844
D001172,Q8WZ76
D001943,Q8WZ76
D015179,Q8WZ76
D003967,Q8WZ76
D064420,Q8WZ76
D006073,Q8WZ76
D006333,Q8WZ76
D008105,Q8WZ76
D003324,Q53T83
D003327,Q53T83
D011471,Q53T83
D003324,Q96A01
D000544,Q9P2A4
D004715,Q5JPC9
D001943,Q86Y36
D004938,Q86Y36
D015464,Q86Y36
D008113,Q86Y36
D054198,Q86Y36
D003324,Q9UQ67
D004381,Q9UQ67
D010190,Q9UQ67
D011471,Q9UQ67
D020521,Q9UQ67
D011471,Q12979
D002311,Q8N0Z2
D013274,Q9ULW3
D010003,P42765
D012128,P42765
D006333,Q7Z5W8
D001943,Q4G170
D009765,Q4G170
D013274,Q6ZUS0
D009765,Q5T4U5
D006333,P16219
D001321,P45954
D001172,Q6PID9
D007676,P35610
D012640,P35610
D000544,Q3KRI5
D001145,Q3KRI5
D001281,Q3KRI5
D001321,Q3KRI5
D002545,Q3KRI5
D003324,Q3KRI5
D003327,Q3KRI5
D003371,Q3KRI5
D003928,Q3KRI5
D004342,Q3KRI5
D005776,Q3KRI5
D006333,Q3KRI5
D006973,Q3KRI5
D006976,Q3KRI5
D007022,Q3KRI5
D007235,Q3KRI5
D007248,Q3KRI5
D007674,Q3KRI5
D007676,Q3KRI5
D008175,Q3KRI5
D008589,Q3KRI5
D009203,Q3KRI5
D009362,Q3KRI5
D011225,Q3KRI5
D011471,Q3KRI5
D012128,Q3KRI5
D012140,Q3KRI5
D013203,Q3KRI5
D013274,Q3KRI5
D020521,Q3KRI5
D000022,Q9BYF1
D001008,Q9BYF1
D003928,Q9BYF1
D006333,Q9BYF1
D006973,Q9BYF1
D006976,Q9BYF1
D007249,Q9BYF1
D012128,Q9BYF1
D008545,Q9NUN7
D000544,Q6TQD3
D000686,Q6TQD3
D001943,Q6TQD3
D002292,Q6TQD3
D015179,Q6TQD3
D064420,Q6TQD3
D006130,Q6TQD3
D009765,Q6TQD3
D011041,Q6TQD3
D011471,Q6TQD3
D012640,Q6TQD3
D014202,Q6TQD3
D001749,Q6TQD3
D008288,Q5Y7A4
D001172,P25106
D002277,P25106
D015179,P25106
D007674,P25106
D009362,P25106
D006333,P53396
D009765,P53396
D010003,P21399
D012128,Q71UF1
D008113,Q86TX2
D012559,Q3I5F7
D015451,Q9NUZ1
D009765,P13686
D001171,Q8NEB7
D011471,Q8NEB7
D002277,Q108N2
D009765,Q108N2
D008175,Q08AH1
D011471,Q53FZ2
D001943,Q13707
D003110,Q13707
D004715,Q13707
D007674,Q13707
D008103,Q13707
D009203,Q13707
D012595,Q13707
D002277,Q9UMN3
D004938,Q9UMN3
D008175,Q9UMN3
D010003,Q9UMN3
D002311,P68032
D013274,P68032
D002277,Q96FU6
D003110,P63267
D002277,Q96BG6
D001943,Q53SV1
D010190,P36896
D006976,P37023
D002292,Q03154
D001321,Q16073
D008175,Q16073
D008175,Q9UKQ2
D011471,Q9UKQ2
D001943,Q8N8Z9
D011471,Q13443
D000544,Q8NE26
D001943,Q8NE26
D002289,Q8NE26
D016553,Q96P40
D008113,Q8TE56
D008545,P59510
D012559,Q96AY5
D003324,Q9UKP4
D011471,Q5FWF1
D003924,Q9P2N4
D006130,Q86TH1
D001943,P55265
D010300,Q86X17
D019966,Q86X17
D013375,Q8NFM5
D001249,Q7RTV6
D001714,Q7RTV6
D001171,P51828
D003093,P51828
D015470,P51828
D012559,P51828
D003925,Q4F7X0
D013375,Q4F7X0
D015877,Q53BH1
D011595,Q53BH1
D012640,Q53BH1
D001249,Q6S992
D006973,Q96D30
D001714,Q5VU08
D002545,Q5VU08
D012559,Q8IZF3
D010003,Q8IZP9
D001289,Q9HAR2
D000437,P00325
D002544,P00325
D015179,P00325
D004938,P00325
D009765,P00325
D004938,P40394
D011471,Q9BV57
D001172,Q15848
D002292,Q15848
D003424,Q15848
D003924,Q15848
D003928,Q15848
D006333,Q15848
D006973,Q15848
D007249,Q15848
D007676,Q15848
D009765,Q15848
D011654,Q15848
D007247,Q96A54
D007676,Q96A54
D007247,Q86V24
D008607,P55263
D001321,P35318
D010146,P35318
D018805,P35318
D013276,P35318
D001321,Q6DHZ8
D001919,P30542
D004342,P30542
D064420,P30542
D007022,P30542
D009203,P30542
D013345,P30542
D013375,P30542
D018754,P30542
