,Disease_ID1,Disease_ID2,Similarity_Score
0,D017088,D018784,0.3120671348054565
2,D017088,D000022,0.0317449395180795
3,D017088,D000038,0.3452933011625395
4,D017088,D015823,0.3301397038418254
5,D017088,D000151,0.209186772851145
7,D017088,D000163,0.6517091730903285
9,D017088,D000193,0.3114551824012956
10,D017088,D000196,0.223514550485795
11,D017088,D000224,0.2597828435461254
13,D017088,D000258,0.2462650457190419
15,D017088,D000312,0.0156010959537071
16,D017088,D000309,0.0081457658082379
17,D017088,D000308,0.0161058406024747
18,D017088,D000402,0.0113188700460013
22,D017088,D000437,0.0215641429990183
25,D017088,D000544,0.023166321076519
26,D017088,D000562,0.3871882452805833
28,D017088,D000686,0.0119202029607301
30,D017088,D000707,0.2812461066461165
31,D017088,D000724,0.3243111369132529
34,D017088,D000787,0.0190638470466139
38,D017088,D000881,0.2096773460266431
39,D017088,D001014,0.0236241694112437
42,D017088,D001049,0.0238159200980618
43,D017088,D001064,0.308247619153182
44,D017088,D001145,0.0405628576102353
45,D017088,D001157,0.0428301382050213
46,D017088,D001161,0.0361617849452159
48,D017088,D001168,0.0436667192112687
50,D017088,D001171,0.2674587445838077
51,D017088,D001172,0.3158890949568979
52,D017088,D001196,0.3488238930477877
54,D017088,D001228,0.2434223869654602
55,D017088,D001249,0.3125880264034437
56,D017088,D001281,0.0172076449052021
58,D017088,D001327,0.3754188801591144
59,D017088,D001404,0.3552424433664943
60,D017088,D001424,0.3535744184920849
61,D017088,D001442,0.2014006958658856
62,D017088,D001477,0.0160300668390364
65,D017088,D001759,0.2669836269303201
67,D017088,D001778,0.0358715183202988
68,D017088,D001850,0.3652374344826443
71,D017088,D002545,0.0325146855105939
72,D017088,D001932,0.0347231586556799
73,D017088,D001943,0.0369606449169704
74,D017088,D001984,0.0307686042742874
76,D017088,D001991,0.0373111109113156
77,D017088,D002006,0.2325525790414878
79,D017088,D002056,0.0215137322318707
82,D017088,D002169,0.2204570730199446
83,D017088,D002177,0.2554753272677478
84,D017088,D002178,0.2415417025779766
85,D017088,D002179,0.2578232512609672
86,D017088,D002180,0.2124289902361861
87,D017088,D002181,0.2229083566101253
88,D017088,D002277,0.0532799295787814
92,D017088,D002289,0.0167230638969877
94,D017088,D002292,0.028823673847669
96,D017088,D002294,0.0273356072936506
101,D017088,D002481,0.2913111148618917
102,D017088,D002544,0.0150583337270983
104,D017088,D002602,0.3008187897953699
105,D017088,D002644,0.2646000906422728
106,D017088,D002690,0.3651217226832496
107,D017088,D002694,0.2572386133633009
108,D017088,D002769,0.0194773573596263
110,D017088,D002862,0.2518119074041892
111,D017088,D003003,0.3167287331708216
112,D017088,D003015,0.25759292403431
115,D017088,D003047,0.2098190051187781
117,D017088,D003093,0.0130714656437576
118,D017088,D003095,0.0148901909232013
119,D017088,D003108,0.0450612006774199
121,D017088,D003110,0.0219610313844996
122,D017088,D015179,0.0371694779694602
123,D017088,D003139,0.3458827194221886
124,D017088,D017714,0.3155790204999734
126,D017088,D003218,0.3270313251649369
127,D017088,D003231,0.0149450858557005
128,D017088,D003232,0.2742516155593242
129,D017088,D003233,0.2463218121584461
130,D017088,D003234,0.2947785801161594
131,D017088,D003236,0.247685875109666
133,D017088,D003320,0.2856307072787346
134,D017088,D003324,0.0186645555513328
135,D017088,D003327,0.0366194992673108
137,D017088,D003424,0.0143242591488808
138,D017088,D003453,0.2307229990928229
139,D017088,D003457,0.3466286012526792
142,D017088,D003550,0.0133326290513433
144,D017088,D003556,0.0288065489845956
145,D017088,D003586,0.2907196669777821
146,D017088,D017726,0.2498391706182214
148,D017088,D003704,0.0354762570994524
149,D017088,D003872,0.0337558339203435
150,D017088,D003874,0.2454723453143336
151,D017088,D017449,0.2695492962717904
152,D017088,D003876,0.2754493479501893
154,D017088,D003924,0.0266385701006736
155,D017088,D003925,0.0221120445427281
156,D017088,D003928,0.0317132446475525
157,D017088,D003929,0.01181206747576
158,D017088,D003967,0.0190478322487176
159,D017088,D004238,0.2982478133062553
160,D017088,D004320,0.3122541481025865
161,D017088,D004342,0.3088623543469562
162,D017088,D064420,0.0336451019027268
164,D017088,D004381,0.010452291931013
165,D017088,D004403,0.0107221867156191
166,D017088,D004405,0.2183058923929328
168,D017088,D020820,0.0318858744280082
171,D017088,D004417,0.0079560330194568
172,D017088,D004427,0.0428085700754327
174,D017088,D004443,0.3865908379318882
175,D017088,D004461,0.0085738596383634
177,D017088,D004487,0.0163096656409847
180,D017088,D004617,0.0254855229296015
181,D017088,D020803,0.2395466657402557
182,D017088,D004696,0.0175669619839517
183,D017088,D004697,0.3128438583509912
184,D017088,D004698,0.2654353275522648
185,D017088,D004714,0.0322608918560728
186,D017088,D016889,0.039178846643451
187,D017088,D004715,0.0507290571968854
189,D017088,D004756,0.2828990900420415
190,D017088,D017229,0.3078286587021326
191,D017088,D004761,0.2175549265689245
192,D017088,D004775,0.0269104100862089
195,D017088,D004823,0.0342611992781045
196,D017088,D004828,0.0146368807317382
197,D017088,D004827,0.0324249619942652
204,D017088,D020031,0.2991427875158488
205,D017088,D007172,0.060387032702228
206,D017088,D004894,0.2152368939283972
207,D017088,D004927,0.243499619177592
208,D017088,D004935,0.0384380272270932
209,D017088,D004938,0.0169455542887369
217,D017088,D005128,0.0569030652105716
218,D017088,D015818,0.317635533889736
223,D017088,D005221,0.0119763863541142
224,D017088,D015673,0.2722041016350008
225,D017088,D005334,0.0165349172833565
231,D017088,D005512,0.2849444704003658
233,D017088,D016469,0.2826561824590614
235,D017088,D005759,0.0435659546167896
236,D017088,D005764,0.010781501894096
237,D017088,D005767,0.0652661976175076
238,D017088,D005770,0.04954711980987
241,D017088,D005831,0.1178948513440717
242,D017088,D005873,0.3520754550039099
243,D017088,D005901,0.0208031355334573
246,D017088,D005909,0.0090063802418746
247,D017088,D006042,0.0191185177578802
248,D017088,D006069,0.3536084065247855
251,D017088,D006086,0.2918753806041132
252,D017088,D016905,0.3192710177329405
253,D017088,D016908,0.3279550957544833
254,D017088,D006130,0.0168269339258207
256,D017088,D006192,0.2297864885159699
259,D017088,D006258,0.0459731058068022
260,D017088,D006261,0.0108931246146147
261,D017088,D006323,0.0197000776031347
262,D017088,D006327,0.0170479236327933
263,D017088,D006333,0.0262216557489782
265,D017088,D016481,0.2448834475183104
266,D017088,D006402,0.0582754783171095
267,D017088,D006470,0.0458660928104814
270,D017088,D006509,0.3082486363245766
271,D017088,D019698,0.3540026053632326
272,D017088,D006558,0.3264037046618414
273,D017088,D006560,0.2432617223118481
274,D017088,D006561,0.3122036762755205
275,D017088,D006562,0.2754685330829135
276,D017088,D006563,0.2489559151249152
279,D017088,D015614,0.0172001777226274
280,D017088,D006660,0.2211759048997337
281,D017088,D006689,0.2870352288978895
284,D017088,D006925,0.3209687774038817
286,D017088,D006932,0.0194383829661501
288,D017088,D006937,0.0103189296201756
293,D017088,D006961,0.0144951068309387
295,D017088,D006967,0.3749072986280658
296,D017088,D006973,0.0378122076499046
298,D017088,D006976,0.0142185304862871
299,D017088,D006978,0.0193450608094877
302,D017088,D007003,0.0115863921636135
307,D017088,D007022,0.0131838677637146
310,D017088,D007169,0.2520602998398806
311,D017088,D018783,0.0425420910895092
