Drug,Disease
DB00544,D007644
DB00926,D007644
DB00555,C535654
DB00949,C535654
DB01068,C535654
DB00104,D010911
DB01200,D010911
DB00190,D012148
DB00193,D012148
DB00230,D012148
DB00248,D012148
DB00268,D012148
DB00413,D012148
DB00497,D012148
DB00514,D012148
DB00564,D012148
DB00571,D012148
DB00575,D012148
DB00647,D012148
DB00653,D012148
DB00776,D012148
DB00996,D012148
DB01068,D012148
DB01104,D012148
DB01156,D012148
DB01186,D012148
DB01200,D012148
DB01235,D012148
DB03322,D012148
DB05271,D012148
DB15130,D012148
DB00282,D030981
DB00169,D031845
DB00282,D031845
DB00286,D031845
DB00399,D031845
DB00481,D031845
DB00603,D031845
DB00630,D031845
DB00710,D031845
DB00717,D031845
DB00783,D031845
DB00884,D031845
DB00977,D031845
DB00999,D031845
DB00712,D015845
DB00635,D000224
DB00687,D000224
DB00860,D000224
DB00331,C538052
DB00635,C538052
DB00834,C538052
DB01046,C538052
DB00165,D000437
DB00181,D000437
DB00186,D000437
DB00215,D000437
DB00230,D000437
DB00273,D000437
DB00285,D000437
DB00313,D000437
DB00334,D000437
DB00475,D000437
DB00575,D000437
DB00602,D000437
DB00657,D000437
DB00659,D000437
DB00704,D000437
DB00746,D000437
DB00776,D000437
DB00780,D000437
DB00822,D000437
DB00842,D000437
DB00904,D000437
DB00916,D000437
DB01183,D000437
DB01238,D000437
DB01273,D000437
DB02679,D000437
DB04017,D000437
DB06230,D000437
DB09116,D000437
DB12220,D000437
DB12537,D000437
DB00252,C537057
DB00313,C537057
DB00350,C537057
DB00421,C537057
DB00490,C537057
DB00532,C537057
DB00564,C537057
DB00620,C537057
DB00795,C537057
DB01216,C537057
DB00014,D000544
DB00115,D000544
DB00158,D000544
DB00163,D000544
DB00176,D000544
DB00184,D000544
DB00206,D000544
DB00313,D000544
DB00323,D000544
DB00328,D000544
DB00382,D000544
DB00412,D000544
DB00481,D000544
DB00494,D000544
DB00502,D000544
DB00627,D000544
DB00656,D000544
DB00674,D000544
DB00679,D000544
DB00681,D000544
DB00683,D000544
DB00715,D000544
DB00746,D000544
DB00834,D000544
DB00843,D000544
DB00850,D000544
DB00934,D000544
DB00960,D000544
DB00975,D000544
DB00981,D000544
DB00989,D000544
DB01017,D000544
DB01037,D000544
DB01043,D000544
DB01050,D000544
DB01065,D000544
DB01356,D000544
DB01618,D000544
DB02709,D000544
DB03128,D000544
DB04115,D000544
DB04815,D000544
DB04864,D000544
DB05073,D000544
DB11094,D000544
DB11473,D000544
DB11672,D000544
DB11893,D000544
DB12052,D000544
DB12110,D000544
DB12129,D000544
DB12463,D000544
DB14098,D000544
DB15357,D000544
DB00163,C536595
DB00382,C536595
DB00674,C536595
DB00843,C536595
DB00989,C536595
DB01037,C536595
DB01043,C536595
DB00740,C531617
DB00996,C531617
DB00746,D029503
DB00302,D054179
DB00396,D054179
DB00984,D054179
DB01406,D054179
DB05311,D054179
DB06196,D054179
DB06718,D054179
DB08804,D054179
DB00282,D013167
DB00328,D013167
DB00563,D013167
DB00573,D013167
DB00586,D013167
DB00712,D013167
DB00788,D013167
DB00795,D013167
DB00812,D013167
DB01050,D013167
DB01628,D013167
DB00179,D004057
DB00544,D004057
DB00586,D004057
DB00724,D004057
DB00936,D004057
DB00992,D004057
DB00682,C531622
DB00945,C531622
DB00747,C566271
DB00745,D020181
DB12358,D002538
DB00819,C535506
DB00175,D050197
DB00178,D050197
DB00197,D050197
DB00208,D050197
DB00252,D050197
DB00264,D050197
DB00270,D050197
DB00381,D050197
DB00412,D050197
DB00435,D050197
DB00470,D050197
DB00514,D050197
DB00542,D050197
DB00548,D050197
DB00584,D050197
DB00622,D050197
DB00627,D050197
DB00636,D050197
DB00641,D050197
DB00675,D050197
DB00678,D050197
DB00759,D050197
DB00783,D050197
DB00806,D050197
DB00877,D050197
DB00936,D050197
DB00945,D050197
DB00966,D050197
DB00973,D050197
DB00999,D050197
DB01017,D050197
DB01029,D050197
DB01054,D050197
DB01076,D050197
DB01083,D050197
DB01095,D050197
DB01115,D050197
DB01183,D050197
DB01229,D050197
DB01241,D050197
DB01275,D050197
DB01393,D050197
DB01593,D050197
DB01599,D050197
DB01852,D050197
DB01880,D050197
DB02709,D050197
DB03467,D050197
DB04216,D050197
DB04573,D050197
DB04861,D050197
DB04942,D050197
DB05073,D050197
DB06209,D050197
DB06698,D050197
DB06774,D050197
DB07767,D050197
DB08868,D050197
DB09070,D050197
DB09087,D050197
DB09140,D050197
DB09236,D050197
DB09567,D050197
DB11133,D050197
DB11136,D050197
DB11239,D050197
DB11672,D050197
DB11695,D050197
DB11874,D050197
DB12039,D050197
DB12116,D050197
DB12163,D050197
DB12181,D050197
DB13495,D050197
DB13956,D050197
DB14086,D050197
DB14183,D050197
DB00091,D001327
DB00169,D001327
DB00351,D001327
DB00390,D001327
DB00470,D001327
DB00531,D001327
DB00563,D001327
DB00635,D001327
DB00688,D001327
DB00860,D001327
DB00959,D001327
DB00993,D001327
DB01024,D001327
DB01072,D001327
DB01118,D001327
DB01157,D001327
DB01232,D001327
DB04216,D001327
DB11672,D001327
DB12116,D001327
DB12422,D001327
DB00136,D000505
DB00350,D000505
DB00755,D000505
DB00783,D000505
DB01143,D000505
DB01216,D000505
DB04839,D000505
DB06774,D000505
DB11699,D000505
DB13956,D000505
DB00213,D005764
DB00338,D005764
DB00364,D005764
DB00448,D005764
DB00501,D005764
DB00585,D005764
