Drug,Protein
DB00006,P00734
DB00007,P30968
DB00014,P22888
DB00014,P30968
DB00015,P00747
DB00015,P02671
DB00015,P05121
DB00017,P30988
DB00019,Q99062
DB00020,P15509
DB00020,P26951
DB00020,P32927
DB00020,P34741
DB00020,P13727
DB00022,P17181
DB00022,P48551
DB00026,P14778
DB00035,P30518
DB00035,P37288
DB00035,P47901
DB00050,P30968
DB00050,P22888
DB00083,P60880
DB00083,P62745
DB00091,P49069
DB00091,Q96LZ3
DB00091,P62937
DB00091,P30405
DB00107,P30559
DB00114,Q9BYV1
DB00114,Q99259
DB00114,P35520
DB00114,Q16719
DB00114,P34896
DB00114,Q9Y697
DB00114,P17174
DB00114,P04181
DB00114,P11926
DB00114,Q8N5Z0
DB00114,P80404
DB00114,Q9NVS9
DB00114,O95470
DB00114,P17735
DB00114,Q16773
DB00114,O15270
DB00114,Q9Y600
DB00114,P19113
DB00114,Q96A70
DB00114,P20132
DB00114,O75600
DB00114,P23378
DB00114,P24298
DB00114,Q9Y617
DB00114,P13196
DB00114,P21549
DB00114,Q96GD0
DB00114,O15269
DB00114,P32929
DB00114,P54687
DB00114,O15382
DB00114,O94903
DB00114,P00505
DB00114,P11216
DB00114,P11217
DB00114,P20711
DB00114,Q53ET4
DB00114,Q05329
DB00114,Q6YP21
DB00114,Q6ZQY3
DB00114,Q96I15
DB00114,Q6WRI0
DB00114,Q8IUZ5
DB00114,P34897
DB00114,P22557
DB00114,Q8TD30
DB00114,Q96EN8
DB00114,Q96GA7
DB00114,Q9GZT4
DB00114,Q9HD40
DB00114,Q9NUV7
DB00114,Q9UGI5
DB00114,P17174
DB00114,P00505
DB00115,Q99707
DB00115,P22033
DB00115,Q9UBK8
DB00115,Q8IVH4
DB00115,Q9Y4U1
DB00115,P42898
DB00118,P21964
DB00118,Q8N1G2
DB00118,Q9HBK9
DB00118,Q14749
DB00118,P17707
DB00118,P31153
DB00118,P35520
DB00118,Q00266
DB00122,P36544
DB00122,Q9Y5K3
DB00122,P22303
DB00122,P49585
DB00122,O14939
DB00122,P06276
DB00122,Q13393
DB00122,Q8TCT1
DB00125,Q8WY07
DB00125,Q96A70
DB00125,P04424
DB00125,P35228
DB00125,P30825
DB00125,P78540
DB00125,O43246
DB00125,P00966
DB00125,P29474
DB00126,Q54873
DB00126,P24300
DB00126,O00469
DB00126,O14832
DB00126,O60568
DB00126,O75936
DB00126,P09172
DB00126,P19021
DB00126,Q32P28
DB00126,Q8IVL5
DB00126,Q8IVL6
DB00126,P13674
DB00126,Q8N543
DB00126,Q6N063
DB00126,Q6NS38
DB00126,Q96Q83
DB00126,Q9BY66
DB00126,Q02809
DB00126,Q9NVH6
DB00126,Q9NXG6
DB00126,Q9GZT9
DB00126,Q96KS0
DB00126,Q9H6Z9
DB00131,Q13131
DB00131,P54646
DB00131,Q9Y478
DB00131,O43741
DB00131,P54619
DB00131,Q9UGJ0
DB00131,Q9UGI9
DB00131,P55263
DB00131,Q9Y478
DB00131,Q9NR19
DB00131,Q13131
DB00131,Q08828
DB00131,P33121
DB00131,P16220
DB00131,Q07343
DB00131,P49773
DB00131,Q08499
DB00131,P09467
DB00134,Q9UBK8
DB00134,Q99707
DB00134,P50579
DB00134,Q93088
DB00134,Q9H2M3
DB00136,P11473
DB00136,P31260
DB00140,Q969G6
DB00140,P0AFU8
DB00140,P30043
DB00141,P15291
DB00141,O60513
DB00141,Q9UJ70
DB00141,Q9UK23
DB00141,P54802
DB00141,P51606
DB00143,P15121
DB00143,P14780
DB00143,P08684
DB00143,O75715
DB00143,P07203
DB00143,P18283
DB00143,P22352
DB00143,P59796
DB00143,Q96SL4
