Disease,Disease,Similarity
D007644,D007644,1
D007644,C535654,0.26114
D007644,D030981,0.20175
D007644,C538052,0.22555
D007644,D004057,0.26448
D007644,D017488,0.32352
D007644,C562509,0.22798
D007644,D007644,0.39125
D007644,D004916,0.234
D007644,C564164,0.42812
D007644,D016112,0.28372
D007644,D049310,0.28151
D007644,D016506,0.45091
D007644,D010916,0.36225
D007644,D011371,0.2032
D007644,D011565,0.24279
D007644,D017492,0.21689
D007644,C536000,0.20344
D007644,C537055,0.24318
D007644,C537345,0.23475
D007644,D005317,0.28723
D007644,C538603,0.2063
D007644,D010214,0.32288
D007644,C536420,0.24917
D007644,D016111,0.26
D007644,D020176,0.23505
D007644,D007039,0.32571
D007644,C564714,0.20452
D007644,D011565,0.21173
D007644,C566404,0.2306
D007644,C536253,0.28175
D007644,D011565,0.21252
D007644,C535581,0.21311
D007644,C565292,0.20294
D007644,C565280,0.20407
C535654,D007644,0.26114
C535654,C535654,1
C535654,D030981,0.29165
C535654,D031845,0.28702
C535654,C538052,0.31492
C535654,D029503,0.20906
C535654,C566271,0.2402
C535654,D020181,0.20926
C535654,D001478,0.25265
C535654,C562419,0.22825
C535654,C567296,0.20381
C535654,C536691,0.20112
C535654,C562509,0.31442
C535654,C562379,0.56147
C535654,C565080,0.22703
C535654,D003966,0.26119
C535654,D020195,0.24934
C535654,D006970,0.24257
C535654,D010003,0.22503
C535654,D006938,0.22395
C535654,D006938,0.23911
C535654,D006938,0.27753
C535654,C562400,0.27289
C535654,C564164,0.30589
C535654,D012021,0.2272
C535654,C564156,0.25912
C535654,C537156,0.2236
C535654,D052496,0.28769
C535654,D008269,0.21315
C535654,D008945,0.23823
C535654,D020254,0.29675
C535654,D049310,0.24646
C535654,D010003,0.21587
C535654,C536051,0.34242
C535654,D010916,0.29919
C535654,D011561,0.25151
C535654,D013285,0.20174
C535654,D013700,0.23597
C535654,D013771,0.36198
C535654,D014103,0.22299
C535654,C536545,0.25476
C535654,D004314,0.22916
C535654,C537055,0.23902
C535654,D002915,0.2228
C535654,C535858,0.23199
C535654,D003057,0.25798
C535654,D003103,0.24565
C535654,C565679,0.28575
C535654,D005317,0.33186
C535654,D010009,0.32943
C535654,D007589,0.25267
C535654,D010214,0.23944
C535654,D054221,0.22929
C535654,D009084,0.23037
C535654,D009084,0.20638
C535654,D009084,0.20789
C535654,D009224,0.23485
C535654,D010009,0.28725
C535654,D009230,0.21735
C535654,C536420,0.32205
C535654,C536063,0.23909
C535654,D011561,0.21559
C535654,C564847,0.20098
C535654,C535865,0.22867
C535654,D016111,0.30276
C535654,D020176,0.28442
C535654,C567296,0.22383
C535654,C564714,0.34704
C535654,D020817,0.25517
C535654,D010009,0.30414
C535654,D010009,0.24883
C535654,D005902,0.22914
C535654,D010024,0.30118
C535654,D009223,0.22008
C535654,C536253,0.20737
C535654,C535474,0.26516
C535654,D020817,0.20415
D010911,D010911,1
D010911,D000224,0.23566
D010911,C531622,0.20785
D010911,D002538,0.26146
D010911,D001478,0.22145
D010911,C537095,0.23704
D010911,D001943,0.28069
D010911,D006528,0.21998
D010911,D002311,0.20478
D010911,C567296,0.2076
D010911,D020790,0.20022
D010911,C565034,0.20707
D010911,D013274,0.21909
D010911,D005910,0.2923
D010911,D050031,0.22766
D010911,D006392,0.21327
D010911,D006938,0.26009
D010911,D006950,0.20042
D010911,D006938,0.20789
D010911,D002292,0.26283
D010911,C535694,0.20205
D010911,D006953,0.26169
D010911,D018459,0.25316
D010911,D052496,0.23347
D010911,D008180,0.22255
D010911,D008527,0.31282
D010911,D000096142,0.22772
D010911,D000098943,0.21923
D010911,D009223,0.20161
D010911,C562889,0.20095
D010911,D010235,0.20592
D010911,D010673,0.36098
D010911,D005359,0.38194
D010911,D011125,0.23695
D010911,D017118,0.21032
D010911,C536961,0.26544
D010911,D011371,0.20048
D010911,D011471,0.3205
D010911,D017492,0.25586
D010911,D013341,0.25112
D010911,C572845,0.25521
D010911,D000077273,0.20506
D010911,C565346,0.29528
D010911,D003093,0.22168
D010911,D056725,0.21316
