protein,protein,combined_score
P13569,P27824,936
P13569,P51168,895
P13569,P04792,780
P13569,P31946,944
P13569,Q9UGI9,901
P13569,P17612,982
P13569,P05787,752
P13569,P55011,816
P13569,P54619,922
P13569,P51170,886
P13569,O43741,944
P13569,P11142,986
P13569,Q9Y478,908
P13569,P07900,986
P13569,P48048,925
P13569,Q9UGJ0,905
P13569,P37088,821
P13569,Q13131,953
P13569,P34932,925
P13569,P55072,938
P13569,P08238,964
P13569,P54646,907
P13569,P63104,917
P13569,P60709,717
P13569,Q9UBN7,848
Q16654,P10515,817
Q16654,P21796,829
Q16654,Q03181,702
Q16654,Q14643,825
Q16654,P08559,881
Q16654,P99999,718
Q16654,P01308,777
Q16654,Q14573,817
Q16654,Q07869,740
O60359,Q08289,779
O60359,P48058,869
O60359,P62955,939
O60359,P54289,978
O60359,O60840,927
O60359,Q05586,830
O60359,P21817,733
O60359,Q13698,916
O60359,Q06432,974
O60359,Q01668,957
O60359,P42263,852
O60359,P42261,867
O60359,Q13936,910
O60359,O00305,958
O60359,P46098,737
O60359,Q14957,788
O60359,Q9UF02,814
O60359,P54652,734
O60359,Q8TCU5,794
O60359,Q8WXS5,913
O60359,Q9UBN1,905
O60359,O60391,769
O60359,P62942,728
O60359,O00555,815
O60359,Q7Z3S7,915
O60359,Q02641,912
O60359,P42262,923
O60359,O15399,748
O60359,Q9BXT2,908
O60359,O95180,818
O60359,P54284,938
O60359,Q12879,794
O60359,Q13224,800
O60359,Q9Y698,756
P53041,P31948,962
P53041,Q15185,985
P53041,P10398,702
P53041,P15056,979
P53041,P11142,724
P53041,P07900,997
P53041,P34932,801
P53041,P08238,997
Q8WUI4,P27348,742
Q8WUI4,Q96EB6,802
Q8WUI4,P03372,707
Q8WUI4,O15379,804
Q8WUI4,P62807,733
Q8WUI4,Q13547,886
Q8WUI4,Q16665,927
Q8WUI4,P00533,711
Q8WUI4,P29590,775
Q8WUI4,Q92769,836
Q8WUI4,Q92793,712
P51787,Q8WWG9,925
P51787,O60266,913
P51787,Q9Y6J6,999
P51787,Q14500,954
P51787,Q14524,973
P51787,Q92736,727
P51787,Q13936,791
P51787,Q14722,717
P51787,O43525,934
P51787,P48050,948
