Disease1,Disease2,Sim_score
D000160,D006623,0.1745256212693076
D000160,D014786,0.23972191842750337
D000160,D014826,0.5067335487196144
D000160,D014832,0.39625288677279497
D000160,D014884,0.13958822069966542
D000160,D014899,0.16305036701836834
D000160,D014901,0.17343705910289658
D000160,D014929,0.4156095709681792
D000160,D015051,0.16593635286750558
D000160,D015211,0.14347118908528567
D000160,D015354,0.17833599489521926
D000160,D017624,0.11608807723817505
D000160,D018980,0.1616177582821109
D000160,D034081,0.1458127035511187
D000160,D058494,0.12207511849899921
D000160,D061285,0.6809493608466687
D000170,D000160,0.14533413076633564
D000170,D000172,0.12427913591277436
D000170,D000270,0.1062733261730063
D000170,D000326,0.10689740028408361
D000170,D000370,0.10848857762472544
D000170,D000377,0.11741600844734087
D000170,D000381,0.11044586439332234
D000170,D000405,0.11342215736797275
D000170,D000425,0.4973128710114473
D000170,D000430,0.5043509834019597
D000170,D000544,0.16132741821554503
D000170,D000550,0.12331961935822415
D000170,D000647,0.13089830562673643
D000170,D000648,0.11033362972172733
D000170,D000690,0.32563721583684746
D000170,D000699,0.3614965951277128
D000170,D000757,0.11730917494409498
D000170,D000795,0.10950405361443985
D000170,D000849,0.11063555420163722
D000170,D000857,0.12025236742792852
D000170,D001037,0.13371529092678308
D000170,D001039,0.10989488626611851
D000170,D001041,0.10813169427989792
D000170,D001044,0.1101237715053504
D000170,D001072,0.11638933532149112
D000170,D001100,0.11727092929226976
D000170,D001139,0.11857903605299551
D000170,D001184,0.12135944229980755
D000170,D001259,0.14960986995246345
D000170,D001260,0.10804079800742691
D000170,D001264,0.11242886378146752
D000170,D001304,0.11967528033368191
D000170,D001308,0.11033791788026699
D000170,D001342,0.17621099477519234
D000170,D001480,0.18399628269193855
D000170,D001750,0.1292109146267685
D000170,D001766,0.1458921068834214
D000170,D001906,0.5329645571459465
D000170,D001922,0.1305813587820765
D000170,D001924,0.1255329848851841
D000170,D001925,0.16041660532223775
D000170,D001926,0.12368859390653511
D000170,D001927,0.23298456685380983
D000170,D001928,0.1779029665525774
D000170,D001929,0.13972547266017604
D000170,D001930,0.1639373547526927
D000170,D001932,0.1797702158194972
D000170,D002340,0.1595369925725522
D000170,D002341,0.11250944027544425
D000170,D002349,0.3901306407931363
D000170,D002375,0.1143389453776918
D000170,D002385,0.10813169427989792
D000170,D002389,0.11756608250176641
D000170,D002422,0.35034337209680727
D000170,D002493,0.24812288413759323
D000170,D002494,0.19555728484824414
D000170,D002524,0.13777753916184482
D000170,D002526,0.16349369386613347
D000170,D002527,0.10493475565777018
D000170,D002528,0.12646656415550378
D000170,D002532,0.14221349725777085
D000170,D002534,0.14263368091903614
D000170,D002537,0.13686398017507678
D000170,D002538,0.12436169839947922
D000170,D002539,0.14452714687604135
D000170,D002542,0.148700134
D000170,D002543,0.14526984723935127
D000170,D002544,0.1472865486161897
D000170,D002545,0.17518188537739904
D000170,D002546,0.1388610579938278
D000170,D002547,0.14118368656345798
D000170,D002549,0.11196519022579707
D000170,D002551,0.12137408694548575
D000170,D002558,0.11140435761291279
D000170,D002559,0.11451113104031566
D000170,D002561,0.20341000311648844
D000170,D002573,0.32486747481932543
D000170,D002607,0.37438080772560056
D000170,D002819,0.14448117260678786
D000170,D003027,0.11239280533838067
D000170,D003057,0.10893131790780013
D000170,D003117,0.11764136327857955
D000170,D003128,0.14509879268003584
D000170,D003147,0.17782159325470395
D000170,D003221,0.1442069026926855
D000170,D003244,0.17110260227952226
D000170,D003294,0.11816813929598284
D000170,D003389,0.20010309616943225
D000170,D003390,0.18295131209910448
D000170,D003410,0.10832309945940546
D000170,D003616,0.11037999318433114
D000170,D003635,0.10880374195529578
D000170,D003638,0.14388199240140084
D000170,D003639,0.1123767916072919
D000170,D003655,0.12744186646544448
D000170,D003693,0.12857231938475183
D000170,D003704,0.18368563669377969
D000170,D003711,0.1960249384583242
D000170,D003882,0.30484558225264036
D000170,D003929,0.43238465256858605
D000170,D004172,0.12097115832184817
D000170,D004314,0.14064945574477555
D000170,D004370,0.11091863776596286
D000170,D004393,0.10940522449511825
D000170,D004401,0.11095868971498968
D000170,D004402,0.35039679193426404
D000170,D004408,0.10953788646362121
D000170,D004409,0.5344885467706463
D000170,D004410,0.1277561512717668
D000170,D004411,0.1090643562976186
D000170,D004421,0.13660617695337912
D000170,D004422,0.10900360914911374
D000170,D004454,0.10517357700836687
D000170,D004652,0.11003530608461438
D000170,D004660,0.1725293969273715
D000170,D004670,0.10369720067016915
D000170,D004671,0.13781400533639554
D000170,D004672,0.10974983012400759
D000170,D004673,0.11203551854337583
D000170,D004674,0.10471603656250125
D000170,D004675,0.1091061116432267
D000170,D004677,0.11722778668546767
D000170,D004678,0.1226477446411818
D000170,D004679,0.1427537413078215
D000170,D004681,0.12790355075176535
D000170,D004683,0.10965538814061578
D000170,D004684,0.10503415917545174
D000170,D004685,0.10461456920704874
D000170,D004827,0.17922295830929874
D000170,D004828,0.15093070708810125
D000170,D004829,0.149728799
D000170,D004830,0.11829117745298041
D000170,D004831,0.12354540636078695
D000170,D004832,0.11545026621788215
D000170,D004833,0.13162681374798388
D000170,D004834,0.11123881034601121
D000170,D004948,0.11496207800438452
D000170,D005099,0.11338836811338875
D000170,D005126,0.11261747094864598
D000170,D005129,0.11683652569406858
D000170,D005131,0.14875937683380608
D000170,D005150,0.11423579262346353
D000170,D005151,0.16999367302042562
