Disease,Drug
D020434,DB00459
D020434,DB01101
D020434,DB00091
D020434,DB00987
D020434,DB01004
D020434,DB00281
D020434,DB00563
D020434,DB00959
D020434,DB01017
D020434,DB00929
D020434,DB00698
D020434,DB00727
D020434,DB00755
D020434,DB00541
D000170,DB11590
D000172,DB01200
D000172,DB06791
D000172,DB01065
D000172,DB00350
D000370,DB00758
D000370,DB00390
D000370,DB00158
D000370,DB01611
D000370,DB00678
D000370,DB00763
D000370,DB00563
D000370,DB00350
D000370,DB00727
D000370,DB00252
D000370,DB00857
D000370,DB00495
D000370,DB01593
D000377,DB01181
D000377,DB14509
D000377,DB09241
D000381,DB00563
D015526,DB00907
D015526,DB00649
D015526,DB00495
D017109,DB00404
D017109,DB06288
D017109,DB00321
D017109,DB00381
D017109,DB00543
D017109,DB01238
D017109,DB00810
D017109,DB00490
D017109,DB00477
D017109,DB00568
D017109,DB00215
D017109,DB01068
D017109,DB00363
D017109,DB00907
D017109,DB00829
D017109,DB01075
D017109,DB00450
D017109,DB00593
D017109,DB01205
D017109,DB04841
D017109,DB00472
D017109,DB00623
D017109,DB00176
D017109,DB00502
D017109,DB01235
D017109,DB00281
D017109,DB14509
D017109,DB00186
D017109,DB00933
D017109,DB01403
D017109,DB01233
D017109,DB00264
D017109,DB06148
D017109,DB00683
D017109,DB00370
D017109,DB01203
D017109,DB01149
D017109,DB00585
D017109,DB00334
D017109,DB00842
D017109,DB00715
D017109,DB00252
D017109,DB05316
D017109,DB00433
D017109,DB00387
D017109,DB00818
D017109,DB00571
D017109,DB00409
D017109,DB00734
D017109,DB01104
D017109,DB01236
D017109,DB00669
D017109,DB00864
D017109,DB04844
D017109,DB00679
D017109,DB01623
D017109,DB01056
D017109,DB00323
D017109,DB00831
D017109,DB00508
D017109,DB00376
D017109,DB01392
D017109,DB00246
D017109,DB09225
D000405,DB01351
D000405,DB00181
D000405,DB01200
D000405,DB00477
D000405,DB00544
D000405,DB00502
D000405,DB00741
D000405,DB00186
D000405,DB00563
D000405,DB00422
D000405,DB00264
D000405,DB00184
D000405,DB00864
D020268,DB00898
D020268,DB01273
D000430,DB00475
D000430,DB00829
D000430,DB00898
D000430,DB00158
D000430,DB00502
D000430,DB00186
D000430,DB00371
D000430,DB00252
D000430,DB00571
D000430,DB00152
D020270,DB00829
D020270,DB00898
D020270,DB01174
D020270,DB00252
D038261,DB01080
D020237,DB00563
D055964,DB01068
D056769,DB00331
D056769,DB00412
D000544,DB03128
D000544,DB11081
D000544,DB04115
